Severity,global_Mean_total_billions,global_SD_total_billions
Health,13.104685900970512,3.616711707374605
Stage_III_IVT1_2,60.56688594233285,9.18111029297616
Stage_IVT3,14.898404534075068,6.46131203231092
Stage_IVT4,16.427213228165847,7.5724591155755565
Stage_I_II,28.247021537468523,6.762553203346988
