Country_df1,Country_df2,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Netherlands,Netherlands,3.6785,213.48,68573.56488
New Zealand,New Zealand,0.5353,106.27,47996.67988
Nicaragua,Nicaragua,0.0314,4.81,7119.169234
Niger,Niger,1e-4,0.01,1585.59922
Nigeria,Nigeria,0.1375,0.68,5491.700341
North Macedonia,North Macedonia,0.0319,15.34,22142.97287
Norway,Norway,2.1691,404.99,88984.13867
Oman,Oman,0.1327,30.82,38719.45877
Pakistan,Pakistan,0.0489,0.24,5367.273647
Palau,Palau,5e-4,25.39,15663.17159
Panama,Panama,0.1354,32.1,30932.76278
Papua New Guinea,Papua New Guinea,0.0358,4.17,3976.903801
Paraguay,Paraguay,0.0513,7.18,15406.16706
Peru,Peru,0.2678,8.24,15280.55121
Philippines,Philippines,0.0165,0.15,8857.789951
Poland,Poland,1.7024,44.83,41059.58478
Portugal,Portugal,0.8695,84.7,38657.66772
Qatar,Qatar,0.2287,83.07,116832.5703
Republic of Korea,Republic of Korea,7.2547,139.93,48419.64325
Republic of Moldova,Republic of Moldova,0.0051,1.43,15682.07033
Romania,Romania,0.3761,19.27,37730.37084
Russian Federation,Russian Federation,0.8921,6.08,38638.42969
Rwanda,Rwanda,0.0035,0.28,2733.435668
Saint Kitts and Nevis,Saint Kitts and Nevis,0.003,56.98,26896.61771
Saint Lucia,Saint Lucia,0.0054,29.98,19101.1653
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0.0026,23.29,16200.89946
Samoa,Samoa,0.001,5.16,6214.016928
San Marino,San Marino,0.0075,222.24,64745.13168
Sao Tome and Principe,Sao Tome and Principe,1e-4,0.61,5732.694561
Saudi Arabia,Saudi Arabia,1.2518,36.73,62690.49666
Senegal,Senegal,0.0044,0.27,4173.677414
Serbia,Serbia,0.11,15.79,23404.99711
Seychelles,Seychelles,0.0013,13.61,29979.82727
Sierra Leone,Sierra Leone,0.0014,0.18,2851.952081
Singapore,Singapore,1.1604,204.66,132617.354
Slovakia,Slovakia,0.3082,56.55,38346.09358
Slovenia,Slovenia,0.1215,58.73,45914.05724
Solomon Islands,Solomon Islands,0.0021,3.26,2518.421624
Somalia,Somalia,0.0026,0.17,1392.46426
South Africa,South Africa,2.2861,38.86,13711.29357
South Sudan,South Sudan,0.0011,0.09,NA
Spain,Spain,8.3063,178.03,44251.66582
Sri Lanka,Sri Lanka,0.04,1.82,14316.13522
Sudan,Sudan,0.0463,1.07,3248.975586
Suriname,Suriname,0.0095,15.9,18458.235
Sweden,Sweden,3.3758,327.04,62731.70062
Switzerland,Switzerland,4.2189,493.73,81001.41112
Syrian Arab Republic,Syrian Arab Republic,0.028,1.66,4592.838601
Taiwan,Taiwan,6.3776,269.82,64700
Tajikistan,Tajikistan,0.0306,3.29,3985.912476
Thailand,Thailand,0.1917,2.82,20242.77
Timor-Leste,Timor-Leste,7e-4,0.55,6824.792339
Togo,Togo,0.0017,0.2,2577.201963
Tonga,Tonga,0.0017,16.62,7034.92497
Trinidad and Tobago,Trinidad and Tobago,0.0737,53.4,30424.66489
Tunisia,Tunisia,0.0609,5.17,12444.3264
Turkey,Turkey,0.8299,10,31338.26652
