Location,Level,Superregion,baseline,surgery_flipped,delta_absolute,delta_pct
"Central Europe, Eastern Europe, and Central Asia",Superregion,"Central Europe, Eastern Europe, and Central Asia",1.9581059551006095,2.203924162266297,0.24581820716568759,12.553876695250496
Global,Global,NA,168.0991626262167,171.584148009207,3.484985382990317,2.073172363588443
High-income,Superregion,High-income,129.38139621306874,130.69129223958313,1.3098960265143944,1.0124299666369518
Latin America and Caribbean,Superregion,Latin America and Caribbean,3.22901819522109,3.3729111217635075,0.1438929265424176,4.456243905821822
North Africa and Middle East,Superregion,North Africa and Middle East,3.032493736383652,3.286234408161074,0.2537406717774222,8.36739310400081
South Asia,Superregion,South Asia,0.8718020175177643,1.6336828389857778,0.7618808214680135,87.39149556424249
"Southeast Asia, East Asia, and Oceania",Superregion,"Southeast Asia, East Asia, and Oceania",28.953985043077516,29.50602999293781,0.5520449498602922,1.9066285661160767
Sub-Saharan Africa,Superregion,Sub-Saharan Africa,0.6723614658473375,0.8900732455093993,0.2177117796620618,32.38016910854528
