Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.018190570969137322,0.09487104198138861
Afghanistan,Stage_III_IVT1_2,0.04221023130890352,0.09542300782663783
Afghanistan,Stage_IVT3,0.011291138410694391,0.03503534465620874
Afghanistan,Stage_IVT4,0.017487346167031487,0.05476426556034362
Afghanistan,Stage_I_II,0.036431235813595114,0.13554609012791552
Albania,Health,0.003060389583041075,0.004739433897454851
Albania,Stage_III_IVT1_2,0.010110810271604523,0.012994725525276083
Albania,Stage_IVT3,0.0027699896451268153,0.00575094203106882
Albania,Stage_IVT4,0.003535064353094849,0.008196358411679693
Albania,Stage_I_II,0.0054600582917078725,0.007239932063626089
Algeria,Health,0.05806352342714103,0.09144527027650322
Algeria,Stage_III_IVT1_2,0.18926030743860478,0.2577275043470688
Algeria,Stage_IVT3,0.05610481936396732,0.12300168138946059
Algeria,Stage_IVT4,0.07069420699342958,0.18332130804632957
Algeria,Stage_I_II,0.10883845903092493,0.14640946853834838
Andorra,Health,2.1118254749814404e-4,2.6154317902547206e-4
Andorra,Stage_III_IVT1_2,7.49455278545751e-4,8.430189177911078e-4
Andorra,Stage_IVT3,2.0992495911319382e-4,3.655978857070591e-4
Andorra,Stage_IVT4,2.539611609608187e-4,4.893305161391753e-4
Andorra,Stage_I_II,3.7800433717612744e-4,4.147760332647951e-4
Angola,Health,0.038667343358074396,0.08465260811913894
Angola,Stage_III_IVT1_2,0.07803092654710544,0.12304789675910083
Angola,Stage_IVT3,0.022544191963696676,0.05603385077615669
Angola,Stage_IVT4,0.027850580493775833,0.07753992607641975
Angola,Stage_I_II,0.06682622779979973,0.12431300213894328
Antigua and Barbuda,Health,1.408496655736969e-4,1.8604136305638944e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.728226639607293e-4,8.367573726106164e-4
Antigua and Barbuda,Stage_IVT3,1.906889711627345e-4,3.911307157279699e-4
Antigua and Barbuda,Stage_IVT4,2.3235908733660495e-4,4.999109655077069e-4
Antigua and Barbuda,Stage_I_II,2.525721541133914e-4,3.030290289353743e-4
Argentina,Health,0.08572987408871001,0.12102541508682622
Argentina,Stage_III_IVT1_2,0.28926587786627467,0.3460947488014706
Argentina,Stage_IVT3,0.08100326418922403,0.16019570764728622
Argentina,Stage_IVT4,0.10173005893173213,0.2255913870772195
