Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Afghanistan,0.5849715209460152,0.5884406244645349,0.2476296670244725,0.33426020685442187,0.15887001937844206,0.2295698521772084,0.12561052266936185,0.2002090298010416,0.02251971234975538,0.05944565064174244,0.04001005115915793,0.08366081284712647,0.00582652538989747,0.04659068284783185,0.00208540586676719,0.01327311541133664,4.6314438706999994e-4,0.00265431983102196,0.0167,0.46,2144.16657,low,0.00582652538989747,0.04659068284783185,0.00208540586676719,0.01327311541133664,4.6314438706999994e-4,0.00265431983102196
Albania,0.12597557276186092,0.05311876952547649,0.0537753993831133,0.03688340461260465,0.03086117411774742,0.02672537792462123,0.02493631214457513,0.01804401231956451,0.00563433578888438,0.00683473843335023,0.00757339965621695,0.01025209829689229,0.00142646615602232,0.00322020248487992,4.653920247185932e-4,0.00205155692729646,1.028689038233158e-4,4.306220431090653e-4,0.0363,12.66,16126.77749,low,0.00142646615602232,0.00322020248487992,4.653920247185932e-4,0.00205155692729646,1.028689038233158e-4,4.306220431090653e-4
Algeria,2.3728612762126584,1.0444198853223827,1.0169698184315843,0.7377326785059447,0.5749903594267206,0.5282038348201678,0.4829613162540677,0.3693816572148472,0.10625082610695397,0.13413465305507777,0.14791142573640242,0.21540238992246383,0.02605230841038498,0.05570444369471887,0.00720424982356575,0.03309177404265229,0.00192115659703805,0.0079527744791496,0.3237,7.46,14496.86547,low,0.02605230841038498,0.05570444369471887,0.00720424982356575,0.03309177404265229,0.00192115659703805,0.0079527744791496
Andorra,0.00880550271097008,0.00257668361300462,0.00374179872549761,0.00145106161330568,0.00201963338723499,0.00128953752448865,0.00180252828329403,0.00111979614376382,4.3655288201089015e-4,3.7856536126848705e-4,5.084723813809955e-4,5.402515129730825e-4,1.0422066117990931e-4,1.8632521922663117e-4,3.13624419655514e-5,1.0419411750776843e-4,7.385116058332368e-6,2.295514258587732e-5,0.0146,189.89,59332.20291,mid,0.00180252828329403,0.00111979614376382,4.3655288201089015e-4,3.7856536126848705e-4,5.084723813809955e-4,5.402515129730825e-4
Angola,1.1148559672685558,0.634089934679097,0.4268326121836735,0.40275291289026166,0.2555279642577447,0.2778678797049987,0.2339192701624521,0.21060984908027364,0.04291058259582606,0.07085618063637696,0.06425560197751201,0.109244120297094,0.0132998520808375,0.03793797242373671,0.00346592299629542,0.01649867406819504,7.492799552343782e-4,0.00391768152116292,0.0702,2.33,7408.126591,low,0.0132998520808375,0.03793797242373671,0.00346592299629542,0.01649867406819504,7.492799552343782e-4,0.00391768152116292
Antigua and Barbuda,0.00758741095348783,0.00281859183608135,0.00346800976411737,0.00194345405082326,0.00191113368643343,0.00146077737508418,0.00148929254214715,0.00107986156428385,3.792136868376674e-4,4.0251909802802206e-4,4.8512260521668297e-4,6.077570293378783e-4,8.01853092620329e-5,1.6234841724970157e-4,2.7630106098863505e-5,1.0582494886602528e-4,7.054382563644563e-6,2.5591280114536285e-5,0.0048,51.88,25745.49581,mid,0.00148929254214715,0.00107986156428385,3.792136868376674e-4,4.0251909802802206e-4,4.8512260521668297e-4,6.077570293378783e-4
Argentina,3.5311212253177233,1.2398313803786094,1.5201166734501017,0.8181394982862111,0.8326093225496134,0.6325716970620887,0.7122818461935262,0.4826316639969659,0.16172031646267834,0.16443132233285512,0.21386330372242535,0.2632751338279675,0.04163623869054651,0.08487863635467072,0.01288290546933432,0.05289874486231221,0.00298612029113978,0.0124727765735617,1.106,24.55,26300.27426,mid,0.7122818461935262,0.4826316639969659,0.16172031646267834,0.16443132233285512,0.21386330372242535,0.2632751338279675
Armenia,0.13325922898330914,0.05518681177314676,0.05737526370152743,0.03841539571157788,0.0328530697646042,0.02904766829475608,0.02628157176934712,0.01914039649409675,0.00598302420962,0.00714686668619941,0.00789229469614666,0.01050892041836639,0.00143505445387094,0.00308118712482455,4.63860715944342e-4,0.0018516577917621,1.0940524628745264e-4,4.448222809701729e-4,0.113,38.05,15921.70528,mid,0.02628157176934712,0.01914039649409675,0.00598302420962,0.00714686668619941,0.00789229469614666,0.01050892041836639
Australia,4.615470960254642,1.0788070015449158,1.8765560708895257,0.4071329473073913,0.94594472854082,0.5104217573785984,0.9729270896905504,0.5668875120216555,0.2183671139164869,0.17240389595346323,0.24117645126302087,0.23379413686002232,0.05557507398229418,0.09065808481426248,0.01537329932235197,0.04422195205749466,0.00325710338771523,0.01005743730125565,7.3703,288.25,58182.33695,high,4.615470960254642,1.0788070015449158,1.8765560708895257,0.4071329473073913,0.94594472854082,0.5104217573785984
Austria,0.91055823891688,0.2576011256172677,0.35486420039821853,0.13658685690425346,0.1899897831130669,0.121173124331575,0.19415430158537836,0.11575544201125204,0.04156803580604155,0.03605631322700861,0.04798647514682978,0.05010561480242374,0.01165277123607249,0.02042469512972264,0.00298157328216364,0.00960243341405608,7.684573705720058e-4,0.00271415839642853,2.1157,236.39,62968.94223,high,0.91055823891688,0.2576011256172677,0.35486420039821853,0.13658685690425346,0.1899897831130669,0.121173124331575
