Region,Superregion,iso3c,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,fits_high,fits_mid,fits_low,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Year,Level,Country
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.1702900621131846,0.07542732345616995,0.07724222905789804,0.05327906092346059,0.04485288692419342,0.03987313820647394,0.03315676618833694,0.02687301518208246,0.00827212509018764,0.01026360387104802,0.01118178039554428,0.01598898600006909,0.00177979460120472,0.00409517920354363,5.840031221325941e-4,0.00239458060014554,1.76674788408324e-4,8.247684668626097e-4,0.113,38.05,15921.70528,FALSE,TRUE,TRUE,0.03315676618833694,0.02687301518208246,0.00827212509018764,0.01026360387104802,0.01118178039554428,0.01598898600006909,mid,2021,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.12440792776869808,0.0532919612069906,0.05089697348044492,0.03593626758416564,0.02859661869056878,0.02533124334653415,0.0252609671533856,0.01823116757054401,0.00532318240572945,0.00633053780364048,0.00722080687363398,0.00978226835808003,0.00148238369852703,0.00330812604291052,3.6344873489687913e-4,0.00153062058525042,1.0893022319174565e-4,4.081428406130008e-4,0.113,38.05,15921.70528,NA,NA,NA,0.0252609671533856,0.01823116757054401,0.00532318240572945,0.00633053780364048,0.00722080687363398,0.00978226835808003,mid,2025,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.1291623527410444,0.05575189803561892,0.05378368395046976,0.03725068778249091,0.03160164268529902,0.02838622377755189,0.02586150785550339,0.01887391374203201,0.00561600253390152,0.00721081545352362,0.00753688312217679,0.01028014039078267,0.00141000582802874,0.0028716650038034,3.3297804864917106e-4,0.00129349393369453,1.29018158037809e-4,5.922425589553031e-4,0.113,38.05,15921.70528,NA,NA,NA,0.02586150785550339,0.01887391374203201,0.00561600253390152,0.00721081545352362,0.00753688312217679,0.01028014039078267,mid,2030,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.13268636334622164,0.05626686997042329,0.0568710046605899,0.03871251800661859,0.0322724829076497,0.02921919922793548,0.02667559904166389,0.02074562559289715,0.00584321218583369,0.00727411806511826,0.00814833345125257,0.01196749611692754,0.00149461952681467,0.00340180335347235,4.17868204277887e-4,0.00169650361960367,1.2697051924405624e-4,5.191119370485368e-4,0.113,38.05,15921.70528,NA,NA,NA,0.02667559904166389,0.02074562559289715,0.00584321218583369,0.00727411806511826,0.00814833345125257,0.01196749611692754,mid,2035,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.13325922898330914,0.05518681177314676,0.05737526370152743,0.03841539571157788,0.0328530697646042,0.02904766829475608,0.02628157176934712,0.01914039649409675,0.00598302420962,0.00714686668619941,0.00789229469614666,0.01050892041836639,0.00143505445387094,0.00308118712482455,4.63860715944342e-4,0.0018516577917621,1.0940524628745264e-4,4.448222809701729e-4,0.113,38.05,15921.70528,NA,NA,NA,0.02628157176934712,0.01914039649409675,0.00598302420962,0.00714686668619941,0.00789229469614666,0.01050892041836639,mid,2040,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.1295645519580476,0.05583950325079046,0.05630142546632199,0.03898805750291152,0.03162575015997606,0.02827622358928298,0.02599814531964428,0.01967539709504755,0.00602389947544525,0.00717701014862539,0.00800891921660166,0.0111719938896377,0.00141491062153397,0.00309711035521129,4.449784388866516e-4,0.00166883688600484,1.2797810065906631e-4,5.691251419031746e-4,0.113,38.05,15921.70528,NA,NA,NA,0.02599814531964428,0.01967539709504755,0.00602389947544525,0.00717701014862539,0.00800891921660166,0.0111719938896377,mid,2045,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.12564805752801955,0.05231662743156638,0.05493342002849286,0.03749682204691416,0.03098374993856802,0.02732001079726974,0.02511115765800976,0.01934896069784188,0.0058637686374208,0.00728351483601887,0.00786949045268261,0.01151173453747545,0.00136716191912189,0.00306371223800306,4.109573286734379e-4,0.00160934386279221,1.1630366532887273e-4,4.76964746929286e-4,0.113,38.05,15921.70528,NA,NA,NA,0.02511115765800976,0.01934896069784188,0.0058637686374208,0.00728351483601887,0.00786949045268261,0.01151173453747545,mid,2050,3,Armenia
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.506868972286639,0.19444941145542896,0.20144389729339868,0.12663012361999884,0.11576957118185392,0.09612892081460828,0.10552019971469648,0.07566857588871376,0.0216752153993785,0.02510024732797654,0.0289945327672836,0.04064735786130616,0.0060414172789508,0.01244789466110508,0.00149584214514964,0.00559952560601778,4.6636127995086066e-4,0.00199106677127423,0.1268,12.61,20111.3757,FALSE,FALSE,TRUE,0.0060414172789508,0.01244789466110508,0.00149584214514964,0.00559952560601778,4.6636127995086066e-4,0.00199106677127423,low,2021,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.5042599133952674,0.18881007634453056,0.19639660864538333,0.12474198294457936,0.1125163801476734,0.09288846372685368,0.105337002688276,0.07280467905618038,0.02123929207792155,0.02345328725486885,0.02920606423101825,0.03777730344852865,0.00596535070124772,0.01275715722355997,0.0013506638154334,0.00495533426114457,4.409434847778252e-4,0.001612002442061,0.1268,12.61,20111.3757,NA,NA,NA,0.00596535070124772,0.01275715722355997,0.0013506638154334,0.00495533426114457,4.409434847778252e-4,0.001612002442061,low,2025,3,Azerbaijan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.533972736000642,0.2078465875602765,0.2150295234513533,0.13539611677504262,0.12177881340412657,0.10629763489305868,0.1118515600390515,0.07952322958725737,0.02339404203748777,0.02796118361935162,0.0306130696011638,0.03910605323266851,0.00629737675080901,0.01258794840809786,0.00152369520616659,0.005325279403124,5.360389375962697e-4,0.00239690325561305,0.1268,12.61,20111.3757,NA,NA,NA,0.00629737675080901,0.01258794840809786,0.00152369520616659,0.005325279403124,5.360389375962697e-4,0.00239690325561305,low,2030,3,Azerbaijan
