LocationHeader,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level,Year
Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,mid,0.05537301498829591,0.03474201279500735,0.00958253271842446,0.00987176010530829,0.01271607564343465,0.0158984470868198,0.290013161379708,0.09511288845053384,0.0776981380184832,0.04970368613779155,0.02507148218354389,0.02772045317794029,0.26841812206264104,0.09039661650461926,0.0412207529525191,0.02800607781790531,0.02511264568851631,0.02631019041415722,0.05537301498829591,0.03474201279500735,0.00958253271842446,0.00987176010530829,0.01271607564343465,0.0158984470868198,0.00352541937022717,0.0063385905773924,6.771305772152313e-4,0.00216983012861375,2.3440890291849236e-4,9.084611414347944e-4,0.290013161379708,0.09511288845053384,0.0776981380184832,0.04970368613779155,0.02507148218354389,0.02772045317794029,0.1348,22.57,5158372.87954372,271672.8314504395,0.0442257986156972,0.0049149699633362,0.1017709163879264,0.0169378901618358,21078.6337322333,29240.740034522,14054.5241653588,Turkmenistan,3,2021
Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,low,0.01530685183471935,0.03739541521942792,0.00264889457401909,0.01145767395256191,9.067345337273864e-4,0.00374831971834406,1.1474763727219968,0.5473662268190489,0.33132701111375756,0.28372411474739084,0.10983997678379892,0.12196682294746816,1.0700299735431051,0.5176275434846489,0.16055702924369716,0.14465256250915964,0.11280536761318032,0.1318485725518882,0.2208443349676498,0.1715868421426588,0.04124503465206342,0.05899416503676361,0.05133157370296305,0.0791484863417489,0.01530685183471935,0.03739541521942792,0.00264889457401909,0.01145767395256191,9.067345337273864e-4,0.00374831971834406,1.1474763727219968,0.5473662268190489,0.33132701111375756,0.28372411474739084,0.10983997678379892,0.12196682294746816,0.2183,6.61,34232868.959930085,4699273.178691864,0.0407832294269079,0.00452073266158294,0.0916503425469415,0.0147899380542528,10212.2274167206,12945.9932333251,7980.36385558262,Uzbekistan,3,2021
Central Europe,Central Europe,"Central Europe, Eastern Europe, and Central Asia",NA,NA,1.2572060342624982,0.4946690728928183,0.2876768513473277,0.17060737138553397,0.3455886463347813,0.25757003906697823,8.470278935056095,1.1681065081223188,3.0298744615625948,0.7649702028123723,0.9502448693171476,0.4106351667383133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2021
Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,low,0.00121087157925053,0.00284459310829512,3.4439387267662917e-4,0.00157206843073766,9.003812759125398e-5,3.22333542273919e-4,0.11257792251008464,0.04443128938561314,0.03943806815456086,0.02955400485310137,0.01216909008851549,0.01294278216352983,0.09867003745041564,0.04070433212503518,0.01927293655584945,0.01620478343342972,0.01240075389232273,0.01302747376032413,0.02265224139110101,0.01581239850676524,0.00484821586847277,0.00578449919436408,0.00638453323280563,0.00847803742409605,0.00121087157925053,0.00284459310829512,3.4439387267662917e-4,0.00157206843073766,9.003812759125398e-5,3.22333542273919e-4,0.11257792251008464,0.04443128938561314,0.03943806815456086,0.02955400485310137,0.01216909008851549,0.01294278216352983,0.0363,12.66,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,Albania,3,2021
Bosnia and Herzegovina,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BIH,mid,0.03072444942910651,0.02195982284458857,0.0068737717089031,0.00780148363480362,0.00905509900886795,0.01139784431026036,0.15001947128367543,0.06196253750726951,0.05364248351634877,0.04143018272111276,0.0179106642089455,0.01897435602093668,0.12849022180940775,0.04941996765380981,0.02606689664044138,0.01989889027196737,0.01760013646148444,0.01866469652504831,0.03072444942910651,0.02195982284458857,0.0068737717089031,0.00780148363480362,0.00905509900886795,0.01139784431026036,0.0015529256620493,0.0033665441640897,4.226066342202472e-4,0.00133744122064112,1.0416836351341788e-4,4.474095590487299e-4,0.15001947128367543,0.06196253750726951,0.05364248351634877,0.04143018272111276,0.0179106642089455,0.01897435602093668,0.0727,20.75,3302863.695245446,195637.2308647486,0.113607572556681,0.01281580120316194,0.136371566667327,0.01821524124957314,13289.8490196426,15527.7386242018,10819.5905878214,Bosnia and Herzegovina,3,2021
Bulgaria,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BGR,low,0.00468344293969384,0.00891018627609578,0.0011609614007435,0.0045896657689258,4.181400135817266e-4,0.00151398961863991,0.39068140116596706,0.12869356214073696,0.12021167798357885,0.07636357440732604,0.0395945821588526,0.03542883863102448,0.3466315692562995,0.11738881296535428,0.06222752956137541,0.04234617208369186,0.0374206580932192,0.03797873948095748,0.07408153208635514,0.0497008565499514,0.01516567864406262,0.01549201581663846,0.01898578567827533,0.02288657189523948,0.00468344293969384,0.00891018627609578,0.0011609614007435,0.0045896657689258,4.181400135817266e-4,0.00151398961863991,0.39068140116596706,0.12869356214073696,0.12021167798357885,0.07636357440732604,0.0395945821588526,0.03542883863102448,0.1094,15.72,6786933.061145688,321238.7967637591,0.1076788824989007,0.0121873093461696,0.1197108635857866,0.01753805773817215,20994.6725339766,24131.5184282809,19261.3670868489,Bulgaria,3,2021
Croatia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HRV,mid,0.06955850588666482,0.04710660742420144,0.01764880978565695,0.01780365744615363,0.02110237569884007,0.02540568666163403,0.35021903273958377,0.10973658486387217,0.14546447874743745,0.07869817672194876,0.04254640262708303,0.04090226818195713,0.300724668828948,0.09605925638716624,0.0724559114150856,0.04188238802391946,0.04716987345468023,0.04271395225965058,0.06955850588666482,0.04710660742420144,0.01764880978565695,0.01780365744615363,0.02110237569884007,0.02540568666163403,0.00417776226899757,0.00799292122165526,0.0013630934695676,0.00440716003125664,4.54992255314375e-4,0.00187207161629924,0.35021903273958377,0.10973658486387217,0.14546447874743745,0.07869817672194876,0.04254640262708303,0.04090226818195713,0.1494,36.8,4208639.425213091,269728.32317858515,0.1069265862475519,0.01268040788402729,0.1935696238740399,0.02008085962004825,26567.4870426111,29978.7113025584,23362.0376308147,Croatia,3,2021
Czechia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",CZE,mid,0.1902617253158161,0.12150802526520996,0.04430262319557172,0.04344410808504814,0.05088265371199022,0.05854458127732692,0.9573129853155882,0.2678955996615675,0.34090413765507055,0.16640961234071938,0.10521968496194804,0.1004015335202328,0.8212556978284536,0.2355546510374695,0.16787694611227144,0.09604857267651257,0.10651105826213698,0.09275611595136132,0.1902617253158161,0.12150802526520996,0.04430262319557172,0.04344410808504814,0.05088265371199022,0.05854458127732692,0.01117589937578525,0.01971005852752336,0.00277015459444697,0.00889785407171136,9.940050063996723e-4,0.00306019703235361,0.9573129853155882,0.2678955996615675,0.34090413765507055,0.16640961234071938,0.10521968496194804,0.1004015335202328,0.8438,79.32,10632383.165547736,489422.5338721191,0.1104933261255784,0.01213735053406459,0.1595778247494727,0.01954574411408359,34514.251086906,41197.8841598344,29535.4014664374,Czechia,3,2021
Hungary,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HUN,mid,0.11145521709895476,0.06445308740490173,0.01728643196541225,0.01715829256600795,0.02100899441293979,0.02339872381453864,0.612273546869092,0.17289028215825156,0.13862749134477215,0.07616792593546698,0.04177497668784665,0.04647323615328822,0.5790765948107653,0.1680556631969907,0.06826854564218678,0.04149706773985366,0.04371795800800946,0.03745432029063263,0.11145521709895476,0.06445308740490173,0.01728643196541225,0.01715829256600795,0.02100899441293979,0.02339872381453864,0.00683080476575111,0.01176875967867223,0.00117596893044804,0.00379046787666571,3.575473413070741e-4,0.00124011404311256,0.612273546869092,0.17289028215825156,0.13862749134477215,0.07616792593546698,0.04177497668784665,0.04647323615328822,0.3639,37.29,9597310.37319277,635875.2029382624,0.1147826566810308,0.01257403637107555,0.0756220483996345,0.01334762454733765,30266.9626270379,34472.6557253679,26236.0066870831,Hungary,3,2021
Montenegro,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MNE,low,3.696999055782809e-4,6.7501116314828e-4,9.270928530206832e-5,2.8420977767063536e-4,3.0689026540622555e-5,1.1803396897139876e-4,0.03383119484442284,0.01178235102159536,0.01161913591346544,0.00734837261399483,0.00346438675967031,0.00384712204197304,0.02945107409110902,0.01026565832229436,0.00570327688638205,0.00380605695570375,0.00368024650725891,0.00368934811504646,0.0066591244600158,0.00434980305679545,0.00138431777733912,0.0014020369650669,0.00178956566600351,0.00237549436324177,3.696999055782809e-4,6.7501116314828e-4,9.270928530206832e-5,2.8420977767063536e-4,3.0689026540622555e-5,1.1803396897139876e-4,0.03383119484442284,0.01178235102159536,0.01161913591346544,0.00734837261399483,0.00346438675967031,0.00384712204197304,0.0057,9.18,618060.3127515384,41495.66649758967,0.0939563069436163,0.0106652243466505,0.1320704292148203,0.01771137470131391,18069.6182034713,19828.2300039147,16441.4091782016,Montenegro,3,2021
North Macedonia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MKD,low,0.00127073517609975,0.00284484521838452,3.5726804105880896e-4,0.00140148603530542,9.046690711323872e-5,3.833405271727928e-4,0.10142271314563275,0.03913706519694734,0.03547872957995929,0.02514044925433023,0.01151464095483926,0.01222489089486945,0.08718400114873487,0.03612440770843535,0.01781466382474717,0.01402450301775912,0.01140528626452685,0.01374645514039417,0.02023996496366614,0.0148169663822329,0.00437148922928533,0.00574093402656224,0.00572463440297166,0.00805200634239145,0.00127073517609975,0.00284484521838452,3.5726804105880896e-4,0.00140148603530542,9.046690711323872e-5,3.833405271727928e-4,0.10142271314563275,0.03913706519694734,0.03547872957995929,0.02514044925433023,0.01151464095483926,0.01222489089486945,0.0319,15.34,2176435.003604734,205771.4814476606,0.101901856992842,0.01185927173123544,0.13136598614102,0.01832498278892046,14213.135135604,16337.4545247358,12887.4315139784,North Macedonia,3,2021
Poland,Central Europe,"Central Europe, Eastern Europe, and Central Asia",POL,mid,0.6935041672126854,0.4667069216010388,0.16292318675504047,0.16090184530335477,0.20418137927484944,0.24605286833015624,3.244906838233122,0.9916560731505788,1.2462084961516258,0.6601523561502883,0.39802755784049254,0.3580390453848308,2.809035765002267,0.8421528259975865,0.6385575042098066,0.361588175141289,0.4000342007178644,0.3534693405971272,0.6935041672126854,0.4667069216010388,0.16292318675504047,0.16090184530335477,0.20418137927484944,0.24605286833015624,0.03483889367553514,0.07056385067763828,0.0094921351267762,0.03471320884384424,0.00297572135215531,0.0091357979963797,3.244906838233122,0.9916560731505788,1.2462084961516258,0.6601523561502883,0.39802755784049254,0.3580390453848308,1.7024,44.83,38238455.52324434,1826320.6916113608,0.1315941822163299,0.01358401831962004,0.1731818872173541,0.01955728780618819,31549.4635028328,35287.6229116764,28884.8660831154,Poland,3,2021
Romania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ROU,low,0.01530302138906308,0.02999444216711004,0.00340254707244988,0.01012389406319176,0.00111808395291691,0.00379750471335773,1.39066405806243,0.4408196919506893,0.4977743132576661,0.28404498607567497,0.1495748626071091,0.13954931164048226,1.2065114839433284,0.373241115095388,0.24688849144492855,0.15440822798099457,0.15194943863640042,0.14450355638889378,0.27517261924038744,0.19737711362484045,0.06083132286143718,0.06338201788673702,0.07708035086369988,0.10710970767639924,0.01530302138906308,0.02999444216711004,0.00340254707244988,0.01012389406319176,0.00111808395291691,0.00379750471335773,1.39066405806243,0.4408196919506893,0.4977743132576661,0.28404498607567497,0.1495748626071091,0.13954931164048226,0.3761,19.27,18938555.14908574,1287331.811123833,0.0962692423177426,0.01126439041203639,0.1502914008806542,0.01854405701041875,25878.436479183,30482.513241722,20333.3880336914,Romania,3,2021
Serbia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SRB,low,0.00520873649732102,0.01001913194960751,0.00127385927106149,0.00460739937078957,4.4020283120969097e-4,0.00173663201150111,0.4805528874855513,0.17409321104039055,0.16887262834716987,0.11298327501353352,0.05338148986327831,0.05323474041337723,0.416145699527887,0.14667016074601552,0.08039276794615151,0.05856191944812788,0.05408043819916104,0.05616377040234075,0.0946030781276238,0.06914501620660844,0.01971123183355525,0.02299114694829546,0.02583167358515539,0.0345037776722306,0.00520873649732102,0.01001913194960751,0.00127385927106149,0.00460739937078957,4.4020283120969097e-4,0.00173663201150111,0.4805528874855513,0.17409321104039055,0.16887262834716987,0.11298327501353352,0.05338148986327831,0.05323474041337723,0.11,15.79,8919508.964871261,556716.6171652973,0.1079537301842001,0.01205756849366815,0.1351138296559652,0.0178698452643171,17449.2696076552,18904.519585969,15267.1090117256,Serbia,3,2021
Slovakia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVK,mid,0.09012351411233958,0.05667004164778444,0.02082407070943151,0.01981351208621672,0.02399284452834806,0.02771851063318283,0.4416932578976685,0.1234852536977538,0.1486254158949252,0.0743842558352708,0.04860247902723419,0.04209794774170077,0.3885336327321488,0.11036425610661592,0.08044944960018041,0.04919032888417781,0.04680257839774914,0.04039712428601901,0.09012351411233958,0.05667004164778444,0.02082407070943151,0.01981351208621672,0.02399284452834806,0.02771851063318283,0.00518988247015037,0.01021775261746659,0.00138012623060533,0.00497106979441245,3.963167842584448e-4,0.00116756877681016,0.4416932578976685,0.1234852536977538,0.1486254158949252,0.0743842558352708,0.04860247902723419,0.04209794774170077,0.3082,56.55,5429455.079845927,265050.94918173924,0.1057110726995101,0.011450288118054,0.1486702507121111,0.01904286352937514,30838.4100009658,33130.5478279604,26770.7613037904,Slovakia,3,2021
Slovenia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVN,mid,0.04353194771992451,0.0309014391889609,0.01118621828401929,0.01076858682116913,0.01317767883999235,0.01617631783633709,0.2041236255032762,0.05886178644209485,0.08300740501601461,0.04005040883782013,0.02646405153133255,0.02211061077766893,0.1747661904918842,0.05140899485188269,0.04332194563989542,0.02279258330450101,0.02678618034875244,0.02225844181116778,0.04353194771992451,0.0309014391889609,0.01118621828401929,0.01076858682116913,0.01317767883999235,0.01617631783633709,0.00240918108227298,0.00433349124731264,6.979017603611283e-4,0.00241215724939704,2.226042794947793e-4,7.056814558580082e-4,0.2041236255032762,0.05886178644209485,0.08300740501601461,0.04005040883782013,0.02646405153133255,0.02211061077766893,0.1215,58.73,2069651.4753263283,90570.90063723164,0.1196880701340034,0.01305418439472559,0.2015656000542071,0.02089083778457405,34628.9144662576,41800.0049406099,29101.0680263019,Slovenia,3,2021
Eastern Europe,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",NA,NA,0.26144221332162415,0.2315314242843768,0.06396322680334729,0.08975322407205055,0.04673925746061309,0.04240197411104718,14.095176385604493,3.416554985795475,5.24988639656088,2.167527899998541,1.6886051215242477,1.1527649761958063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2021
Belarus,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",BLR,low,0.00618162384359457,0.01208823565272092,0.0013574936117275,0.0039347525297862,5.913781737740567e-4,0.00210707764022362,0.5836315250977779,0.2005591574234721,0.22642477886582815,0.1374686875427717,0.07070327042203499,0.07174628879384479,0.49161005697843063,0.17090300304331918,0.10829624133881292,0.07259637555764652,0.06814594957072007,0.06727838737152955,0.12333514211250196,0.08433363779604268,0.02995349652882909,0.03192146754225184,0.03461221226653253,0.04352497872495595,0.00618162384359457,0.01208823565272092,0.0013574936117275,0.0039347525297862,5.913781737740567e-4,0.00210707764022362,0.5836315250977779,0.2005591574234721,0.22642477886582815,0.1374686875427717,0.07070327042203499,0.07174628879384479,0.1371,14.47,9324657.46768948,648450.7410378968,0.0813095064323887,0.00843724893395895,0.1635935886780656,0.01896070708058225,18938.0402406794,22107.1719968615,16916.921060223,Belarus,3,2021
Estonia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",EST,mid,0.02469653989504439,0.01576727796516293,0.00605263898163254,0.00607193130180952,0.00706528911529072,0.00761876172295671,0.1231576438591824,0.03638587801652533,0.04512325341078189,0.0232704755205143,0.01417596468144884,0.01233245788599079,0.10541649630074534,0.03068319460572234,0.02320482148024436,0.0135053249531116,0.01399435390465016,0.01268875664629041,0.02469653989504439,0.01576727796516293,0.00605263898163254,0.00607193130180952,0.00706528911529072,0.00761876172295671,0.00139234618696513,0.00263391371240112,3.649868217447243e-4,0.00120553990475944,1.3991346193291217e-4,5.59774635973516e-4,0.1231576438591824,0.03638587801652533,0.04512325341078189,0.0232704755205143,0.01417596468144884,0.01233245788599079,0.149,113,1310833.8831970918,60941.85400673142,0.092076043166901,0.01027116092326305,0.1750178457081086,0.01898064020194949,33787.8948133632,40588.8279883706,28707.1135405323,Estonia,3,2021
