Country,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd
Gabon,1816084.41,99557.00029,0.023037715,0.002628854,0.136371567,0.018215241
Gambia,2394154.539,145229.18,0.013637296,0.001564817,0.141789558,0.013777491
Georgia,3607286.293,198973.4461,0.095359865,0.010663502,0.114274344,0.016946263
Germany,85371847.52,4303496.74,0.091892131,0.011164471,0.02560195,0.00490878
Ghana,34245939.47,2303997.35,0.014552516,0.001753564,0.145084158,0.015186866
Greece,10174910.32,667049.4982,0.114315822,0.014066172,0.163593589,0.018960707
Greenland,56102.51322,2521.470507,0.047398549,0.005871179,0.074230733,0.012347527
Grenada,102626.503,6509.302942,0.054700131,0.006740415,0.091650343,0.014789938
Guam,159196.3959,6005.313566,0.037599021,0.004888601,0.101770916,0.01693789
Guatemala,15767371.65,687953.9477,0.042675464,0.004573983,0.105065215,0.017300454
Guinea,13429750.83,762645.8359,0.013293724,0.001554292,0.103330695,0.017073685
Guinea-Bissau,2063911.221,137496.4256,0.012750545,0.001548067,0.099415103,0.016129517
Guyana,764739.936,47166.53931,0.043149824,0.005562137,0.118042254,0.01737777
Haiti,12864028.23,1157530.041,0.033776455,0.003910313,0.161502023,0.02440508
Honduras,10110155.81,588093.2822,0.038711517,0.004268734,0.122404768,0.019024809
Hungary,9597310.373,635875.2029,0.114782657,0.012574036,0.160403074,0.018919661
Iceland,350385.9394,16826.49255,0.070096283,0.008800218,0.209344403,0.018989553
India,1414494975,93506698.96,0.025893594,0.002414825,0.1644529,0.017701501
Indonesia,278914182.2,10597419.52,0.035450267,0.003168125,0.14798142,0.014456476
Iran,85355878.93,4287652.705,0.054647023,0.00586483,0.182891148,0.019103386
Iraq,41224333.53,5418364.688,0.035501853,0.004060423,0.16579556,0.019123093
Republic of Ireland,4941374.274,255351.2426,0.084711491,0.010153224,0.133072025,0.016549596
Israel,9593936.117,727021.3839,0.057653762,0.006448271,0.039657293,0.007792761
Italy,59811452.41,2646731.84,0.095032657,0.011715768,0.191245911,0.019478048
Jamaica,2799893.602,182556.1057,0.058085279,0.006480458,0.175017846,0.01898064
Japan,127697460,4688756.574,0.08267832,0.008202448,0.142300959,0.021779237
Jordan,12324575.43,678399.3839,0.04073818,0.004842492,0.100821159,0.016585208
Kazakhstan,18955521.2,939864.8343,0.061669864,0.006599922,0.047754668,0.009508781
Kenya,50062395.98,1985804.77,0.01084306,0.001263291,0.067563323,0.012951568
Kiribati,121160.9728,6625.512334,0.019232047,0.002378893,0.120903302,0.017027172
Kuwait,4650081.848,313326.4336,0.040147663,0.004940302,0.040959971,0.008135284
Kyrgyzstan,6863084.431,518226.8551,0.047359142,0.005306725,0.140210581,0.017553921
Lao People's Democratic Republic,7377551.998,360237.7284,0.015921082,0.00187327,0.08449999,0.011074075
Latvia,1870327.888,89520.78973,0.084805454,0.009672726,0.157575509,0.019266305
Lebanon,5540425.25,426669.5628,0.062260589,0.006647807,0.153384058,0.019926261
Lesotho,1874384.858,96492.0267,0.051008457,0.006978379,0.282403544,0.018082458
Liberia,5459481.264,426763.3724,0.014965383,0.00176136,0.109120484,0.016002218
Libya,6870567.248,553180.5308,0.049745165,0.005534851,0.196649723,0.014464151
Lithuania,2728300.438,138914.9617,0.079096471,0.008997557,0.141784757,0.020497468
Luxembourg,644266.3476,29269.74686,0.070311018,0.00840932,0.119710864,0.017538058
Madagascar,28557424.54,1199077.034,0.009602112,0.001222419,0.092970757,0.020247399
Malawi,19447840.53,791793.449,0.009952787,0.001226676,0.077978562,0.013928126
Malaysia,31812225.57,2086397.311,0.045276908,0.004944058,0.038830296,0.007406627
Maldives,517207.7095,26791.5704,0.022343715,0.002437676,0.189818822,0.028414728
Mali,24104148.77,1684988.508,0.008839413,0.00103038,0.135615881,0.024279328
Malta,442219.1095,28952.02567,0.074753958,0.009117127,0.098493809,0.019721375
Marshall Islands,56273.10085,3687.467667,0.019012093,0.002557861,0.106261183,0.015545973
Mauritania,4396234.461,266585.1808,0.018647797,0.002134127,0.148670251,0.019042864
Mauritius,1271963.562,83400.57173,0.074773608,0.008615503,0.093259588,0.016802627
Mexico,129275998.6,4928576.11,0.065855765,0.007313507,0.01964157,0.003814253
Micronesia,102577.7687,6905.679657,0.022303592,0.002933505,0.093132479,0.016269751
Monaco,37863.45034,1786.795316,0.093050258,0.012107239,0.171172656,0.01921101
Mongolia,3336292.909,121927.6823,0.042145228,0.004633353,0.165001323,0.017607385
Montenegro,618060.3128,41495.6665,0.093956307,0.010665224,0.157124399,0.016366035
Morocco,37176612.16,2066891.069,0.06278805,0.00710729,0.125191106,0.020128878
Mozambique,31072654.15,1433510.733,0.008836224,0.001108721,0.107100573,0.016119836
Myanmar,56419669.8,3185755.098,0.020845255,0.002452072,0.19581535,0.016902749
Namibia,2431170.481,148527.2269,0.054758707,0.007769088,0.051240936,0.010613197
Nauru,11024.43458,710.0483345,0.025355509,0.003000097,0.125244405,0.02121265
Nepal,31129811.76,2100644.92,0.00962926,0.001276607,0.075622048,0.013347625
Netherlands,17210661.8,841215.6197,0.123598236,0.013789477,0.180777409,0.019252342
New Zealand,5169513.536,218964.1973,0.104142747,0.012489806,0.217344154,0.019015846
Nicaragua,6668976.124,552903.2706,0.045389556,0.004827758,0.153664719,0.017696887
Niger,25038186.78,1496375.886,0.011532016,0.001343964,0.161944043,0.017425627
Nigeria,231165679.3,13414045.76,0.009583698,0.000836796,0.159577825,0.019545744
Niue,1671.672525,104.5548997,0.04140877,0.005566461,0.089565068,0.014569532
North Macedonia,2176435.004,205771.4814,0.101901857,0.011859272,0.138484967,0.020324835
Northern Mariana Islands,48492.16163,1819.533621,0.028157966,0.003820719,0.145981506,0.020312654
Norway,5418070.187,272363.8092,0.088904293,0.008182352,0.139690632,0.019418503
Oman,4703760.373,178576.7314,0.029365033,0.003562133,0.032773023,0.006790793
Pakistan,235553608.3,10609774.92,0.01541475,0.001780197,0.2015656,0.020890838
Palau,18096.84549,995.0124472,0.058080245,0.006929947,0.052640833,0.010674317
Palestine,5135588.142,238880.5237,0.035556872,0.004055618,0.091544112,0.017910548
Panama,4292001.105,287534.0935,0.053314244,0.005718319,0.050393499,0.008716808
Papua New Guinea,10461571.55,662472.9703,0.014622765,0.001805394,0.139893263,0.019171554
Paraguay,7168840.816,646203.0131,0.042378408,0.004711528,0.039814345,0.008242287
Peru,36270781.48,1713178.699,0.095233099,0.008763916,0.08950839,0.016685966
Philippines,113249535.8,6016431.647,0.043643835,0.003629284,0.132049479,0.014579053
Poland,38238455.52,1826320.692,0.131594182,0.013584018,0.069634029,0.012333033
Portugal,10607848.7,720607.4248,0.099136271,0.011691236,0.158021673,0.019920881
Puerto Rico,3294345.478,120141.0267,0.097531017,0.011316693,0.127828229,0.017064573
Qatar,2977061.658,112627.6026,0.017704099,0.002373836,0.019108625,0.004165935
Republic of Korea,51570479.89,1778108.566,0.035238626,0.004244058,0.214541634,0.033332912
Republic of Moldova,3593444.205,299071.9537,0.086999053,0.009006166,0.070469526,0.015358277
Romania,18938555.15,1287331.811,0.096269242,0.01126439,0.056703841,0.008322427
Russian Federation,144853838.8,9363363.203,0.112589896,0.011577099,0.151701683,0.014771319
Rwanda,13270032.61,839242.5752,0.0109642,0.001308404,0.038225142,0.00649804
Saint Kitts and Nevis,58645.29054,5487.450405,0.054866598,0.007179845,0.030614165,0.005174685
Saint Lucia,177512.3969,12023.55355,0.067822584,0.008456662,0.045753308,0.008357115
Saint Vincent and the Grenadines,114075.2638,7456.28372,0.062878828,0.007676496,0.154802076,0.020803893
Samoa,213639.8551,10948.18934,0.021994285,0.002651708,0.153757504,0.018050033
San Marino,32740.07406,2319.140373,0.092032618,0.011346156,0.116549513,0.018841742
Sao Tome and Principe,216618.0231,13200.56429,0.015984869,0.001864959,0.01826097,0.003856102
Saudi Arabia,37704187.98,2656388.654,0.033387894,0.004400154,0.212194665,0.017908566
Senegal,15859552.13,878004.4682,0.01895424,0.002263732,0.180752025,0.014117846
Serbia,8919508.965,556716.6172,0.10795373,0.012057568,0.051669785,0.011165485
Seychelles,105431.4959,7613.053834,0.036104297,0.004359823,0.171698575,0.01330368
Sierra Leone,8867262.191,470583.682,0.014643421,0.001712572,0.069567691,0.013832507
Singapore,5727285.715,234241.0814,0.029381507,0.003706096,0.071236073,0.013063904
Slovakia,5429455.08,265050.9492,0.105711073,0.011450288,0.135728016,0.016365043
Slovenia,2069651.475,90570.90064,0.11968807,0.013054184,0.057024096,0.011530535
Solomon Islands,683564.3095,48040.36704,0.016262231,0.001980111,0.226836442,0.019234251
