Dent_exp_usd,Dent_exppc_usd,iso3c,Country,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd,Prophy_shape,Prophy_rate,Consult_simple_shape,Consult_simple_rate,Consult_perio_shape,Consult_perio_rate,OPG_shape,OPG_rate,PA_shape,PA_rate,RootDeb_shape,RootDeb_rate,OHI_shape,OHI_rate,Extraction_shape,Extraction_rate,OFD_shape,OFD_rate,GTR_shape,GTR_rate,Single_implant_shape,Single_implant_rate,Implant_surgery_shape,Implant_surgery_rate,Full_fixed_shape,Full_fixed_rate,Denture_shape,Denture_rate,Denture_repair_shape,Denture_repair_rate,Maintenance_simp_shape,Maintenance_simp_rate,Maintenance_perio_shape,Maintenance_perio_rate
0.0167,0.46,AFG,Afghanistan,31222195.762415607,4829792.382241702,0.0242486438673279,0.00275344427633834,0.0477546676524796,0.00950878115189285,1435.87845849541,1845.92971927636,1089.5657583314,5.647709682723868,2.8172676685534603,1.200649420669549,19.39191763132006,10.774233018577137,2.494746833160491,4.280145385413891,2.9963928604610315,4.168981068897827,0.7804663760985171,228.87545124496086,598.56085969,1270.1335580632187,1906.1250221445507,7.715064789264823,1.630749731105049,3.8136429046124194,33.12088662294425,33.74492143467156,72.01215413674137,52.96106696273362,10.469421978461007,69.18556985662269,20.26783205069445,51.72571867055103,262.6395699906446,329.07862084221364,938.0234703843448,1797.531225310975,8046.7078240814635,498.75945752380096,53.12945129685941,25.24162874493207,55.547021616644095,4.018727006328568,0.7115675613818647,0.0012659471884986352,0.0010543853740358883,0.07251534387834588,0.003739462246953117,0.04138655488062602,0.0038412529977091218,0.05678159013435004,0.02276046185512772,0.003827242647495025,8.941851976658801e-4,0.0218566155622712,0.0072943090509527825,0.006496011412537339,0.0015581772392779707,8.83055658718035e-6,1.131446127291675e-5,0.48372562014449366,0.002113488438857393,0.40718260748353585,6.802693508800748e-4,0.4992819831085208,3.9309408049170675e-4,0.056113363317562344,2.9438448509757296e-5,2.392747478396076e-4,3.1013964804618104e-5,9.421151112293954e-4,5.777190044918712e-4,0.022826814003186906,0.005985566707249638,0.35553499405534855,0.010734464874169592
0.0363,12.66,ALB,Albania,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,24.903196489562507,4.630974649695702,17.80315202154679,44.0654954785912,29.681447397036052,6.77433131722459,48.690872873436504,11.741265532338465,27.568124926834415,115.03397933287381,285.95179016822385,1018.1951678582193,1280.8890641296357,5462.520154787885,199.50021769648717,31.88188865910461,32.08235408628023,61.4993845473488,33.89340083466464,72.16599677712087,53.08388919791664,10.501242181027239,69.70296375018506,20.33645147115555,51.918190894679626,263.56827985842403,329.2589124522428,941.4371335445842,1797.5323976872878,8075.291168427919,500.10110067590995,53.51315712721332,25.811921670803354,55.81051584523734,28.91780888533782,1.1612087186260578,0.27590749937866765,0.015497676986903356,0.37284823049804544,0.008461228597308981,0.3126401010732961,0.010533182458767693,0.4161515510804257,0.06143064630191735,0.48796944764031563,0.010021784758484567,0.3333338898387795,0.02838994560856257,0.28195211352363875,0.010227467927976146,0.19048728964528694,0.0016559219349795236,0.7542417365256066,0.002637653487260528,1.1697132636284153,0.0011488104643915325,0.5077729744147486,3.964222887325378e-4,0.45758283397833643,8.37677154522288e-5,0.1591369855102165,7.976782549296366e-4,0.35494979831375806,0.011133273881890744,1.5448694264686353,0.04815324406413452,1.2142537851652218,0.01974416157336273
0.3237,7.46,DZA,Algeria,44197950.69413077,3381449.6637121327,0.0498025811034329,0.00552831948280544,0.1224047683115222,0.01902480921860196,12503.8702057827,13804.0970388439,10177.6946645367,24.552724831083292,4.613275949344122,17.500967678984832,43.61640842950772,29.337314691022762,6.696438034817458,47.88254735701965,11.582098949886024,27.142234019107665,112.92602531069562,284.9129361853033,1010.557348393366,1280.6933017432207,5397.789737278926,196.00951079900102,31.27192070168793,31.567831540561443,60.98286375862572,33.89160644174028,72.16413549874693,53.08240335627168,10.500857372597755,69.69672039466201,20.33562178326621,51.915864067106575,263.55705151570254,329.25672947000413,941.3958635648319,1797.5323834882452,8074.945591131888,500.084873113519,53.508526396319006,25.805090058053757,55.8073320198188,28.32569187428774,1.1536679561703043,0.2666489121609753,0.015236238192769617,0.3653061429617398,0.008375429250488215,0.3054496018196192,0.01041164145514269,0.4066663047595983,0.06072874902226791,0.47198675154232256,0.009857177146886456,0.32438415323092223,0.028007371948252473,0.27333233285233105,0.010070369766169941,0.18358568072522,0.0016257163060518342,0.7487813464840501,0.002628105822464493,1.1523312972802342,0.0011402928286180565,0.5076177851482983,3.963617085037865e-4,0.4468406933743369,8.278215994378346e-5,0.15362675374444665,7.837719359545976e-4,0.3415569530255327,0.010922161010951172,1.4965069652401504,0.0474060742283578,1.194079132040782,0.01958056835059481
0.0146,189.89,AND,Andorra,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.02251271161974739,44149.1876753066,49135.2624360747,38533.5607629857,60.87192382798692,10.272166282597528,48.81617678570641,90.15506999595398,64.99961128092177,14.76847911380921,131.64890784508083,28.07645060967901,71.27709130205892,331.3722241845867,392.56884393584033,1802.060679219401,1300.9800578796517,12105.76984860072,557.7496840266749,94.48258864351433,84.88754020813737,114.5096493283167,34.803212379455715,73.11614569947565,53.84196394360393,10.697144713570472,72.84035417911187,20.758399754516528,53.10034375361438,269.2760278693882,330.3787278709105,962.4096066819137,1797.5396938372467,8250.951389895368,508.371104103097,55.84188155246346,29.111038801648405,57.42317578863575,35.11639886594612,0.5768899134053778,1.967382766105664,0.040301860892181185,1.5203855404205848,0.016864115800573582,1.4574032481950285,0.02242172252225138,1.906056649681727,0.12906248740938234,3.266558373447285,0.0248126507611536,1.8293494143061269,0.06515600706577496,1.8017945626575183,0.025278733036703915,1.5143868188877976,0.004570047542802585,1.4119115953358168,0.0035965961566898396,3.5060565942987876,0.0019455818745334962,0.5238226824914282,4.026369807275592e-4,2.1526665823684037,1.7782153545709662e-4,1.2036963716438287,0.002158130082573495,2.8627503801712684,0.03029923736501878,8.503006128842788,0.10016789399238223,3.9765802793877993,0.03472703219958639
0.0702,2.33,AGO,Angola,32706452.127798323,1871268.125927901,0.0182214261135753,0.00221946132419165,0.0696340291706627,0.01233303290510474,5765.65437715755,6985.80948028651,4755.70598405405,14.330598151283304,4.032352592319363,8.68722609507422,30.51798921378906,19.30007478753189,4.424542487753284,24.30630195337641,6.939723654606317,14.720371351385191,51.44381261652065,254.61291974086933,787.7868154893464,1274.9835450063918,3509.812459218469,94.19686134543451,13.481124839939758,16.560870165216755,45.91762008674522,33.83647685539839,72.1069756213751,53.03677155237328,10.48903786612709,69.5047924446046,20.310135989683126,51.84438558323486,263.21213697250823,329.18971043539545,940.1280989468584,1797.5319476137695,8064.330044051151,499.5864718576775,53.366179266648096,25.594489822129308,55.70950816806153,12.630240945876777,0.8813477855246216,0.06591617160676168,0.007587712220836187,0.1791254397816012,0.0058695033452815515,0.13242312244494542,0.0068612750936329295,0.17793665958024144,0.040215832500818637,0.12229488020907858,0.005031406276596943,0.11675048438526874,0.01682350626566727,0.08061838026322704,0.005476653974197521,0.03819921806177154,7.425425161723774e-4,0.5982302510652651,0.002349567538340592,0.7021717450315665,8.913220318309101e-4,0.5031018610483647,3.945947875318207e-4,0.18942235664460688,5.3969366980589496e-5,0.035550975747505514,3.774114682774256e-4,0.063814598238015,0.004733625642940056,0.4186714538138569,0.02528076421329622,0.6793601874499958,0.014795195965439484
0.0048,51.88,ATG,Antigua and Barbuda,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887,35.11868013576803,5.354963319761477,26.611165836347432,57.15540245007636,39.71216441894238,9.044750431945966,72.25179682830951,16.380623896209414,39.98191502281205,176.47623670100134,316.2321155998717,1240.8209293090677,1286.5951102779532,7349.270496724714,301.2467023614684,49.66112285092989,47.07956291680818,76.55483779860981,33.97259742799547,72.24819567832644,53.1495045811132,10.518232165656503,69.97829104987285,20.373080255255424,52.02090560035282,264.0639648460822,329.3553603368512,943.258982082352,1797.5330251190924,8090.546913336009,500.8176445242962,53.71738281926593,26.112014788912692,55.95102287881576,43.009398633980055,1.22468721682326,0.6135787315207224,0.02305719092857829,0.6258360312673842,0.010949726612703575,0.5582756352378921,0.014058051063356275,0.7394480548466476,0.08175439006419952,1.0660329768291388,0.014754414749882712,0.6464686751178668,0.03946544888729568,0.5907059793495688,0.014774329318956735,0.44663647616894697,0.002530859023958395,0.9218971552265801,0.002915254680815076,1.7304391081813364,0.0013945921343742204,0.512306701190686,3.9818797467682616e-4,0.82514961917244245,1.1227639798265418e-4,0.36181399425753524,0.0012010554519643892,0.8546796813894356,0.01721023674706203,3.250753796150638,0.06904808784854001,1.8721007626010708,0.024454375666315722
1.106,24.55,ARG,Argentina,45487217.34507201,3181193.6874047257,0.0540102541548344,0.00620817028867669,0.1434921939072546,0.01929567287948215,17984.9588039322,22119.3683946301,15846.5139668735,31.771197983998384,5.058330051098489,23.724893383790818,52.86600887137413,36.42522790539262,8.300763389649688,64.5311861211077,14.86036603504688,35.914076218377645,156.342401923571,306.3096437480502,1167.8693404474227,1284.7253125962973,6731.006759713613,267.90569245756234,43.835097261688745,42.16517113417319,71.62136007099204,33.93878288580172,72.2130872208884,53.12147998589098,10.510976467044369,69.86078880254867,20.357438481663536,51.97704504670504,263.8522948102128,329.31415593560104,942.4810187683368,1797.5327570456366,8084.03233999213,500.5116229733532,53.63022149099349,25.984222509649168,55.89103374098745,39.45053120180614,1.2417073860946466,0.48867037551499115,0.02059736866294445,0.5359462354188197,0.010137822900964702,0.4701800774644796,0.012908088830238211,0.6236629458418531,0.07513320360624964,0.8532421975705593,0.013222168208240478,0.5328595476139782,0.03585776732264033,0.47742617817825245,0.01329356699237465,0.3511007912546359,0.0022457170091724305,0.8651681854928013,0.0028244888894338265,1.5354769085400213,0.0013147677187516239,0.5108188736683361,3.976094100894018e-4,0.6932724928748226,1.0299684989535199e-4,0.2865072055488148,0.001069433064003293,0.6680743039083874,0.015240625563577224,2.633226890982209,0.0624502834958989,1.6421046968400184,0.022927583268627438
0.113,38.05,ARM,Armenia,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,23.76629013561893,4.574213714967599,16.82288645424893,42.608687467945565,28.565104176120492,6.521650777855269,46.06871957391788,11.22493990500849,26.186563629745834,108.19591906850174,282.5818181164838,993.4185981420111,1280.2540241896193,5252.5390588022865,188.1766006350466,29.903193863930106,30.413277750655222,59.82382604658051,33.88767007888818,72.16005258621244,53.07914399278059,10.500013239655416,69.68302353354704,20.333801730814297,51.910759767685484,263.53242028772286,329.2519410122712,941.3053308556199,1797.5323523424142,8074.187509908336,500.0492758470456,53.498367408890466,25.79009846608379,55.8003476107182,26.995407389714728,1.135869638705465,0.24644363548879483,0.014649307427653175,0.34866040513717445,0.008182847814767141,0.28961683539677935,0.010138833508574764,0.3857761597262652,0.05915314586242423,0.4370773594715596,0.009487508303117977,0.30474099420295664,0.027148563536360963,0.2544733176723035,0.009717705662733169,0.1685596650139262,0.001557911485619033,0.7366000470413592,0.00260667884420548,1.113790569024467,0.001121169435631251,0.5072696368445644,3.9622577024560275e-4,0.42319538128880185,8.056967812159424e-5,0.14161381816745786,7.525580634868969e-4,0.31243098266742075,0.010448080699643323,1.3906583756883393,0.04572536992197032,1.1494089147374922,0.019213229756360455
2.1157,236.39,AUT,Austria,8982311.518103808,400434.1362788835,0.0960227654285242,0.0113342763671809,0.139690631560241,0.01941850314055014,45775.6169848758,55805.1702329595,39649.9453029265,62.51253039603078,10.724003169002138,50.230743713367296,92.2573089203419,66.61054433101201,15.133108400177633,135.43279198882416,28.82153151498721,73.27074586322536,341.23985008314446,397.4318638873352,1837.8143742084474,1301.896448832122,12408.781934023646,574.0901684127222,97.3379334710432,87.29609179138313,116.92755496493047,34.90438889571633,73.22258884761713,53.92683796663622,10.719026064597385,73.18594122371327,20.80547620248175,53.232092628799066,269.9125266079462,330.504852528559,964.7475694188637,1797.5405171519299,8270.5390940457,509.2958811177114,56.098591589088976,29.46013157722774,57.602317801419595,33.97975867374018,0.543567160991098,2.070995423006693,0.04122963886070363,1.587491488486746,0.01720721650202739,1.5257242657873902,0.022905146341478787,1.993175921490256,0.13170961766631237,3.4244618966535216,0.025285323047435266,1.9190168501460094,0.0665827507864431,1.8945852266235528,0.025857321422115432,1.5983555883499287,0.004683965216725077,1.4460046398146853,0.003638371180587075,3.6289075293031425,0.001974577835623973,0.5245604076412979,4.029202231190196e-4,2.2510786416308464,1.8141012176695704e-4,1.270632299994289,0.0022132974398558452,3.010650398470172,0.030929877912045486,8.780520021913361,0.10058319727413126,4.120537007008605,0.03524008526685141
0.1268,12.61,AZE,Azerbaijan,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,28.762707094021557,4.84723235047079,21.130906624244624,49.01099160168421,33.47115134617362,7.632118080271147,57.59242261929335,13.494060938153307,32.25817741737417,138.2474709390469,297.39199614939895,1102.30537907318,1283.0448647144804,6175.35306655871,237.94104439946838,38.599058915453526,37.74844768726303,67.18748346567683,33.91587309642265,72.18931096371959,53.102500424960205,10.506061899286006,69.7811337018318,20.346843004410243,51.94733275586556,263.7089089747984,329.2862598124623,941.9540141251337,1797.532575574087,8079.61933755723,500.304356350554,53.57113739624215,25.897355979903075,55.850387699791675,35.210471550428245,1.2241709876379083,0.3881774105750551,0.018370125687351167,0.4609365910496074,0.009404759544464465,0.39729340959357007,0.011869726424543448,0.527728138481919,0.06914569886517928,0.6811686518538617,0.011827400565463823,0.43983649931548097,0.03259482088685999,0.3856143128502996,0.011954001860086761,0.2748304104278114,0.001987959769253093,0.8156640727701081,0.0027427236890408715,1.3694445469239205,0.0012423458806627176,0.5094835267270089,3.9708940874829475e-4,0.5841734106599156,9.459757269966966e-5,0.22618831123404284,9.506065328279622e-4,0.5191486130729723,0.013449773845784772,2.124649722698004,0.05628442632397032,1.447186041488796,0.021539518476355803
