Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Azerbaijan,10500168.38,0.05643613,0.006388581,0.128265197,0.01672566,24.06694817,4.039351428,17.71887677,40.8843884,27.95286858,6.373348161,48.28000314,11.28659739,27.01948885,116.0351327,246.6562439,917.449426,1060.533058,5158.28874,199.5948129,32.41541471,31.63178776,55.96325772,28.03320775,59.66428228,43.88931335,8.683459526,57.6827405,16.81721934,42.93629755,217.9635304,272.1417393,778.5562933,1485.56414,6678.057171,413.5068839,44.28285151,21.41628871,46.16366241
Bahamas,387965.7168,0.048725952,0.005980563,0.019517672,0.003612478,32.88984413,4.891178662,25.32617098,52.18986265,36.61618554,8.334260863,68.62907207,15.29351254,37.74101533,169.1015036,272.808717,1109.726561,1065.461248,6787.834883,287.4710878,47.77096115,44.58455806,68.96633249,28.1338974,59.76886481,43.97279158,8.705069792,58.03244817,16.86380384,43.06691615,218.5939125,272.264514,780.8731331,1485.564939,6697.4584,414.4183879,44.54227016,21.79571495,46.34228193
Bahrain,1529596.626,0.040088143,0.005154895,0.243631508,0.020163532,49.89228281,8.406639101,39.98604612,73.97643178,53.3111025,12.11309925,107.8433843,23.01516419,58.40226959,271.3647199,323.2066614,1480.260252,1074.958273,9928.102942,456.8158224,77.36234906,69.54560077,94.024316,28.74491007,60.4075672,44.48234022,8.836708369,60.13683112,17.14729525,43.86105053,222.4284977,273.0177731,794.9622802,1485.569848,6815.469846,419.9763045,46.10440652,23.99599878,47.4251619
Bangladesh,164636116.5,0.010103418,0.001306094,0.078346744,0.013349284,11.98668031,3.360196309,7.303005152,25.40498596,16.09109555,3.688475666,20.4181532,5.800347922,12.33962495,43.37690598,210.8484002,654.1844721,1053.785402,2927.121787,79.27502865,11.39067239,13.89691527,38.15950859,27.96649228,59.59509331,43.83407956,8.669154012,57.45055238,16.78637422,42.84979116,217.5460916,272.0606027,777.0219757,1485.563613,6665.209542,412.9036312,44.11064003,21.16190462,46.04528444
Barbados,299024.7965,0.08491874,0.010316894,0.152031124,0.017967182,20.17164029,3.821802811,14.36025698,35.89302241,24.12801483,5.507605357,39.29589081,9.517544669,22.28593574,92.60633413,235.1099291,832.5590859,1058.357262,4438.844246,160.7974445,25.63594217,25.91314069,50.22240123,28.01052197,59.64074593,43.87052481,8.678593933,57.60383074,16.80672894,42.90687856,217.8215637,272.1141308,778.0344968,1485.563961,6673.687833,413.3016928,44.22432234,21.33006104,46.12341188
Belarus,9324657.468,0.081309506,0.008437249,0.171369114,0.019408598,30.20644235,4.563956034,23.01248317,48.75140777,33.98131823,7.737867496,62.44009194,14.07484655,34.48016273,152.9618603,264.8546855,1051.247258,1063.962385,6292.223574,260.7443358,43.10071447,40.6450934,65.0115682,28.09298969,59.72635239,43.93885948,8.696287211,57.89047428,16.84487311,43.01384043,218.3377509,272.2145873,779.931687,1485.564614,6689.574562,414.0479144,44.43694534,21.64220198,46.26971921
Belgium,11469271.63,0.099710178,0.010890865,0.13511383,0.017869845,53.67425026,9.47058211,43.24694131,78.82256573,57.0246658,12.95365184,116.566089,24.73274339,62.99809213,294.1118189,334.417017,1562.680567,1077.070761,10626.61401,494.4843172,83.94456163,75.09785434,99.59813278,28.98982728,60.66551156,44.68799749,8.889710286,60.97225794,17.26130693,44.1800748,223.9698866,273.3236576,800.6237751,1485.571845,6862.904409,422.2167155,46.72504802,24.83550001,47.8587413
Belize,429074.7048,0.036537104,0.004113427,0.047555997,0.008385676,16.39150741,3.635799347,11.10094359,31.04923923,20.4162529,4.667460508,30.57741731,7.800798626,17.69234255,69.87026937,223.9050114,750.1787511,1056.245799,3740.672014,123.1472219,19.05692249,20.3635804,44.65128821,27.99210789,59.62164863,43.85527941,8.674645417,57.53974709,16.79821531,42.88300182,217.7063456,272.0917353,777.6110073,1485.563815,6670.141735,413.1351862,44.17679202,21.2598644,46.09073862
Benin,13499174.52,0.01257966,0.00151888,0.201539933,0.018821457,7.128426772,2.815596254,3.114112515,19.17972155,11.32071285,2.608715562,9.213109367,3.593973761,6.435906471,14.15635468,196.4477606,548.308683,1051.071735,2029.825895,30.88669622,2.935269753,6.76458113,30.99947472,27.9217531,59.54874285,43.79707477,8.659566673,57.29463207,16.76569906,42.79179802,217.2662676,272.0062875,775.9934205,1485.563259,6656.59726,412.4994043,43.99500888,20.98993296,45.96588826
Bhutan,756900.0949,0.014149344,0.001756761,0.109192954,0.016424816,18.10846305,3.721186644,12.58134036,33.24931026,22.1021541,5.049058584,34.53739245,8.580553436,19.77877601,80.19710596,228.9943422,787.5963194,1057.204836,4057.785404,140.2481451,22.04514679,22.88421899,47.18171616,28.00044856,59.63029797,43.86218424,8.676433802,57.56877745,16.80207141,42.89381651,217.7585319,272.1018778,777.8028213,1485.563881,6671.747888,413.2106002,44.19832338,21.29168298,46.10553821
Bolivia,11797128.17,0.087089054,0.007689925,0.133248526,0.019500219,14.14661311,3.510259717,9.16534654,28.17267866,18.21196182,4.168526626,25.39980795,6.781280659,14.96436142,56.36808212,217.2507861,701.2558299,1054.991872,3326.050913,100.788016,15.14986309,17.06788245,41.34279081,27.98019239,59.60929445,43.84541683,8.672090811,57.49826383,16.79270693,42.86755278,217.6317974,272.0772504,777.3369985,1485.563721,6667.847341,413.0274645,44.14602519,21.21434199,46.0695953
Bosnia and Herzegovina,3302863.695,0.113607573,0.012815801,0.120852237,0.017541035,22.49035138,3.944221243,16.35950048,38.86417027,26.40478758,6.022945223,44.64375073,10.57058651,25.10361856,106.5525014,241.9829592,883.0906945,1059.652421,4867.098951,183.8918676,29.6714738,29.31720804,53.63968891,28.02313544,59.65383112,43.8809705,8.681299091,57.64771064,16.81256145,42.9232353,217.9004955,272.1294789,778.3246108,1485.56406,6676.117136,413.4157727,44.25686873,21.37803862,46.14579181
Botswana,2393256.12,0.047,0.0059,0.0398,0.0073,33.2794413,6.857558398,22.50654192,42.87382287,44.7132278,11.17262964,67.6217282,25.57921283,16.88384497,88.46173496,88.46173496,532.9755832,156.7756729,7523.998205,221.1334499,23.13152156,53.64662035,56.42681252,4.675211798,8.87353495,9.216870643,2.302993325,13.93482078,5.274894805,3.481425646,18.23139735,18.23139735,109.8449329,32.30979399,1550.702779,45.57303897,4.762249612,11.05596901,11.63272226
