location_name,iso3,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Angola,AGO,5765.65437715755,6985.80948028651,4755.70598405405
Central African Republic,CAF,734.393211857738,988.133887497207,561.12577485193
Congo,COG,4361.57353386006,5450.09598405291,3514.46040796989
Democratic Republic of the Congo,COD,870.381760372296,1086.83878101333,746.22585226856
Equatorial Guinea,GNQ,18109.3332327417,25314.8016834719,12758.878418785
Gabon,GAB,15285.3216891178,17613.0044709861,13740.541141797
Burundi,BDI,620.616955169191,758.965567160397,520.177856298338
Comoros,COM,2408.46873424595,3417.23913108348,1503.99109522294
Djibouti,DJI,5394.68408271529,8031.29779272025,3031.1597849316
Eritrea,ERI,1559.06911936248,1884.54817339255,1190.65523824233
Ethiopia,ETH,2287.02842945405,3085.36939209235,1624.81443867193
Kenya,KEN,3669.04893963717,4390.6639246541,3224.93695989557
Madagascar,MDG,1418.08053349192,1546.03891536701,1291.56992839471
Malawi,MWI,1325.90596805351,1740.0972310332,1000.32692613059
Mauritius,MUS,19134.3208403376,20567.4547810315,17604.5690008071
Mozambique,MOZ,1127.4491249963,1196.12286381751,1044.23695549865
Rwanda,RWA,2077.89950692944,2213.33738878844,1971.38142018394
Seychelles,SYC,27420.3470527214,30814.4757855579,22652.0092757213
Somalia,SOM,540.903812985495,857.406108375087,247.976772562412
United Republic of Tanzania,TZA,2736.21421031304,3094.11601689296,2292.8327529308
Uganda,UGA,2351.15502837534,3048.6915812112,1846.71776034479
Zambia,ZMB,3267.07601402281,3393.30576270463,3071.04868341165
Botswana,BWA,15248.4576425319,17011.0410238026,13883.8799541312
Lesotho,LSO,2300.01567130357,2584.3542458259,2006.34457999851
Namibia,NAM,8586.66098353743,9395.85975161371,7866.19586626648
South Africa,ZAF,12181.7693384074,12857.8269449406,11275.9590177644
Eswatini,SWZ,9043.71971648837,9996.34893786546,8203.14865392322
Zimbabwe,ZWE,2128.33067515567,3077.2918312735,1288.45415571953
Benin,BEN,2858.7932376016,3391.39601434204,2254.68281579745
Burkina Faso,BFA,1975.9983672462,2470.88827976984,1576.66245973471
Cameroon,CMR,3194.97252091505,3613.06309749274,2729.1423585287
Cabo Verde,CPV,5910.42332089692,6138.64500789881,5664.6018724388
Chad,TCD,1581.04565923187,1975.90328491775,1197.23435533637
Côte d'Ivoire,CIV,4829.29700446191,5563.16767024928,3685.50950407351
Gambia,GMB,2136.54633902298,2376.12756780629,1846.01906197114
Ghana,GHA,5391.59841369898,6312.80655989714,4101.77837659741
Guinea,GIN,2156.83174168938,2519.42918485654,1588.20525086508
Guinea-Bissau,GNB,1596.41257578219,1884.73221969236,1358.01717491391
Liberia,LBR,979.77797205104,1295.52924956365,682.00242059967
Mali,MLI,1894.1089542493,2433.92828418375,1511.44100388769
Mauritania,MRT,4303.40142535255,5582.83429584303,3091.59058550135
Niger,NER,1130.56457300736,1283.02302386495,894.457316025131
Nigeria,NGA,4777.84779522506,5048.92148418468,4616.01403704431
Sao Tome and Principe,STP,3504.43421885907,3785.89438654763,3247.88763358411
Senegal,SEN,3132.97682547786,3476.13332498037,2578.07845200241
Sierra Leone,SLE,1496.18893893238,1794.27418278617,1230.12102664372
Togo,TGO,1958.6099465201,2362.58210366738,1430.68517256034
American Samoa,ASM,12054.9186154228,12721.5075776542,11335.7579961886
Bermuda,BMU,69930.6572599263,83599.5009827399,57325.3595215396
Cook Islands,COK,18880.2671833498,19348.4384628736,18470.2653398165
Greenland,GRL,81701.1071499693,105469.995642443,63224.2729399941
Guam,GUM,28518.6536078318,31154.5113313486,25756.2690724379
Monaco,MCO,236404.828791513,284027.355644269,187533.558033545
Nauru,NRU,8878.98985736505,10684.3231993122,7170.61697068886
Niue,NIU,11399.2915237799,12406.9458326551,10290.7822331783
Northern Mariana Islands,MNP,13428.1010476016,14659.3860898403,12049.4496460727
Palau,PLW,11812.8067640617,13289.510281721,10482.3471862024
Puerto Rico,PRI,32025.2324263285,35224.2112763402,29193.350585594
Saint Kitts and Nevis,KNA,22993.1072794778,26158.3619223148,20251.553451409
San Marino,SMR,54707.3537486114,62356.6461678763,47351.6851789518
Tokelau,TKL,11046.708927155,11531.201967229,10584.5646048394
Tuvalu,TUV,4071.89618681655,4277.19689785503,3880.38153405269
United States Virgin Islands,VIR,31318.8867919211,34184.439872519,28132.7392648071
South Sudan,SSD,1135.818812578,2230.70886049526,608.998341813801
Sudan,SDN,3208.4630219059,3761.98309712186,2593.18329244804
