measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,396,San Marino,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,4870.822994694119,6183.650707209965,3704.898903751384
5,Prevalence,380,Palau,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,699.3052164762022,975.0748834774332,484.9124599592508
5,Prevalence,376,Northern Mariana Islands,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1921.648833467492,2685.618585405773,1309.648353621193
5,Prevalence,215,Sao Tome and Principe,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,32361.930699262823,40012.69203365783,25497.5079707973
5,Prevalence,374,Niue,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,56.58983217899986,78.53884928289946,39.86852562887708
5,Prevalence,385,Puerto Rico,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,729776.9050306969,853168.527988984,603641.0351462376
5,Prevalence,217,Sierra Leone,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1715067.1841992252,1966810.0788284384,1496565.8915810045
5,Prevalence,216,Senegal,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,2103346.865605223,2617243.781419245,1650641.8417039146
5,Prevalence,369,Nauru,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,202.84217705737595,290.9921970308826,137.43415907767667
5,Prevalence,367,Monaco,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,7318.8447504059,8831.023509617238,5824.251627979048
5,Prevalence,213,Niger,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1008497.9694470438,1422843.5214170106,717976.786441829
5,Prevalence,212,Mauritania,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,569769.7993997753,699363.621853986,448059.5401246075
5,Prevalence,349,Greenland,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,7920.72938046365,10082.828845267402,6031.908590580708
5,Prevalence,351,Guam,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,7222.254782262064,9655.57513057944,5114.638772777336
5,Prevalence,214,Nigeria,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,7420694.124049625,10490208.785851495,5185844.457729549
5,Prevalence,320,Cook Islands,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,784.7976009538482,1089.0244186680757,552.3840795713529
5,Prevalence,305,Bermuda,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,16835.4781498904,19408.40909035343,14032.91013895884
5,Prevalence,298,American Samoa,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,6625.530563575183,8167.45871003105,5062.371283698457
5,Prevalence,413,Tokelau,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,34.68206237664927,47.04006060123099,24.502647075367268
5,Prevalence,435,South Sudan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,596853.9020473176,826296.5445685006,421788.63820560335
5,Prevalence,416,Tuvalu,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,235.62230193798885,327.16400772744043,165.55764242629527
5,Prevalence,422,United States Virgin Islands,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,20275.658561184817,23563.59133493751,16893.123670644905
5,Prevalence,522,Sudan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,2555375.594445141,3380796.790012326,1823065.0707632692
