Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.05760468027681525,0.23619267850308906
Afghanistan,Stage_III_IVT1_2,0.44050632569065085,0.5455615861486773
Afghanistan,Stage_IVT3,0.09111584142632168,0.1786468557016041
Afghanistan,Stage_IVT4,0.12115924864667271,0.2574188635638783
Afghanistan,Stage_I_II,0.12509269457000227,0.45967571122315165
Albania,Health,0.008396002423346649,0.008517567767930551
Albania,Stage_III_IVT1_2,0.06521018974854657,0.04589590441587397
Albania,Stage_IVT3,0.014213019011434541,0.01860225835732902
Albania,Stage_IVT4,0.018078364208663517,0.025803367385340382
Albania,Stage_I_II,0.01825126302432761,0.015591761164970007
Algeria,Health,0.17707842017706027,0.1841470928123576
Algeria,Stage_III_IVT1_2,1.4167548381758377,1.0203075673734585
Algeria,Stage_IVT3,0.31615398741373446,0.4175699501174641
Algeria,Stage_IVT4,0.3979569785176,0.5820242935149037
Algeria,Stage_I_II,0.4016462416109998,0.3491484928668745
Andorra,Health,5.442149711841595e-4,3.8740741298962404e-4
Andorra,Stage_III_IVT1_2,0.004315301427486588,0.0019695716551099704
Andorra,Stage_IVT3,9.396738031415328e-4,0.0010181899675780666
Andorra,Stage_IVT4,0.0011456476893452838,0.0013548926478985223
Andorra,Stage_I_II,0.001176357379249687,7.002349183687045e-4
Angola,Health,0.1275634999207368,0.19357966418612307
Angola,Stage_III_IVT1_2,0.6898527820597362,0.6524689109052002
Angola,Stage_IVT3,0.14948349675182643,0.22895684607100006
Angola,Stage_IVT4,0.19369573623378908,0.3025121225654346
Angola,Stage_I_II,0.2728869996749874,0.3505712524635327
Antigua and Barbuda,Health,3.8125885702050517e-4,3.2803572477467746e-4
Antigua and Barbuda,Stage_III_IVT1_2,0.00432922679334655,0.0024941743736736893
Antigua and Barbuda,Stage_IVT3,9.326937822633656e-4,0.001130282508302071
Antigua and Barbuda,Stage_IVT4,0.001177345096462538,0.0015009132983478336
Antigua and Barbuda,Stage_I_II,8.39285729477456e-4,5.845174030587438e-4
Argentina,Health,0.2468828826821118,0.20293692084966486
Argentina,Stage_III_IVT1_2,2.001184124736478,1.156584268405594
Argentina,Stage_IVT3,0.4483747010769239,0.5555217705526012
Argentina,Stage_IVT4,0.5449956481176413,0.7113601215175723
Argentina,Stage_I_II,0.5341023563222623,0.3635384367851389
Armenia,Health,0.008439639633533787,0.008559451805471484
Armenia,Stage_III_IVT1_2,0.06699246229294632,0.04435039295709192
Armenia,Stage_IVT3,0.013894639021668886,0.017567773755579573
Armenia,Stage_IVT4,0.01792368086026056,0.024969169237773793
Armenia,Stage_I_II,0.01839763571960999,0.015258046300031388
Australia,Health,0.4189065616846294,0.2704794910661076
Australia,Stage_III_IVT1_2,2.4457800501653484,0.8441369072772709
Australia,Stage_IVT3,0.5441265163105805,0.584793202474569
Australia,Stage_IVT4,0.697129162560961,0.7782941330916966
Australia,Stage_I_II,0.8966287215072383,0.47395065176098333
Austria,Health,0.07851868542963514,0.05565781164253168
