Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.1885724391250069,0.2658170477304866,0.0329982949039752,0.06344071472037534,0.06496122465401648,0.1123444491311224
Albania,0.029917732643510074,0.02310663350302477,0.00734433176736047,0.00948574489762969,0.00942678660306599,0.013320657640565989
Algeria,0.6996512442615518,0.5278947545596406,0.16345826383688905,0.19767225881345776,0.21407315761271453,0.300289081130064
American Samoa,9.542717965385606e-4,7.148406289560098e-4,2.2389473940240222e-4,3.0311278738729325e-4,3.0178676338229966e-4,4.123268231505611e-4
Andorra,0.0018863386484034136,0.0011773127608098748,4.626193753580933e-4,4.2526990415557955e-4,5.478447576812322e-4,5.851883407977337e-4
Angola,0.3549033529254144,0.31856301504543566,0.06367268636106484,0.09762216899568359,0.10689637760938092,0.18167645510116157
Antigua and Barbuda,0.0018496192623060662,0.0013810926613520803,4.778917571752717e-4,4.999265769829434e-4,6.352938488931552e-4,8.52790351503639e-4
Argentina,0.8475848210429029,0.6335628064235532,0.1996346084134577,0.19655227168339312,0.2648231257998113,0.3924890596547699
Armenia,0.028192998344046902,0.02070732892561001,0.006666459479332898,0.008198964491717073,0.008349613815349951,0.010626070907407918
Australia,1.2443255490691827,0.6972944448608422,0.28353418248820006,0.21227111578150532,0.30218248969517375,0.2863974863666104
Austria,0.21780098307750603,0.13095574949155614,0.04497690353830752,0.03912912008262139,0.05563592291499954,0.061374423754584934
Azerbaijan,0.14740821881411115,0.10912563613369362,0.032923057160724946,0.0372312551773842,0.04353288995297149,0.055209695705567344
Bahamas,0.01004763059190072,0.006650217399836945,0.002621628309861042,0.002341943625411871,0.003178487456871714,0.003676712151195547
Bahrain,0.07077189700312403,0.0457757279977992,0.017676560685603516,0.014637130453280762,0.021206169308224877,0.02342564888498488
Bangladesh,1.8412359171446409,2.017799207668503,0.5040492792764036,0.8638911410162607,0.7474737575793493,1.1868496873233028
Barbados,0.004090941678913069,0.0030842715449196536,0.0010877260464689413,0.0013164436752180846,0.0014113627439225067,0.0017419764096433994
Belarus,0.12968265743792243,0.0908541066324008,0.03129077790899094,0.03749932410567875,0.040078586576187535,0.05216578032042277
Belgium,0.38463873459209713,0.2643427469611988,0.09787236109216602,0.09278323958502763,0.1098821948466659,0.12483706008714605
Belize,0.005830284357568852,0.004973511777199191,0.0014447524345151323,0.0020458292533877677,0.0020604853321654557,0.0032556911282850777
Benin,0.13088480566797367,0.1347407252853891,0.03336049765595219,0.0647814260368603,0.04784901814439826,0.07840898933289901
Bermuda,0.002767202064258862,0.0019096595262382777,7.965157473763415e-4,6.819017520695458e-4,8.624018983438033e-4,9.223467126383317e-4
Bhutan,0.018051933219349756,0.016706213350497573,0.005297205645352933,0.007770820422422105,0.006772288241026422,0.00909007089296421
Bolivia (Plurinational State of),0.13505940589337015,0.11885603895162689,0.031191786889221314,0.04654574634076434,0.04646377935919123,0.07550238010052074
Bosnia and Herzegovina,0.03106807676211147,0.022550645279420602,0.007380361054110552,0.00857526565056503,0.009794536589103535,0.01255286255813567
Botswana,0.03565475112559667,0.021096767523311397,0.0042989537139300656,0.0034388644101266477,0.0033721143046735896,0.0034477945058589057
Brazil,2.4838735358617305,1.3214555019587522,0.509670241171057,0.4086900260054176,0.3342665877029001,0.31591315679098153
Brunei Darussalam,0.019024011617769863,0.012167062304633016,0.004257807997564826,0.0037983541173260854,0.004915803810509321,0.005204964464995103
Bulgaria,0.0693894271342104,0.04441889882421196,0.013478724350039816,0.01435802873316525,0.018137041531397936,0.022044396665213687
Burkina Faso,0.26366550838788594,0.33193403214095407,0.07164119506184483,0.17561373536035896,0.11782556271969111,0.22615602211944127
Burundi,0.05306727784467206,0.07786858016970023,0.011216695230661655,0.02751844462871386,0.026284534986272933,0.05374832453563399
Cabo Verde,0.010200538085582548,0.011323241912323607,0.0031117570925190442,0.00538913470284017,0.004512565012207194,0.0073058832369833175
Cambodia,0.11548561792683482,0.11884764655064785,0.02592853197667388,0.04558842315421113,0.03980978520644193,0.070195139295392
Cameroon,0.35394923131300854,0.4611175573062131,0.09509298968262928,0.1775016409485117,0.15767096968406366,0.3158011508597962
Canada,1.7061108536482936,1.1118877510149496,0.3702709318482295,0.3029558969346925,0.47210036594343796,0.45805328020884817
Central African Republic,0.010144266971729144,0.016621610163931353,0.0020737845814558153,0.004508241811232764,0.004857412709161214,0.013363624650408313
Chad,0.18194778973576808,0.22673506161135548,0.04469284522707326,0.10025149126588624,0.0798269841936452,0.1469756993429506
Chile,0.5225190697526986,0.3333290954887396,0.15357277327083624,0.1250188025453001,0.10557397788578,0.12047001656772381
China,6.0268022416229385,4.066165022911862,1.4782889912040602,1.2671439001360143,2.3136387120953485,2.27738891206357
