Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Consult_perio,4.3866999001651927e-4,0.00682295424777334
Afghanistan,Consult_simple,2.8664930756782497e-5,0.02569284137785686
Afghanistan,Denture,3.3331546609521836e-5,0.00229837761982938
Afghanistan,Denture_repair,2.286181927570919e-5,0.00170176674890227
Afghanistan,Extraction,5.534154027327456e-4,0.01169007428570952
Afghanistan,Full_fixed,1.0933354120800892e-6,0.00131584135630338
Afghanistan,GTR,5.578022820525271e-5,4.550523166051091e-4
Afghanistan,Implant_surgery,2.6208035093403117e-4,0.00258665755493629
Afghanistan,Maintenance_perio,0.00270250388044182,0.01815253808843838
Afghanistan,Maintenance_simp,0.0019801851100366,0.02460034555318853
Afghanistan,OFD,5.507390448518756e-6,1.925583402216298e-4
Afghanistan,OHI,3.5758786745935054e-5,7.354896895336978e-4
Afghanistan,OPG,3.4827768096518515e-5,5.231989126954714e-4
Afghanistan,PA,3.9415791507594826e-5,5.184046196884611e-4
Afghanistan,Prophy,0.00194367517503665,0.00713884966550448
Afghanistan,RootDeb,2.695877266233609e-4,0.00615790101073128
Afghanistan,Single_implant,3.32174385682086e-4,0.00183495328248665
Albania,Consult_perio,7.726348647507914e-5,5.453570607983684e-4
Albania,Consult_simple,1.5442387534609462e-4,9.93774936924077e-4
Albania,Denture,1.907324572077996e-5,1.936308692393435e-4
Albania,Denture_repair,2.1877541951993947e-5,1.6916078219775902e-4
Albania,Extraction,1.4592093502068188e-4,0.00106852625106132
Albania,Full_fixed,1.1547931890436996e-5,1.1056920061945055e-4
Albania,GTR,4.3405736362319634e-6,2.016986942757683e-5
Albania,Implant_surgery,1.9065689211993288e-5,2.11312433693742e-4
Albania,Maintenance_perio,2.955780755365299e-4,0.00155439475531853
Albania,Maintenance_simp,2.613856451477832e-4,0.00138170204419432
Albania,OFD,1.3130481446177925e-6,1.1898384024915871e-5
Albania,OHI,3.1169140519090125e-6,2.022482533392279e-5
Albania,OPG,3.205704895152984e-6,1.72987732644616e-5
Albania,PA,2.9073322932470493e-6,1.5376954934647545e-5
Albania,Prophy,1.840823716386552e-4,6.112343151064484e-4
Albania,RootDeb,8.162096882665923e-5,5.306612316168474e-4
Albania,Single_implant,4.33309231210099e-5,2.1048963157014705e-4
Algeria,Consult_perio,0.00165601261470185,0.01286031264168281
Algeria,Consult_simple,0.00347891201247652,0.02352635808836882
Algeria,Denture,4.3510231220165e-4,0.0045651686405355
