Severity,global_Mean_total_billions,global_SD_total_billions
Health,12.796293903686825,3.6841784657772467
Stage_III_IVT1_2,73.4691254266375,12.3726421832315
Stage_IVT3,18.21331869264035,9.106425146881383
Stage_IVT4,20.6158530206636,10.77512887166129
Stage_I_II,28.531747159787045,7.040609841042884
