Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Health,0.00125101979450452,0.01491266610346042
Afghanistan,Stage_III_IVT1_2,0.00114171757620024,0.00993791913542256
Afghanistan,Stage_IVT3,2.1373553571885093e-4,0.00318752507452984
Afghanistan,Stage_IVT4,4.22710268193546e-4,0.00426738932456589
Afghanistan,Stage_I_II,0.00194230395290968,0.03051160550520306
Albania,Health,2.2884929689783275e-4,0.00100423620945186
Albania,Stage_III_IVT1_2,4.698696646925308e-4,0.00192661298236841
Albania,Stage_IVT3,9.687811113253704e-5,6.146289209107139e-4
Albania,Stage_IVT4,1.3465881463956e-4,8.696091878547742e-4
Albania,Stage_I_II,4.4812695135636784e-4,0.00182469480945205
Algeria,Health,0.00413944239792348,0.019290948553722
Algeria,Stage_III_IVT1_2,0.00752582161902345,0.02950638063274168
Algeria,Stage_IVT3,0.00134272298807867,0.00833586311144575
Algeria,Stage_IVT4,0.00201740077957475,0.01327709258274364
Algeria,Stage_I_II,0.00803409611760811,0.03649342987035955
Andorra,Health,2.138196421483475e-4,2.621094455092417e-4
Andorra,Stage_III_IVT1_2,7.598199164162494e-4,8.924226516719822e-4
Andorra,Stage_IVT3,1.9813028706649251e-4,3.5590887894646953e-4
Andorra,Stage_IVT4,2.459693786100125e-4,4.8091118555271793e-4
Andorra,Stage_I_II,4.1772082173022857e-4,4.491557806523747e-4
Angola,Health,0.00261355989585256,0.01462586306128311
Angola,Stage_III_IVT1_2,0.00247286606743408,0.0133954696002817
Angola,Stage_IVT3,4.619913703867472e-4,0.00535705813134061
Angola,Stage_IVT4,6.882826066354429e-4,0.00479259421612198
Angola,Stage_I_II,0.00409249758885551,0.02177876937095563
Antigua and Barbuda,Health,1.3623918379062272e-4,1.9320310483397947e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.35004090917337e-4,8.204025182702629e-4
Antigua and Barbuda,Stage_IVT3,1.682206774731914e-4,3.245938029316446e-4
Antigua and Barbuda,Stage_IVT4,2.199722936371384e-4,4.887602318638222e-4
Antigua and Barbuda,Stage_I_II,2.6775579459377506e-4,3.1946846638977283e-4
Argentina,Health,0.07974117999077546,0.11023611709692165
Argentina,Stage_III_IVT1_2,0.2546098691502001,0.32084498542102086
Argentina,Stage_IVT3,0.06794415889895075,0.13471753104312562
Argentina,Stage_IVT4,0.08524536938169992,0.18571431344725944
Argentina,Stage_I_II,0.15122136215574417,0.1764103104100375
Armenia,Health,0.00325588688249873,0.00515146829532686
Armenia,Stage_III_IVT1_2,0.01014449789235466,0.01335534059442939
Armenia,Stage_IVT3,0.00266891433808894,0.00578858132288621
Armenia,Stage_IVT4,0.00356458060056965,0.00811582432035506
Armenia,Stage_I_II,0.00622762814199139,0.00819208123017159
Australia,Health,0.3581986371921482,0.2338841212462977
Australia,Stage_III_IVT1_2,1.9795771131976911,0.6765908114251381
Australia,Stage_IVT3,0.45940910482221614,0.4947452827726624
Australia,Stage_IVT4,0.5647000051251195,0.6385978204394095
Australia,Stage_I_II,0.7957147118006764,0.4247677386715468
Austria,Health,0.08174746251741878,0.05762587390135562
Austria,Stage_III_IVT1_2,0.4292211723891863,0.19185509917054352
Austria,Stage_IVT3,0.0996047421286413,0.11049100713763409
Austria,Stage_IVT4,0.11596403763252142,0.14141257364211135
Austria,Stage_I_II,0.185461694297989,0.1111059286403086
Azerbaijan,Health,0.00119367444217486,0.00484770334435501
Azerbaijan,Stage_III_IVT1_2,0.00209994446833967,0.00785847519418854
Azerbaijan,Stage_IVT3,3.5686023837270685e-4,0.00227044388833868
Azerbaijan,Stage_IVT4,5.893476884590546e-4,0.00407951939601041
Azerbaijan,Stage_I_II,0.00205754991346271,0.00748567909429002
Bahamas,Health,0.0021036726716821,0.00166446425283676
Bahamas,Stage_III_IVT1_2,0.01865955595268043,0.00999838298337365
Bahamas,Stage_IVT3,0.00428625210348358,0.00505373294640328
Bahamas,Stage_IVT4,0.00508108298262452,0.0066684759134449
Bahamas,Stage_I_II,0.0048481198281844,0.00333888221444115
Bahrain,Health,4.036363339683813e-4,0.00143893162570858
Bahrain,Stage_III_IVT1_2,9.230674274876722e-4,0.00327815084293945
Bahrain,Stage_IVT3,1.9566552950918485e-4,0.001040427111303
Bahrain,Stage_IVT4,2.653570119957595e-4,0.00149925197962514
Bahrain,Stage_I_II,7.335080015869494e-4,0.00251233736961989
Bangladesh,Health,0.0072762913874983,0.0407111346251789
Bangladesh,Stage_III_IVT1_2,0.03190638369874372,0.14858108295419512
Bangladesh,Stage_IVT3,0.00490765599312599,0.03878142639844751
Bangladesh,Stage_IVT4,0.0097763213370206,0.0678922086067754
Bangladesh,Stage_I_II,0.01221400681237632,0.07316693820188204
Barbados,Health,2.897941547296458e-4,4.763194987155826e-4
Barbados,Stage_III_IVT1_2,0.00155577732289351,0.0020852730540745
Barbados,Stage_IVT3,4.025380511410499e-4,8.305127722872606e-4
Barbados,Stage_IVT4,5.341104634890217e-4,0.00138550066836562
Barbados,Stage_I_II,5.568937407156437e-4,7.308248050502245e-4
Belarus,Health,0.00116598584814856,0.00441181686750397
Belarus,Stage_III_IVT1_2,0.00256415649581555,0.00914533816428352
Belarus,Stage_IVT3,4.683204336994968e-4,0.00300725517798221
Belarus,Stage_IVT4,7.884793832324901e-4,0.00426343065762559
Belarus,Stage_I_II,0.00201803667912542,0.00742112313020131
Belgium,Health,0.09749829466749046,0.07060495095960839
Belgium,Stage_III_IVT1_2,0.8385054191826188,0.36714368865502706
Belgium,Stage_IVT3,0.19587903091714243,0.22370793584136991
Belgium,Stage_IVT4,0.22391714547642316,0.2706866848578147
Belgium,Stage_I_II,0.2190401516095876,0.1310144837342619
Belize,Health,4.336838524881406e-4,7.721483546278544e-4
Belize,Stage_III_IVT1_2,0.0014597831336197,0.00201856242559312
Belize,Stage_IVT3,3.913468473491883e-4,8.684520122428362e-4
Belize,Stage_IVT4,5.345018813737062e-4,0.00120606704132427
Belize,Stage_I_II,8.445968107309283e-4,0.00125663336085007
Benin,Health,4.1222780553978503e-4,0.00495824601941944
Benin,Stage_III_IVT1_2,0.0012642375588068,0.00805986187114347
Benin,Stage_IVT3,2.281327241447259e-4,0.00229460872909298
Benin,Stage_IVT4,2.78756720412217e-4,0.00251137428502938
Benin,Stage_I_II,5.675702831746762e-4,0.00607398882276738
Bhutan,Health,8.14843360131843e-5,4.0769566441765253e-4
Bhutan,Stage_III_IVT1_2,2.8215859880004315e-4,0.00124809253560113
Bhutan,Stage_IVT3,5.2466268662045446e-5,3.5450860317122744e-4
Bhutan,Stage_IVT4,7.759200554892278e-5,4.785891967143324e-4
Bhutan,Stage_I_II,1.5385803441905904e-4,6.336596977672808e-4
Bolivia,Health,8.614912528829031e-4,0.00450653309278351
Bolivia,Stage_III_IVT1_2,0.00145214628987636,0.00695230350224038
Bolivia,Stage_IVT3,2.852149138307391e-4,0.00190083318261378
Bolivia,Stage_IVT4,4.076274383156825e-4,0.0023539694557039
Bolivia,Stage_I_II,0.00148529356661726,0.00713133955901131
Bosnia and Herzegovina,Health,0.00355202543724999,0.00533440908145396
Bosnia and Herzegovina,Stage_III_IVT1_2,0.01301749104388002,0.01683340029877236
Bosnia and Herzegovina,Stage_IVT3,0.00351245312276087,0.00761632535301057
Bosnia and Herzegovina,Stage_IVT4,0.00424111983314465,0.01012280408786045
Bosnia and Herzegovina,Stage_I_II,0.00701668505309678,0.00919296756716405
Botswana,Health,0.00612015542465354,0.00718109690740895
Botswana,Stage_III_IVT1_2,0.00334815934196201,0.00362172473635887
Botswana,Stage_IVT3,7.525117634549897e-4,0.00136752865191407
Botswana,Stage_IVT4,0.0010630353285888,0.00194312270238497
Botswana,Stage_I_II,0.0126974805713679,0.0131664575547309
Brazil,Health,0.3710901118512645,0.4116030963850166
Brazil,Stage_III_IVT1_2,0.5555036062510436,0.5945643681023196
Brazil,Stage_IVT3,0.13961773810919045,0.2503280958151007
Brazil,Stage_IVT4,0.16992650481274454,0.30642366445019387
Brazil,Stage_I_II,0.7884316934187423,0.7904633425874484
Brunei Darussalam,Health,1.6258122601174572e-4,5.737084336849293e-4
Brunei Darussalam,Stage_III_IVT1_2,1.9825048609344923e-4,6.341028519197935e-4
Brunei Darussalam,Stage_IVT3,4.1608432201811855e-5,2.118358286047649e-4
Brunei Darussalam,Stage_IVT4,5.634826282710838e-5,2.54588461373099e-4
