Location ID,Location Name,2023 SDI Index Value,SDI Quintile
35651,Nyandarua,0.555039165,Low-middle SDI
35652,Nyeri,0.613244825,Low-middle SDI
35653,Samburu,0.338533357,Low-middle SDI
35654,Siaya,0.492243943,Low-middle SDI
35655,Taita Taveta,0.554168731,Low-middle SDI
35656,Tana River,0.376208427,Low-middle SDI
35657,Tharaka Nithi,0.524394991,Low-middle SDI
35658,Trans Nzoia,0.543932258,Low-middle SDI
35659,Turkana,0.323073168,Low-middle SDI
35660,Uasin Gishu,0.589913657,Low-middle SDI
35661,Vihiga,0.508323597,Low-middle SDI
35662,Wajir,0.238459535,Low-middle SDI
35663,West Pokot,0.373271706,Low-middle SDI
43872,"Andhra Pradesh, Urban",0.669952973,Middle SDI
43873,"Arunachal Pradesh, Urban",0.695494919,High-middle SDI
43874,"Assam, Urban",0.710805358,High-middle SDI
43875,"Bihar, Urban",0.675850928,Middle SDI
43877,"Chhattisgarh, Urban",0.703939655,High-middle SDI
43880,"Delhi, Urban",0.712429961,High-middle SDI
43881,"Goa, Urban",0.705864416,High-middle SDI
43882,"Gujarat, Urban",0.698606722,High-middle SDI
43883,"Haryana, Urban",0.700775649,High-middle SDI
43884,"Himachal Pradesh, Urban",0.747860934,High SDI
43885,"Jammu & Kashmir and Ladakh, Urban",0.71260946,High-middle SDI
43886,"Jharkhand, Urban",0.717093956,High-middle SDI
43887,"Karnataka, Urban",0.690531302,High-middle SDI
43888,"Kerala, Urban",0.697284898,High-middle SDI
43890,"Madhya Pradesh, Urban",0.709310801,High-middle SDI
43891,"Maharashtra, Urban",0.711694456,High-middle SDI
43892,"Manipur, Urban",0.693124668,High-middle SDI
43893,"Meghalaya, Urban",0.730546855,High SDI
43894,"Mizoram, Urban",0.691695429,High-middle SDI
43895,"Nagaland, Urban",0.713776577,High-middle SDI
43896,"Odisha, Urban",0.696249865,High-middle SDI
43898,"Punjab, Urban",0.712730129,High-middle SDI
43899,"Rajasthan, Urban",0.697089262,High-middle SDI
43900,"Sikkim, Urban",0.668194524,Middle SDI
43901,"Tamil Nadu, Urban",0.691703461,High-middle SDI
43902,"Telangana, Urban",0.689837905,High-middle SDI
43903,"Tripura, Urban",0.671764133,Middle SDI
43904,"Uttar Pradesh, Urban",0.700448391,High-middle SDI
43905,"Uttarakhand, Urban",0.73402201,High SDI
43906,"West Bengal, Urban",0.686085279,High-middle SDI
43908,"Andhra Pradesh, Rural",0.526402827,Low SDI
43909,"Arunachal Pradesh, Rural",0.561155516,Low-middle SDI
43910,"Assam, Rural",0.595877949,Low-middle SDI
43911,"Bihar, Rural",0.526157265,Low SDI
43913,"Chhattisgarh, Rural",0.525549725,Low SDI
43916,"Delhi, Rural",0.643124597,Middle SDI
43917,"Goa, Rural",0.65399977,Middle SDI
43918,"Gujarat, Rural",0.558561462,Low-middle SDI
43919,"Haryana, Rural",0.590318557,Low-middle SDI
