Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.020960750934972967,0.11160062782014865
Afghanistan,Stage_III_IVT1_2,0.05461602523518329,0.11270082816396637
Afghanistan,Stage_IVT3,0.012969186807484944,0.044145718358951334
Afghanistan,Stage_IVT4,0.02171969762198375,0.06825051474365666
Afghanistan,Stage_I_II,0.035310784995901824,0.14815865226894212
Albania,Health,0.0029423163333516856,0.004590637788883312
Albania,Stage_III_IVT1_2,0.010225738460842886,0.013810035508384987
Albania,Stage_IVT3,0.0026877378901993395,0.005649821149150355
Albania,Stage_IVT4,0.0035804846377347436,0.009091269278804576
Albania,Stage_I_II,0.0052353231020589594,0.006966412849303061
Algeria,Health,0.06000423154755074,0.09667499813126969
Algeria,Stage_III_IVT1_2,0.20676995775959775,0.2710776627962338
Algeria,Stage_IVT3,0.05617422919688973,0.1225716725830158
Algeria,Stage_IVT4,0.0753666019726877,0.1799985347056789
Algeria,Stage_I_II,0.11196512690831464,0.1565844394603316
Andorra,Health,1.9495369650034981e-4,2.4272411742206007e-4
Andorra,Stage_III_IVT1_2,7.407250020436523e-4,8.253290680228795e-4
Andorra,Stage_IVT3,1.9822609261545482e-4,3.6942165799693785e-4
Andorra,Stage_IVT4,2.5753445007461594e-4,5.679324404079196e-4
Andorra,Stage_I_II,3.5414044726776045e-4,3.7658643191580373e-4
Angola,Health,0.040449377105016296,0.08649973078311073
Angola,Stage_III_IVT1_2,0.08990056912697024,0.13756702821291336
Angola,Stage_IVT3,0.02619664948560432,0.06438221347688196
Angola,Stage_IVT4,0.0331627312292733,0.08917966741905807
Angola,Stage_I_II,0.07286815465431318,0.1277502107259661
Antigua and Barbuda,Health,1.3607753555440106e-4,1.8619823036965211e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.891496166290179e-4,8.323392418837124e-4
Antigua and Barbuda,Stage_IVT3,1.8372989254132073e-4,3.859637432032664e-4
Antigua and Barbuda,Stage_IVT4,2.3931374092062661e-4,5.127870286652049e-4
Antigua and Barbuda,Stage_I_II,2.4734010095937473e-4,2.8993423163695126e-4
Argentina,Health,0.0839358899321019,0.1134706159640211
Argentina,Stage_III_IVT1_2,0.31049643565642226,0.37638684124874894
Argentina,Stage_IVT3,0.08421480673141804,0.16622232386641606
Argentina,Stage_IVT4,0.10932382749473545,0.24288567806445566
Argentina,Stage_I_II,0.14971835138937972,0.16952957087362366
Armenia,Health,0.0030643546375147923,0.004961382606955042
Armenia,Stage_III_IVT1_2,0.010671505142400046,0.013968683220769924
Armenia,Stage_IVT3,0.0028964403284607943,0.006446200505127974
Armenia,Stage_IVT4,0.003908002602701827,0.009236419490393518
Armenia,Stage_I_II,0.005457842608566821,0.007100830792829516
Australia,Health,0.13829978310525415,0.15939419118488343
Australia,Stage_III_IVT1_2,0.3740883483645872,0.40029392928342156
Australia,Stage_IVT3,0.10269414367832468,0.19030910223123793
Australia,Stage_IVT4,0.1429879209291833,0.29506195367853655
Australia,Stage_I_II,0.24466111338964372,0.24885441848859322
Austria,Health,0.027029731043228682,0.03226760625023981
Austria,Stage_III_IVT1_2,0.07030417906168802,0.0787726578914465
Austria,Stage_IVT3,0.019402635512728906,0.03683147042094001
Austria,Stage_IVT4,0.024035787368252154,0.04785727502747498
Austria,Stage_I_II,0.04907736391658381,0.05179591847941591
Azerbaijan,Health,0.014794205768760352,0.021580725678186224
Azerbaijan,Stage_III_IVT1_2,0.04798666614491069,0.062466485481086326
Azerbaijan,Stage_IVT3,0.012779401194734618,0.027796541482807312
Azerbaijan,Stage_IVT4,0.017933137309586233,0.044294698461371095
Azerbaijan,Stage_I_II,0.026946186796340733,0.0323376364922272
Bahamas,Health,6.958883366958614e-4,9.184853348029381e-4
Bahamas,Stage_III_IVT1_2,0.003383161191505506,0.004059559348549384
Bahamas,Stage_IVT3,9.337500369208564e-4,0.0018866306314309193
Bahamas,Stage_IVT4,0.0012232724553390211,0.002835701382877653
Bahamas,Stage_I_II,0.0012744603847558308,0.001495557295637775
Bahrain,Health,0.005578865664064917,0.006927207878204493
Bahrain,Stage_III_IVT1_2,0.022756933206616,0.02571964933260474
Bahrain,Stage_IVT3,0.006193461927025419,0.012198352952113786
Bahrain,Stage_IVT4,0.007819930125971767,0.01715453108299273
Bahrain,Stage_I_II,0.01017652529428821,0.010904174663036458
Bangladesh,Health,0.10464404129086018,0.23604812712297976
Bangladesh,Stage_III_IVT1_2,0.7695295538737913,1.2383459352191215
Bangladesh,Stage_IVT3,0.21282623986869711,0.5389065252275566
Bangladesh,Stage_IVT4,0.29786132583396774,0.7627488028109589
Bangladesh,Stage_I_II,0.18803525461349174,0.33699160507262615
Barbados,Health,2.7850896565541827e-4,4.469085361164016e-4
Barbados,Stage_III_IVT1_2,0.0015738259508584012,0.0020345079687920874
Barbados,Stage_IVT3,4.133012396067599e-4,8.544126270053605e-4
Barbados,Stage_IVT4,5.672109560227799e-4,0.0013465728863254038
Barbados,Stage_I_II,5.047897266337372e-4,6.653804943406687e-4
Belarus,Health,0.01330065430050735,0.017708229955863415
Belarus,Stage_III_IVT1_2,0.04930193191558923,0.05954712725062134
Belarus,Stage_IVT3,0.013603937136990004,0.029035338728304994
Belarus,Stage_IVT4,0.017070284267126177,0.0354005324554375
Belarus,Stage_I_II,0.024492295319677785,0.027965591099128197
Belgium,Health,0.03528425283959465,0.042802731510787895
Belgium,Stage_III_IVT1_2,0.15018784412612587,0.17095861966872153
Belgium,Stage_IVT3,0.04097302752378802,0.07920104244662132
Belgium,Stage_IVT4,0.051373805569401236,0.10088233288076157
Belgium,Stage_I_II,0.0631238106220712,0.06731269463544115
Belize,Health,5.224751178868657e-4,9.702518677443694e-4
Belize,Stage_III_IVT1_2,0.0020196615933736665,0.0028360074533492464
Belize,Stage_IVT3,5.451322306648704e-4,0.001302448582340571
Belize,Stage_IVT4,7.07544972963713e-4,0.0016190444547947225
Belize,Stage_I_II,9.235561466617282e-4,0.0013467319769331384
Benin,Health,0.009643956777081308,0.030216285061432657
Benin,Stage_III_IVT1_2,0.04212344642825586,0.07790780184452523
Benin,Stage_IVT3,0.011230308401892375,0.03386349514432604
Benin,Stage_IVT4,0.01791615033695717,0.05182219325309048
Benin,Stage_I_II,0.014961670149197718,0.04357139336922504
Bhutan,Health,0.0010477304145124601,0.0017094315324873326
Bhutan,Stage_III_IVT1_2,0.007494207621526255,0.010210417307742851
Bhutan,Stage_IVT3,0.002121889847184338,0.004959881301791614
Bhutan,Stage_IVT4,0.0029750139842638084,0.007879262889304033
Bhutan,Stage_I_II,0.0019437534655667753,0.002715765395453889
Bolivia,Health,0.013773694237975741,0.02784087279495371
Bolivia,Stage_III_IVT1_2,0.044119026909770424,0.06564642860593471
Bolivia,Stage_IVT3,0.011882231147761742,0.02784904504242866
Bolivia,Stage_IVT4,0.016860442527246673,0.043455614508498434
Bolivia,Stage_I_II,0.02376198516960597,0.039919596996094646
Bosnia and Herzegovina,Health,0.0032217495469634904,0.004655279167827156
Bosnia and Herzegovina,Stage_III_IVT1_2,0.012629391340671646,0.015957851531381413
Bosnia and Herzegovina,Stage_IVT3,0.003314903972793119,0.0071082847961097964
Bosnia and Herzegovina,Stage_IVT4,0.004483023023282098,0.011134369793985391
Bosnia and Herzegovina,Stage_I_II,0.005627253990495431,0.006987040622713014
Botswana,Health,0.007101389508295243,0.008251010037595239
Botswana,Stage_III_IVT1_2,0.004674448264228088,0.004956869099185598
Botswana,Stage_IVT3,0.0010850797856908816,0.002009751022768479
Botswana,Stage_IVT4,0.001611432625378613,0.0033127880493821365
Botswana,Stage_I_II,0.013912565622036964,0.014314440609475482
Brazil,Health,0.36798579245659147,0.40900141794745976
Brazil,Stage_III_IVT1_2,0.590460411266709,0.6158952000294345
Brazil,Stage_IVT3,0.14989767387864664,0.2714608993911145
Brazil,Stage_IVT4,0.19197928106726853,0.3581952504700024
Brazil,Stage_I_II,0.7388385191506507,0.7479707191205768
Brunei Darussalam,Health,0.002047811120868439,0.0025207564134097507
Brunei Darussalam,Stage_III_IVT1_2,0.005198270050445856,0.00569905500398734
Brunei Darussalam,Stage_IVT3,0.0014428719570156298,0.0027037537006742046
Brunei Darussalam,Stage_IVT4,0.001800962152713872,0.0035832684376683258
Brunei Darussalam,Stage_I_II,0.0037107309286969555,0.0039010283704600233
Bulgaria,Health,0.009626056500096269,0.013219682649780698
Bulgaria,Stage_III_IVT1_2,0.024260386117365654,0.02885904003372873
Bulgaria,Stage_IVT3,0.006529177740398767,0.013962552656438391
Bulgaria,Stage_IVT4,0.008489404912498529,0.017550489478932958
Bulgaria,Stage_I_II,0.017480293046410862,0.019800585567006278
Burkina Faso,Health,0.013023301765391352,0.05572081392322037
Burkina Faso,Stage_III_IVT1_2,0.09748968113885306,0.18938139756012606
Burkina Faso,Stage_IVT3,0.02584163379090487,0.08473362914437793
Burkina Faso,Stage_IVT4,0.03687019838727272,0.11846502798913311
Burkina Faso,Stage_I_II,0.021741274928404886,0.07743483672284293
Burundi,Health,0.0018984864846924385,0.03483365671749112
Burundi,Stage_III_IVT1_2,0.01451623224655297,0.03786707627013823
Burundi,Stage_IVT3,0.004220279055279158,0.015643395504962354
Burundi,Stage_IVT4,0.006813391599238606,0.028636396238206734
Burundi,Stage_I_II,0.005061696187184834,0.045667229946355435
Cabo Verde,Health,3.6213551747481395e-4,7.930121082976748e-4
Cabo Verde,Stage_III_IVT1_2,0.004050298051712089,0.005965165000990727
Cabo Verde,Stage_IVT3,0.0010472182282335513,0.002590609883291828
Cabo Verde,Stage_IVT4,0.0015627646229771734,0.00430453592361875
Cabo Verde,Stage_I_II,6.446534437084246e-4,0.001091952869954525
Cambodia,Health,0.012780939687259948,0.030271136942096783
Cambodia,Stage_III_IVT1_2,0.039727476292060235,0.06450256124197391
Cambodia,Stage_IVT3,0.011136755381656182,0.02841213302045409
Cambodia,Stage_IVT4,0.01607211420048724,0.043677993963022535
Cambodia,Stage_I_II,0.02264388703767337,0.044929302753570856
Cameroon,Health,0.020185702953636916,0.05820987272221084
Cameroon,Stage_III_IVT1_2,0.13649351902480683,0.23069664508789955
Cameroon,Stage_IVT3,0.036522590778550704,0.09390659280791906
Cameroon,Stage_IVT4,0.05661791532851133,0.16609496209152194
Cameroon,Stage_I_II,0.033192131039607144,0.07666856518500897
Canada,Health,0.15759678025700424,0.20041065921262774
Canada,Stage_III_IVT1_2,0.5795338527885675,0.6337622217493163
Canada,Stage_IVT3,0.1671663833166137,0.3123954310247272
Canada,Stage_IVT4,0.2056698518574718,0.40708678167097406
Canada,Stage_I_II,0.2526199668656241,0.28233539004294095
Central African Republic,Health,8.770038908503669e-4,0.007061324088061067
Central African Republic,Stage_III_IVT1_2,0.0033247988574142536,0.0076650867347715845
Central African Republic,Stage_IVT3,9.367021976935195e-4,0.0033535379226852587
Central African Republic,Stage_IVT4,0.0013039342683160249,0.0055996685150247515
Central African Republic,Stage_I_II,0.0016123345098146176,0.009775042428573012
Chad,Health,0.013643359372883005,0.056409853046112825
Chad,Stage_III_IVT1_2,0.05416904900430554,0.11184957311377199
Chad,Stage_IVT3,0.015544829055524755,0.05140784456431083
Chad,Stage_IVT4,0.024132299443598224,0.08661434816081776
Chad,Stage_I_II,0.024835452995031215,0.08432315367373835
Chile,Health,0.04700723000310504,0.0547328056885166
Chile,Stage_III_IVT1_2,0.16901230158238276,0.17562855298513433
Chile,Stage_IVT3,0.043084483925256795,0.07762518071976067
Chile,Stage_IVT4,0.057271554568175745,0.11154688866952024
Chile,Stage_I_II,0.09212995040621687,0.09434719443532286
China,Health,0.5215008799198511,0.6262935577577643
China,Stage_III_IVT1_2,2.2580401813797923,2.5716631200038838
China,Stage_IVT3,0.653601931865824,1.2566147887830037
China,Stage_IVT4,0.7494414450991,1.4811870109230647
China,Stage_I_II,0.9427807849185363,0.9997683906200456
Colombia,Health,0.06724094276282032,0.10445790158576145
Colombia,Stage_III_IVT1_2,0.331434488110942,0.4251675208684437
Colombia,Stage_IVT3,0.08701361882965794,0.18006296888005113
Colombia,Stage_IVT4,0.12455747509301254,0.3556947327544036
Colombia,Stage_I_II,0.11785742648393469,0.14850155974790671
Comoros,Health,3.717513797453557e-4,0.0012948782717418204
Comoros,Stage_III_IVT1_2,0.0015679343241936231,0.0028923073816754783
Comoros,Stage_IVT3,3.8984075247549437e-4,0.0011418401237791916
Comoros,Stage_IVT4,5.996762810767293e-4,0.0021034568173076786
Comoros,Stage_I_II,6.750470475706798e-4,0.0018272046286056214
Congo,Health,0.003947452401185346,0.009260609952542995
Congo,Stage_III_IVT1_2,0.01297446012971144,0.022375040976417022
Congo,Stage_IVT3,0.003457993083476922,0.009189534808460152
Congo,Stage_IVT4,0.0050543840058894715,0.01437147447998382
Congo,Stage_I_II,0.007316775027803537,0.01389082414278875
Costa Rica,Health,0.007169825083251779,0.00978541417736756
Costa Rica,Stage_III_IVT1_2,0.03669176314565798,0.04430268881455617
Costa Rica,Stage_IVT3,0.010258832425433686,0.022200589961095096
Costa Rica,Stage_IVT4,0.013604114667129704,0.03162714450424054
Costa Rica,Stage_I_II,0.013359529843002335,0.015715195770806302
Croatia,Health,0.006141580510578428,0.007986683785459003
Croatia,Stage_III_IVT1_2,0.029188690157931428,0.033517339020901
Croatia,Stage_IVT3,0.008061020647681352,0.016170422523368384
Croatia,Stage_IVT4,0.01059891324851358,0.024077209071768083
Croatia,Stage_I_II,0.01090375666406619,0.012028475399088802
Cuba,Health,0,0
Cuba,Stage_III_IVT1_2,0,0
Cuba,Stage_IVT3,0,0
Cuba,Stage_IVT4,0,0
Cuba,Stage_I_II,0,0
Cyprus,Health,0.003515172274250676,0.004372904762656679
Cyprus,Stage_III_IVT1_2,0.009266042961789735,0.010656665872747767
Cyprus,Stage_IVT3,0.0025351093317878617,0.0050123811275935605
Cyprus,Stage_IVT4,0.00323177764291084,0.006170547654836463
Cyprus,Stage_I_II,0.0062587204326853075,0.006775845366324183
Czechia,Health,0.02337503580098431,0.029993814922433183
Czechia,Stage_III_IVT1_2,0.07657697299245371,0.08511556053044386
Czechia,Stage_IVT3,0.02081545324479909,0.0417142292304998
Czechia,Stage_IVT4,0.026588447100279387,0.05626819273695637
Czechia,Stage_I_II,0.04177562109097355,0.046428465475800686
Côte d'Ivoire,Health,0.025887034507344364,0.059201529279261624
Côte d'Ivoire,Stage_III_IVT1_2,0.12340367613280971,0.19406162998064885
Côte d'Ivoire,Stage_IVT3,0.03227526203803916,0.0843730197628889
Côte d'Ivoire,Stage_IVT4,0.047897557258140544,0.12499943045031525
Côte d'Ivoire,Stage_I_II,0.04621213878757809,0.08562937848135957
Democratic Republic of the Congo,Health,0.028570344412454148,0.21756410167551354
Democratic Republic of the Congo,Stage_III_IVT1_2,0.11823823535874607,0.27875995136876314
Democratic Republic of the Congo,Stage_IVT3,0.027896149073535655,0.10144570709383062
Democratic Republic of the Congo,Stage_IVT4,0.04857209338203131,0.18696198066801187
Democratic Republic of the Congo,Stage_I_II,0.051089372879283564,0.28359495511482224
Denmark,Health,0.017454560593212355,0.021206290245574216
Denmark,Stage_III_IVT1_2,0.10351849352821753,0.11380603368906347
Denmark,Stage_IVT3,0.028035475265792614,0.05371715090224829
Denmark,Stage_IVT4,0.03496824905827921,0.07499391426910063
Denmark,Stage_I_II,0.031352063601084744,0.03321190413951672
Djibouti,Health,8.721395917938075e-4,0.0021799648299953415
Djibouti,Stage_III_IVT1_2,0.0033213256773945376,0.0056464340709195
Djibouti,Stage_IVT3,8.514476008272887e-4,0.002195634975258098
Djibouti,Stage_IVT4,0.0013843091418121222,0.004062054571410686
Djibouti,Stage_I_II,0.0016015680381441637,0.003145294853180861
Dominica,Health,6.80714727849933e-5,1.0455823616459021e-4
Dominica,Stage_III_IVT1_2,3.585302148609911e-4,4.71149847873496e-4
Dominica,Stage_IVT3,9.570847176537687e-5,2.0675830583403082e-4
Dominica,Stage_IVT4,1.370421376498946e-4,3.785950720245417e-4
Dominica,Stage_I_II,1.2680675765117615e-4,1.690658452150039e-4
Dominican Republic,Health,0.016347501408820127,0.023697806124391277
Dominican Republic,Stage_III_IVT1_2,0.06451782045630687,0.08175591399573875
Dominican Republic,Stage_IVT3,0.01744766598600802,0.03545897204396546
Dominican Republic,Stage_IVT4,0.023227576135010856,0.05597685701621531
Dominican Republic,Stage_I_II,0.03066414717673326,0.03741897322823042
Ecuador,Health,0.02047309145196266,0.03333647873165474
Ecuador,Stage_III_IVT1_2,0.07259935035431066,0.10098617842948387
Ecuador,Stage_IVT3,0.01906605008474863,0.04098532505016105
Ecuador,Stage_IVT4,0.027211512527776274,0.06391644899540853
Ecuador,Stage_I_II,0.03593048971372301,0.04805485221006285
Egypt,Health,0.17005398037479516,0.26798034960921235
Egypt,Stage_III_IVT1_2,0.4154958276744737,0.5438970434750019
Egypt,Stage_IVT3,0.10982164500010305,0.23963950087984415
Egypt,Stage_IVT4,0.15722053490699628,0.38085979635102474
Egypt,Stage_I_II,0.3079735428740509,0.3868311743961364
El Salvador,Health,0.0047232141623751315,0.008560650201234313
El Salvador,Stage_III_IVT1_2,0.021744313387310543,0.031700186901559436
El Salvador,Stage_IVT3,0.005577969622112947,0.012846697126636605
El Salvador,Stage_IVT4,0.008368192655736642,0.021757789227540094
El Salvador,Stage_I_II,0.008640431843942463,0.012465208704065108
Equatorial Guinea,Health,0.0031485552364285832,0.0049549198008350896
Equatorial Guinea,Stage_III_IVT1_2,0.008653931539453655,0.011551285483558561
Equatorial Guinea,Stage_IVT3,0.002349702309025658,0.005118187962806989
Equatorial Guinea,Stage_IVT4,0.0031387983389853393,0.007623439360019382
Equatorial Guinea,Stage_I_II,0.005457351709667025,0.007186118429771272
Eritrea,Health,0,0
Eritrea,Stage_III_IVT1_2,0,0
Eritrea,Stage_IVT3,0,0
Eritrea,Stage_IVT4,0,0
Eritrea,Stage_I_II,0,0
Estonia,Health,0.002604878315604653,0.0032559428717780286
Estonia,Stage_III_IVT1_2,0.00963725725494717,0.011103398690167823
Estonia,Stage_IVT3,0.002629989094576171,0.005219663612437904
Estonia,Stage_IVT4,0.0034781123963238654,0.007600800219320032
Estonia,Stage_I_II,0.004745478628220658,0.005280653287019658
Eswatini,Health,0.0014493992564529527,0.0027499882745430104
Eswatini,Stage_III_IVT1_2,0.0020243902064773917,0.0029651707354252355
Eswatini,Stage_IVT3,5.689222287196192e-4,0.0014759473662053243
Eswatini,Stage_IVT4,7.706874277460444e-4,0.0020027802101580125
Eswatini,Stage_I_II,0.0025062357185582328,0.003877201005943023
Ethiopia,Health,0.05981426186273478,0.23978607818635644
Ethiopia,Stage_III_IVT1_2,0.3854692157919303,0.7434854603446015
Ethiopia,Stage_IVT3,0.10508918925367693,0.33088529045426357
Ethiopia,Stage_IVT4,0.16592303327447963,0.5695496104713147
Ethiopia,Stage_I_II,0.10247964389014597,0.3420709476249757
Fiji,Health,0.0010651121231545486,0.0019376854361480844
Fiji,Stage_III_IVT1_2,6.84843161654731e-4,9.698769124878807e-4
Fiji,Stage_IVT3,1.9529521532026466e-4,4.67294638460096e-4
Fiji,Stage_IVT4,2.619027546307742e-4,6.39856019845826e-4
Fiji,Stage_I_II,0.0019647687415689807,0.0028799176515176468
Finland,Health,0.014695443208083558,0.018224171463123977
Finland,Stage_III_IVT1_2,0.06168702004377528,0.06892453518273463
Finland,Stage_IVT3,0.01664079930219941,0.03242555883135746
Finland,Stage_IVT4,0.020892726170439774,0.04321854854138997
Finland,Stage_I_II,0.026510718095923834,0.028753374107196573
France,Health,0.1659403751244135,0.19666479935765172
France,Stage_III_IVT1_2,0.37148052700846584,0.4063261681308293
France,Stage_IVT3,0.10492948086568722,0.19466618988486417
France,Stage_IVT4,0.14320956864413303,0.28198039527401875
France,Stage_I_II,0.2798338293246481,0.2857562005691338
Gabon,Health,0.0032056472233005073,0.004836214205280129
Gabon,Stage_III_IVT1_2,0.009000499295582921,0.012106465821197163
Gabon,Stage_IVT3,0.0024569779094599526,0.005456224318057236
Gabon,Stage_IVT4,0.0032375523103591,0.0074347546648170955
Gabon,Stage_I_II,0.005691755046967775,0.007109148801208267
Gambia,Health,0.0012866921444358856,0.0043063025217908385
Gambia,Stage_III_IVT1_2,0.010727856202488182,0.019539446240705468
Gambia,Stage_IVT3,0.002832089975171134,0.008259639010217205
Gambia,Stage_IVT4,0.004146440920534321,0.012667911150655612
Gambia,Stage_I_II,0.0019895450967121493,0.00571902281206435
Georgia,Health,0.004294835490127408,0.00636716876001708
Georgia,Stage_III_IVT1_2,0.012724175248380506,0.016163185162511876
Georgia,Stage_IVT3,0.003452851940877184,0.007462449863893387
Georgia,Stage_IVT4,0.004562390448276903,0.010425505327682582
Georgia,Stage_I_II,0.007738061663383076,0.009627322399622532
Germany,Health,0.2977116788832582,0.3428543152396115
Germany,Stage_III_IVT1_2,0.8726598777057911,0.8840088189120219
Germany,Stage_IVT3,0.21242327477331782,0.3829290207678071
Germany,Stage_IVT4,0.23649928045790314,0.44646974681234153
Germany,Stage_I_II,0.5760066862686235,0.6137570373082833
Ghana,Health,0.025340598530017952,0.056768111682102
Ghana,Stage_III_IVT1_2,0.1967798511669161,0.3039835938474103
Ghana,Stage_IVT3,0.05201513098180814,0.12679965373389437
Ghana,Stage_IVT4,0.07111557281597015,0.19116661687532535
Ghana,Stage_I_II,0.04637902921614893,0.0858449557246374
Greece,Health,0.0167334740779772,0.02208138553001289
Greece,Stage_III_IVT1_2,0.053041461720199155,0.06212597608043181
Greece,Stage_IVT3,0.014493631012281794,0.02953554626866546
Greece,Stage_IVT4,0.018703640191509385,0.044256150877921736
Greece,Stage_I_II,0.030149341565891292,0.03464046619478369
Grenada,Health,1.1159803943745433e-4,1.7944690427333762e-4
Grenada,Stage_III_IVT1_2,5.574385382658503e-4,7.323812035071737e-4
Grenada,Stage_IVT3,1.556450689606312e-4,3.3468005519952113e-4
Grenada,Stage_IVT4,1.9725115239041993e-4,5.006038374063463e-4
Grenada,Stage_I_II,1.9498923373314253e-4,2.545322073693453e-4
Guatemala,Health,0.02199982217079299,0.03899404444736336
Guatemala,Stage_III_IVT1_2,0.07973121806848295,0.11269092236818516
Guatemala,Stage_IVT3,0.02039658154033663,0.05031913606715041
Guatemala,Stage_IVT4,0.029504932303527347,0.06779494705996188
Guatemala,Stage_I_II,0.037614707788324514,0.053911601706816026
Guinea,Health,0.008126221894438618,0.02698984259280286
Guinea,Stage_III_IVT1_2,0.05433145908432105,0.0978757223840119
Guinea,Stage_IVT3,0.014682440652634125,0.046013818591776334
Guinea,Stage_IVT4,0.023686903476394728,0.07791020993434333
Guinea,Stage_I_II,0.015750585219008226,0.0394968748233905
Guinea-Bissau,Health,9.107155656191892e-4,0.004261601580703122
Guinea-Bissau,Stage_III_IVT1_2,0.005407596024604794,0.010577656192128835
Guinea-Bissau,Stage_IVT3,0.0014670052042947857,0.004525867514362913
