LocationHeader,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level
    Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,mid,0.03078462041265862,0.02439309969331571,0.00709363464376245,0.00894754039268973,0.00970600976431001,0.01407943557336566,0.1523898875341635,0.06393184515195734,0.05988801764295398,0.04567501616939651,0.01938631736175156,0.02124780861624384,0.12874793615670843,0.05455418352519934,0.02941999510002549,0.02404271529136611,0.01946037475077499,0.02104487853712349,0.03078462041265862,0.02439309969331571,0.00709363464376245,0.00894754039268973,0.00970600976431001,0.01407943557336566,0.00160380844965,0.00327742468226921,4.572576921782541e-4,0.00167274607096541,1.461156656293902e-4,5.64159927264086e-4,0.1523898875341635,0.06393184515195734,0.05988801764295398,0.04567501616939651,0.01938631736175156,0.02124780861624384,0.113,38.05,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,Armenia,3
    Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,low,0.00813778532169388,0.01628171808128124,0.00220747828646352,0.00802220682097854,6.359546143773475e-4,0.00237918301260853,0.7279590558412041,0.26861431168235494,0.26618827335142464,0.18094498493926103,0.08604007583825284,0.0901219188856084,0.6238503654486918,0.22970153845040736,0.13302226150312435,0.09763590389274591,0.08681508758356131,0.090029866492928,0.14347680199173712,0.1016887178063828,0.03235914150949211,0.03738379693325708,0.04224727175084481,0.05550967335126496,0.00813778532169388,0.01628171808128124,0.00220747828646352,0.00802220682097854,6.359546143773475e-4,0.00237918301260853,0.7279590558412041,0.26861431168235494,0.26618827335142464,0.18094498493926103,0.08604007583825284,0.0901219188856084,0.1268,12.61,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,Azerbaijan,3
    Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,low,0.00198722738222263,0.00417385725787052,5.326668995967639e-4,0.00209114175546503,1.663885982109043e-4,7.617282963427232e-4,0.1827777177862646,0.07278482212350526,0.0664229901007985,0.04901078943169468,0.02125031380148583,0.02244198982908666,0.15727140015039812,0.06299893711251149,0.03247836348461299,0.02518953930937047,0.02118807574565858,0.02265746610095727,0.03633793955770025,0.02764401599664644,0.00808234561435262,0.0106977594147866,0.01064995361725204,0.0148969334784522,0.00198722738222263,0.00417385725787052,5.326668995967639e-4,0.00209114175546503,1.663885982109043e-4,7.617282963427232e-4,0.1827777177862646,0.07278482212350526,0.0664229901007985,0.04901078943169468,0.02125031380148583,0.02244198982908666,0.0116,3.13,3607286.2933947025,198973.4460697798,0.0953598650110486,0.0106635020467414,0.1330720248813324,0.01654959554913815,12971.4944635269,15621.6899761326,11560.8643237088,Georgia,3
    Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,low,0.02063739205782046,0.03909075107744424,0.00443399942272853,0.01398828472820781,0.0014182177222984,0.00522422051704384,1.8525910643250936,0.5403704533014293,0.5578171755153276,0.31468310310815406,0.17204925271311683,0.16058282080128192,1.6829746651830602,0.5124720555136335,0.276710185753937,0.17223606670019032,0.1741854750501561,0.1619420603885138,0.35711042711438734,0.228988012856452,0.07024640609149571,0.06873099219345381,0.08783849500612347,0.11187258150997612,0.02063739205782046,0.03909075107744424,0.00443399942272853,0.01398828472820781,0.0014182177222984,0.00522422051704384,1.8525910643250936,0.5403704533014293,0.5578171755153276,0.31468310310815406,0.17204925271311683,0.16058282080128192,0.061,3.27,18955521.200844068,939864.8342541532,0.0616698643519551,0.00659992225449194,0.114274344122347,0.01694626275617425,25210.2236945516,28522.0402086556,23047.6954788061,Kazakhstan,3
    Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,low,0.00224045797335767,0.00927433582176059,5.875198670719453e-4,0.00313999421279541,1.657788940875625e-4,8.211658607485442e-4,0.2132524803377796,0.15390450235179928,0.07619660046670257,0.08555814529802787,0.02552727745912457,0.03617188675689786,0.1822405814364849,0.1428320448351011,0.0361929139960676,0.04286178340553611,0.02604765757214907,0.03737958445158654,0.04154045628897042,0.04358972553525624,0.0081186676448517,0.01567390608080449,0.01274114711247943,0.0243032259152432,0.00224045797335767,0.00927433582176059,5.875198670719453e-4,0.00313999421279541,1.657788940875625e-4,8.211658607485442e-4,0.2132524803377796,0.15390450235179928,0.07619660046670257,0.08555814529802787,0.02552727745912457,0.03617188675689786,0.0039,0.6,6863084.431152706,518226.8551102639,0.0473591424112124,0.00530672499647745,0.0742307329965297,0.01234752672473545,4217.86206142112,5161.66685570111,3436.73104776224,Kyrgyzstan,3
    Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,low,0.00226535569964454,0.0052910278739329,5.067064444558144e-4,0.00220300149152113,1.4340743879715946e-4,6.15128539757276e-4,0.20325494173523653,0.08437034621676498,0.05929748475460905,0.04541851062976834,0.0195769542820693,0.02217893246256154,0.18415217918879503,0.07983427541785082,0.02915126713589696,0.02400829230041083,0.01961576307608032,0.02166533232996075,0.03847991241473776,0.02845236987174206,0.00690211526587056,0.00864005509157039,0.00968116020799664,0.01370590465226312,0.00226535569964454,0.0052910278739329,5.067064444558144e-4,0.00220300149152113,1.4340743879715946e-4,6.15128539757276e-4,0.20325494173523653,0.08437034621676498,0.05929748475460905,0.04541851062976834,0.0195769542820693,0.02217893246256154,0.0352,10.65,3336292.9094930924,121927.6822749602,0.0421452279011661,0.00463335317407525,0.0931324793554539,0.01626975070980195,12019.9948625722,13148.1062491627,11335.5267166759,Mongolia,3
    Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,low,0.0035435454803753,0.01445841572335309,8.507179078892547e-4,0.00468472076159362,2.5617786627932845e-4,0.0015467891472015,0.33576109653728725,0.24531286646733977,0.11360109528194837,0.13176742146596657,0.0372624759185494,0.05252705360412085,0.28601905435925995,0.2324252145812578,0.05075299404980252,0.06087914211387155,0.03817797319263161,0.05441637139487061,0.06383891381950225,0.06825655432674697,0.01154895789815494,0.02158959547197058,0.0190331374551724,0.0350791262769565,0.0035435454803753,0.01445841572335309,8.507179078892547e-4,0.00468472076159362,2.5617786627932845e-4,0.0015467891472015,0.33576109653728725,0.24531286646733977,0.11360109528194837,0.13176742146596657,0.0372624759185494,0.05252705360412085,0.0306,3.29,10159942.149303185,716569.9885359937,0.0414507207417621,0.00484247154280794,0.0643309854150405,0.01150532471125785,4048.89974628512,5233.32384938635,3377.83028560404,Tajikistan,3
    Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,mid,0.09281008698837184,0.06218532381601941,0.0183443012989516,0.01984208657239658,0.02320268500889175,0.02948271544133955,0.477974273677873,0.154767223012191,0.1456953483233302,0.09111243406286808,0.04555325373709842,0.04372227756705029,0.43473262955795794,0.14389292176017557,0.07369129636126932,0.0497975808987483,0.04701033755357475,0.04719651407108415,0.09281008698837184,0.06218532381601941,0.0183443012989516,0.01984208657239658,0.02320268500889175,0.02948271544133955,0.00533432240339576,0.01043981433509527,0.00117853143359906,0.00491115500137662,3.550423384160951e-4,0.00130697451225785,0.477974273677873,0.154767223012191,0.1456953483233302,0.09111243406286808,0.04555325373709842,0.04372227756705029,0.1348,22.57,5158372.87954372,271672.8314504395,0.0442257986156972,0.0049149699633362,0.1017709163879264,0.0169378901618358,21078.6337322333,29240.740034522,14054.5241653588,Turkmenistan,3
    Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,low,0.02047235258429085,0.04832374550608846,0.00491565993709739,0.01961271682480989,0.00142493709563951,0.00625000633549883,1.8143032094823477,0.7946389846192685,0.5773695387143103,0.4775053765823189,0.18917477883216735,0.21447703403426072,1.5997663640794122,0.7444583946993594,0.28055959759841426,0.24152129813722292,0.184454157253369,0.20356392187117353,0.3484861193904857,0.2757516300655532,0.06690880870862946,0.08687773364032754,0.09480668329096756,0.14618633811692436,0.02047235258429085,0.04832374550608846,0.00491565993709739,0.01961271682480989,0.00142493709563951,0.00625000633549883,1.8143032094823477,0.7946389846192685,0.5773695387143103,0.4775053765823189,0.18917477883216735,0.21447703403426072,0.2183,6.61,34232868.959930085,4699273.178691864,0.0407832294269079,0.00452073266158294,0.0916503425469415,0.0147899380542528,10212.2274167206,12945.9932333251,7980.36385558262,Uzbekistan,3
    Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,low,0.00160665798639626,0.00343545500706312,4.869880103411445e-4,0.00207829926936487,1.3438368915543605e-4,5.255232556548262e-4,0.15085689418180245,0.06194211174241059,0.05823019571808584,0.043910838186552927,0.01897580230696033,0.0207495916968835,0.12762030437962324,0.05200912036068002,0.02815630468968637,0.0224028988357128,0.01876864168442458,0.02010760753196393,0.03042520051700877,0.02369556497919569,0.00697769604501311,0.00845976338236858,0.00948379197233056,0.01379444276888827,0.00160665798639626,0.00343545500706312,4.869880103411445e-4,0.00207829926936487,1.3438368915543605e-4,5.255232556548262e-4,0.15085689418180245,0.06194211174241059,0.05823019571808584,0.043910838186552927,0.01897580230696033,0.0207495916968835,0.0363,12.66,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,Albania,3
