Country,Severity,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Spain,Stage_I_II,0.13430820311539923,0.10946748422794807,NA,NA,NA,NA
Sweden,Health,0.06613003818749905,0.05724906260439767,NA,NA,NA,NA
Sweden,Stage_III_IVT1_2,0.1399033542105777,0.11821318133952557,0.055224628611839445,0.042702899505135894,0.04736809989012976,0.04883211405546324
Sweden,Stage_IVT3,0.04187216429606475,0.06131900622323712,0.009475416574983297,0.013055639796869373,0.020517991584073823,0.03153014062648894
Sweden,Stage_IVT4,0.046033175245063056,0.07258892645616191,0.010411448581686992,0.014670395606692347,0.020706768581856896,0.03441681192357966
Sweden,Stage_I_II,0.11726837281296287,0.09068755509487125,NA,NA,NA,NA
Switzerland,Health,0.04021145989680669,0.035828759145561516,NA,NA,NA,NA
Switzerland,Stage_III_IVT1_2,0.11529599682277093,0.09705134340619374,0.05597427619630405,0.04451784217971082,0.02584790206948907,0.026472953839763134
Switzerland,Stage_IVT3,0.027412996519789654,0.039645489863712184,0.009682509119588073,0.01310781121827752,0.01053064680014677,0.016376564791576145
Switzerland,Stage_IVT4,0.037010824384615275,0.05696916577005223,0.011093908801745428,0.0156176815078156,0.01749439113916296,0.028214099721487623
Switzerland,Stage_I_II,0.07114310993795434,0.056196670628996186,NA,NA,NA,NA
Taiwan,Health,0.025608597066430774,0.02136116607888369,NA,NA,NA,NA
Taiwan,Stage_III_IVT1_2,0.19423200699785043,0.14185654763204106,0.10984271215793733,0.09345199493969213,0.06373061023114811,0.06949631833114152
Taiwan,Stage_IVT3,0.04763000527864142,0.0636479964690415,0.016298208793145322,0.021566274282495863,0.025847383364543248,0.04000292513583295
Taiwan,Stage_IVT4,0.09000656527186665,0.1551671622242259,0.017469838652382195,0.02373103200866088,0.06593133177013707,0.13130357954117897
Taiwan,Stage_I_II,0.06206169278424597,0.04913690402445813,NA,NA,NA,NA
Tanzania,Health,0.04437529933530872,0.050101901571522466,NA,NA,NA,NA
Tanzania,Stage_III_IVT1_2,0.034601925867567954,0.03399398261148411,0.01629301241530271,0.018178880343108446,0.013672714993014744,0.020420963687291453
Tanzania,Stage_IVT3,0.009202747817753756,0.014495401337191155,0.0025361779998117847,0.00418430672449663,0.005306678978938702,0.010754072859724188
Tanzania,Stage_IVT4,0.010525772625872195,0.01719241694483609,0.0029606563013222374,0.004877028931496919,0.005865811415771463,0.010894726652982576
Tanzania,Stage_I_II,0.08661696138649712,0.10445481028160841,NA,NA,NA,NA
United Kingdom,Health,0.05341900026547889,0.09450639461837905,NA,NA,NA,NA
United Kingdom,Stage_III_IVT1_2,0.21841568802083705,0.2135307716808846,0.0563978266910675,0.06085855246464737,0.16126933203684654,0.1796172120656297
United Kingdom,Stage_IVT3,0.07638769721491191,0.12516805694574554,0.012221458616153683,0.01965208250822732,0.06416048320844679,0.10810442574013761
United Kingdom,Stage_IVT4,0.08804071234039983,0.15102186098377746,0.012217376049153657,0.022607640724678593,0.07599092768375569,0.1360176927831278
United Kingdom,Stage_I_II,0.12981038898380204,0.17092498598747283,NA,NA,NA,NA
United States,Health,1.652954931934558,1.4355963899405468,NA,NA,NA,NA
United States,Stage_III_IVT1_2,3.0656450907754613,2.5931472230585753,1.1743538841209298,0.9095371924847765,1.243964417952154,1.280149665037491
United States,Stage_IVT3,0.9296125500784459,1.3314668369133682,0.19943012967770224,0.2637078984305712,0.5232459969823452,0.7823398680335762
United States,Stage_IVT4,1.2476931036244636,1.973481061583528,0.2243081941188563,0.31334865660466105,0.7664458520696442,1.2685943192639124
United States,Stage_I_II,3.03621448542152,2.3996845318739193,NA,NA,NA,NA
