LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,0.0301253450502568,0.02229486982696312,0.00350152506990496,0.00438467202189679,0.00480177755983167,0.00679634741936049,mid,0.1348,22.57,16434.13991,Turkmenistan,3
    Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,0.01073311850736974,0.02908517254705019,0.00253050823259365,0.01256352415832022,7.666341347580288e-4,0.00409666900507016,low,0.2183,6.61,9247.643827,Uzbekistan,3
  Central Europe,Central Europe,"Central Europe, Eastern Europe, and Central Asia",NA,1.4346803268880821,0.3563964405562156,0.21544871201889423,0.08543267239034949,0.23765014418189553,0.1234478122502047,NA,NA,NA,NA,NA,2
    Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,0.0013927557169358,0.00314872722125565,4.008453276659493e-4,0.00162288959581879,1.1866735832575106e-4,5.134705318206532e-4,low,0.0363,12.66,16126.77749,Albania,3
    Bosnia and Herzegovina,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BIH,0.02917534175341442,0.02137785546096513,0.00607274094814171,0.00736405930098617,0.00809187633380715,0.01138680526655817,mid,0.0727,20.75,18285.67112,Bosnia and Herzegovina,3
    Bulgaria,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BGR,0.00641463077439177,0.01313797785327135,0.00201675660361365,0.00691149044267847,6.174674921618948e-4,0.00238979055378623,low,0.1094,15.72,30971.91319,Bulgaria,3
    Croatia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HRV,0.0621706810534329,0.04032828627121145,0.01320220669885477,0.01304925005129111,0.01618064062972399,0.01945440349103548,mid,0.1494,36.8,36930.47013,Croatia,3
    Czechia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",CZE,0.35575897571944703,0.13072736092758092,0.03414353153329819,0.01600974488352392,0.01875716201276258,0.01315306187356223,high,0.8438,79.32,47796.03374,Czechia,3
    Hungary,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HUN,0.16138573719608493,0.10721340794899584,0.03753001599871015,0.03667115224668197,0.04504712404237325,0.05320774501397048,mid,0.3639,37.29,38887.19095,Hungary,3
    Montenegro,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MNE,4.263414296895779e-4,8.689376899379223e-4,1.194770677141767e-4,4.4314262911324034e-4,3.6378915633334645e-5,1.4888260467772128e-4,low,0.0057,9.18,23842.06192,Montenegro,3
    North Macedonia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MKD,0.00135858956682233,0.0027822740107505,3.623396348169088e-4,0.00132438590065299,1.0669089719668784e-4,4.360203997307552e-4,low,0.0319,15.34,22142.97287,North Macedonia,3
    Poland,Central Europe,"Central Europe, Eastern Europe, and Central Asia",POL,0.4451221621333392,0.27415830048397877,0.06719273779770152,0.06631971709593729,0.08118115919329737,0.09684714275184084,mid,1.7024,44.83,41059.58478,Poland,3
    Romania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ROU,0.19903218419507576,0.12601811907219376,0.02544185359851893,0.02508060429624041,0.0313957655265659,0.03775290070564352,mid,0.3761,19.27,37730.37084,Romania,3
    Serbia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SRB,0.06476399046906153,0.04449329822909446,0.00812822777090478,0.00917765112645423,0.01061252799401447,0.01471842675467119,mid,0.11,15.79,23404.99711,Serbia,3
    Slovakia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVK,0.08310779942543993,0.05386498964737666,0.01766347698063304,0.01731681233948061,0.02166128308753056,0.02604422232578398,mid,0.3082,56.55,38346.09358,Slovakia,3
    Slovenia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVN,0.02457113745494683,0.0153373375130908,0.00317450205832046,0.00305747863441287,0.0038434006985026,0.00462502211883684,mid,0.1215,58.73,45914.05724,Slovenia,3
  Eastern Europe,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",NA,0.27611288873885675,0.26493300673910214,0.06850071008553106,0.11964209145599791,0.042842216296780915,0.04651326980934001,NA,NA,NA,NA,NA,2
    Belarus,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",BLR,0.00749239786110486,0.01471845690521364,0.00214602772935332,0.00733115729161145,6.615426608133655e-4,0.00257213177136976,low,0.1371,14.47,27611.18011,Belarus,3
    Estonia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",EST,0.02687473025015995,0.01826519009738772,0.00655706922819266,0.0061955192973021,0.00791898250736116,0.00932041919938473,mid,0.149,113,44251.5375,Estonia,3
    Latvia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LVA,0.03057058182918303,0.02030149869313551,0.00693037015069168,0.00682660840049371,0.00846897063307619,0.01023629282412283,mid,0.112,58.08,36912.01306,Latvia,3
    Lithuania,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LTU,0.04882771912246348,0.03102606164535883,0.01044316621526775,0.00985477403525345,0.01250868281920502,0.01460467779267534,mid,0.199,71.47,45873.52732,Lithuania,3
    Republic of Moldova,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",MDA,0.00138990059683997,0.00321511762880678,2.4407205636506668e-4,9.792002547097103e-4,7.503625588635364e-5,3.646402604701474e-4,low,0.0051,1.43,15682.07033,Republic of Moldova,3
    Russian Federation,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",RUS,0.13713071586753958,0.25607713950719024,0.03524742134945309,0.11555142797022482,0.0111350453886766,0.04079188633271306,low,0.8921,6.08,38638.42969,Russian Federation,3
