Severity,global_Mean_total_billions,global_SD_total_billions
Health,31.171234440989345,7.4029356012618175
Stage_III_IVT1_2,60.929198661926215,9.166583265694305
Stage_IVT3,14.562228384702438,6.403839836392126
Stage_IVT4,16.945751720663978,7.696266367224329
Stage_I_II,34.03816729463698,7.94895081014918
