LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
Global,NA,NA,NA,150.0483673,16.24985468,54.2273804,5.712067581,38.78852394,8.942642704,NA,NA,NA,NA,Global,0
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia",NA,2.768495301,0.627762463,0.81905637,0.265248114,0.670046478,0.288655884,NA,NA,NA,NA,NA,1
  Central Asia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",NA,0.105034221,0.054935684,0.021582917,0.020431564,0.020303393,0.018407884,NA,NA,NA,NA,NA,2
    Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.025260967,0.018231168,0.005323182,0.006330538,0.007220807,0.009782268,mid,0.113,38.05,15921.70528,Armenia,3
    Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.005965351,0.012757157,0.001350664,0.004955334,4.41E-04,0.001612002,low,0.1268,12.61,20111.3757,Azerbaijan,3
    Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.001905382,0.004147484,4.84E-04,0.001960409,1.43E-04,5.12E-04,low,0.0116,3.13,18915.6534,Georgia,3
    Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,0.014346716,0.026384332,0.003149806,0.010971969,8.68E-04,0.00267193,low,0.061,3.27,32945.85157,Kazakhstan,3
    Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,0.001331627,0.00499403,2.89E-04,0.001828203,1.03E-04,5.61E-04,low,0.0039,0.6,5736.478834,Kyrgyzstan,3
    Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,0.001520153,0.00337421,3.07E-04,0.001179074,9.02E-05,3.32E-04,low,0.0352,10.65,14792.25091,Mongolia,3
    Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,0.001231912,0.00678268,3.05E-04,0.002070994,9.24E-05,5.42E-04,low,0.0306,3.29,3985.912476,Tajikistan,3
    Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,0.043047618,0.030748553,0.008142518,0.009996784,0.010614683,0.014928803,mid,0.1348,22.57,16434.13991,Turkmenistan,3
    Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,0.010424496,0.027958368,0.002231326,0.010937696,7.30E-04,0.003093639,low,0.2183,6.61,9247.643827,Uzbekistan,3
  Central Europe,Central Europe,"Central Europe, Eastern Europe, and Central Asia",NA,2.386665545,0.572929804,0.728714042,0.242461382,0.604211149,0.284828548,NA,NA,NA,NA,NA,2
    Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,0.001239994,0.002635303,3.10E-04,0.001378755,9.28E-05,3.46E-04,low,0.0363,12.66,16126.77749,Albania,3
    Bosnia and Herzegovina,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BIH,0.03188277,0.02307334,0.007054177,0.008494042,0.00961185,0.013387827,mid,0.0727,20.75,18285.67112,Bosnia and Herzegovina,3
    Bulgaria,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BGR,0.004798738,0.009231368,0.001078965,0.00363067,3.03E-04,9.80E-04,low,0.1094,15.72,30971.91319,Bulgaria,3
    Croatia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HRV,0.073578096,0.049852069,0.018482288,0.017654555,0.02239702,0.026294003,mid,0.1494,36.8,36930.47013,Croatia,3
    Czechia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",CZE,0.973883963,0.291135182,0.40286537,0.170629892,0.21648614,0.147189174,high,0.8438,79.32,47796.03374,Czechia,3
    Hungary,Central Europe,"Central Europe, Eastern Europe, and Central Asia",HUN,0.109322032,0.066515049,0.016984842,0.016467591,0.020551094,0.024572936,mid,0.3639,37.29,38887.19095,Hungary,3
    Montenegro,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MNE,3.96E-04,8.07E-04,9.97E-05,3.79E-04,2.93E-05,9.91E-05,low,0.0057,9.18,23842.06192,Montenegro,3
    North Macedonia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",MKD,0.001312515,0.002620098,3.18E-04,0.001165567,9.16E-05,3.20E-04,low,0.0319,15.34,22142.97287,North Macedonia,3
    Poland,Central Europe,"Central Europe, Eastern Europe, and Central Asia",POL,0.673898252,0.438999183,0.165117644,0.155284469,0.192360012,0.217494987,mid,1.7024,44.83,41059.58478,Poland,3
    Romania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ROU,0.292339558,0.186876817,0.064919806,0.061750303,0.079226657,0.092307464,mid,0.3761,19.27,37730.37084,Romania,3
    Serbia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SRB,0.094861753,0.066459759,0.020976547,0.024215702,0.026859808,0.035295265,mid,0.11,15.79,23404.99711,Serbia,3
    Slovakia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVK,0.085836683,0.055399852,0.019494867,0.019494879,0.023146272,0.026535716,mid,0.3082,56.55,38346.09358,Slovakia,3
    Slovenia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVN,0.043314972,0.028601715,0.011012578,0.010418556,0.01305593,0.014573328,mid,0.1215,58.73,45914.05724,Slovenia,3
  Eastern Europe,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",NA,0.276795534,0.250637628,0.068759411,0.105601097,0.045531936,0.043082101,NA,NA,NA,NA,NA,2
    Belarus,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",BLR,0.007037558,0.013393966,0.001724728,0.00561931,5.72E-04,0.001986575,low,0.1371,14.47,27611.18011,Belarus,3
    Estonia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",EST,0.024566563,0.015913331,0.005730904,0.005223805,0.007058883,0.008097821,mid,0.149,113,44251.5375,Estonia,3
    Latvia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LVA,0.031203357,0.020658037,0.007591946,0.007535637,0.009156183,0.010610996,mid,0.112,58.08,36912.01306,Latvia,3
    Lithuania,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LTU,0.0555496,0.036413862,0.013415989,0.012957775,0.015941432,0.018394679,mid,0.199,71.47,45873.52732,Lithuania,3
    Republic of Moldova,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",MDA,0.001804893,0.004082595,4.83E-04,0.001956526,1.37E-04,5.44E-04,low,0.0051,1.43,15682.07033,Republic of Moldova,3
    Russian Federation,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",RUS,0.134145048,0.241987413,0.033490156,0.101337433,0.010805318,0.035963281,low,0.8921,6.08,38638.42969,Russian Federation,3
    Ukraine,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",UKR,0.022488515,0.045379384,0.006322538,0.024391265,0.001861159,0.006475786,low,0.0589,1.41,17846.4082,Ukraine,3
High-income,NA,High-income,NA,113.3720309,14.83021059,41.41632834,5.127963598,28.72011274,8.074401195,NA,NA,NA,NA,NA,1
  Australasia,Australasia,High-income,NA,4.010164595,0.891756696,1.589382861,0.350985477,0.814927964,0.415992513,NA,NA,NA,NA,NA,2
    Australia,Australasia,High-income,AUS,3.91662823,0.889775265,1.567696655,0.350406487,0.78896341,0.414976358,high,7.3703,288.25,58182.33695,Australia,3
    New Zealand,Australasia,High-income,NZL,0.093536365,0.059413657,0.021686206,0.020151899,0.025964554,0.029058431,mid,0.5353,106.27,47996.67988,New Zealand,3
  High-income Asia Pacific,High-income Asia Pacific,High-income,NA,9.787631091,1.661875348,3.777585222,0.645213612,2.845024296,1.082106318,NA,NA,NA,NA,NA,2
    Brunei Darussalam,High-income Asia Pacific,High-income,BRN,6.80E-04,0.001233123,1.18E-04,3.44E-04,3.67E-05,1.11E-04,low,0.0091,20.35,78248.79711,Brunei Darussalam,3
    Japan,High-income Asia Pacific,High-income,JPN,7.201105128,1.562908959,2.71465778,0.607053754,1.987414305,0.996818953,high,28.7336,227.7,44355.34872,Japan,3
    Republic of Korea,High-income Asia Pacific,High-income,KOR,2.338439432,0.5456288,1.010818297,0.213897071,0.800392907,0.416959185,high,7.2547,139.93,48419.64325,Republic of Korea,3
    Singapore,High-income Asia Pacific,High-income,SGP,0.247406279,0.146399962,0.051990911,0.045102872,0.057180362,0.058745922,mid,1.1604,204.66,132617.354,Singapore,3
  High-income North America,High-income North America,High-income,NA,63.67689749,14.30346211,22.31058161,4.73506837,16.48674124,7.808599333,NA,NA,NA,NA,NA,2
    Canada,High-income North America,High-income,CAN,5.582811185,1.398177463,2.255286835,0.536604522,1.297303132,0.652152061,high,12.8291,342.52,56995.11768,Canada,3
    United States of America,High-income North America,High-income,USA,58.09408631,14.23496147,20.05529478,4.704564598,15.18943811,7.781318733,high,133.5058,405.46,71307.40173,United States of America,3
  Southern Latin America,Southern Latin America,High-income,NA,0.685939764,0.41341184,0.153113014,0.138226353,0.187723882,0.215401696,NA,NA,NA,NA,NA,2
    Argentina,Southern Latin America,High-income,ARG,0.605373031,0.409622321,0.132132976,0.136327001,0.168559365,0.214225728,mid,1.106,24.55,26300.27426,Argentina,3
    Chile,Southern Latin America,High-income,CHL,0.02272312,0.038489106,0.006192749,0.017289785,0.001158067,0.00342944,low,0.4696,24.58,29089.85046,Chile,3
    Uruguay,Southern Latin America,High-income,URY,0.057843613,0.040465942,0.014787289,0.014917667,0.018006449,0.022214113,mid,0.1075,30.56,29431.88501,Uruguay,3
  Western Europe,Western Europe,High-income,NA,35.211398,3.408540554,13.58566563,1.821137078,8.385695361,1.682655451,NA,NA,NA,NA,NA,2
    Andorra,Western Europe,High-income,AND,0.001836942,0.001125248,4.28E-04,3.82E-04,4.84E-04,5.14E-04,mid,0.0146,189.89,59332.20291,Andorra,3
    Austria,Western Europe,High-income,AUT,0.902579023,0.252206413,0.34647716,0.139245843,0.185871197,0.118475953,high,2.1157,236.39,62968.94223,Austria,3
    Belgium,Western Europe,High-income,BEL,1.537695412,0.437362666,0.668604619,0.250990509,0.357812742,0.223257981,high,2.1221,185.2,60669.21377,Belgium,3
    Cyprus,Western Europe,High-income,CYP,0.001366173,0.002458026,2.82E-04,8.48E-04,8.76E-05,2.76E-04,low,0.0126,14.41,48781.27734,Cyprus,3
    Denmark,Western Europe,High-income,DNK,1.054337355,0.299378226,0.488359214,0.170734984,0.261007293,0.156122694,high,1.8676,321.67,69715.18097,Denmark,3
    Finland,Western Europe,High-income,FIN,0.135513469,0.086369605,0.033736165,0.030352966,0.03874878,0.041681562,mid,0.5937,107.59,56790.37662,Finland,3
    France,Western Europe,High-income,FRA,4.613631507,1.117199009,1.564182836,0.360911562,1.057383319,0.559054566,high,12.666,195.39,52517.33549,France,3
    Germany,Western Europe,High-income,DEU,11.81886631,2.529169834,6.022833242,1.629444577,1.893128579,1.001669683,high,30.8773,372.15,62530.76532,Germany,3
    Greece,Western Europe,High-income,GRC,0.143112182,0.09422081,0.031581496,0.031686247,0.038607729,0.045839928,mid,0.8265,77.14,33531.15511,Greece,3
    Iceland,Western Europe,High-income,ISL,0.0334754,0.009141167,0.012242595,0.004709968,0.006619054,0.004286436,high,0.1455,407.54,61610.21327,Iceland,3
    Republic of Ireland,Western Europe,High-income,IRL,0.13277758,0.075490317,0.01978725,0.016868037,0.02176217,0.022074449,mid,0.5148,104,116903.6124,Republic of Ireland,3
    Israel,Western Europe,High-income,ISR,0.68642444,0.200734592,0.230793708,0.101614168,0.12624801,0.086580668,high,1.8272,201.81,46162.08227,Israel,3
    Italy,Western Europe,High-income,ITA,4.112457209,1.305539764,0.975680666,0.409920057,1.576311163,0.80394333,high,19.123,316.82,49825.39341,Italy,3
    Luxembourg,Western Europe,High-income,LUX,0.115656922,0.029884925,0.043128953,0.013955443,0.023014171,0.013395486,high,0.212,345.35,136772.4438,Luxembourg,3
    Malta,Western Europe,High-income,MLT,0.008943915,0.005426301,0.001906492,0.001737737,0.002189216,0.002361022,mid,0.0444,91.64,56802.01025,Malta,3
    Monaco,Western Europe,High-income,MCO,0,0,0,0,0,0,high,NA,NA,NA,Monaco,3
    Netherlands,Western Europe,High-income,NLD,0.375271514,0.225550359,0.078355658,0.070960105,0.089523021,0.093683032,mid,3.6785,213.48,68573.56488,Netherlands,3
    Norway,Western Europe,High-income,NOR,0.979795122,0.264093592,0.424362457,0.139750691,0.226245137,0.132651016,high,2.1691,404.99,88984.13867,Norway,3
    Portugal,Western Europe,High-income,PRT,0.15770999,0.098076799,0.03390428,0.032840515,0.040990117,0.046368328,mid,0.8695,84.7,38657.66772,Portugal,3
    San Marino,Western Europe,High-income,SMR,0.003773503,0.001042394,0.001504054,5.71E-04,8.10E-04,5.07E-04,high,0.0075,222.24,64745.13168,San Marino,3
    Spain,Western Europe,High-income,ESP,1.354473328,0.356403899,0.290138943,0.079050309,0.192176005,0.103680325,high,8.3063,178.03,44251.66582,Spain,3
    Sweden,Western Europe,High-income,SWE,2.126505981,0.495588869,0.757688185,0.157199976,0.436125942,0.220418588,high,3.3758,327.04,62731.70062,Sweden,3
    Switzerland,Western Europe,High-income,CHE,1.393068819,0.325310222,0.596971643,0.143481659,0.218772659,0.115675081,high,4.2189,493.73,81001.41112,Switzerland,3
    United Kingdom of Great Britain and Northern Ireland,Western Europe,High-income,GBR,3.522125902,1.119070264,0.962716623,0.402087851,1.591778177,0.817068978,high,9.5769,143.22,51004.42717,United Kingdom of Great Britain and Northern Ireland,3
Latin America and Caribbean,NA,Latin America and Caribbean,NA,3.905082113,1.57800856,0.824596072,0.516436592,0.80368005,0.676102488,NA,NA,NA,NA,NA,1
  Andean Latin America,Andean Latin America,Latin America and Caribbean,NA,0.029362944,0.045708054,0.007143585,0.018828425,0.002111134,0.005697694,NA,NA,NA,NA,NA,2
    Bolivia,Andean Latin America,Latin America and Caribbean,BOL,0.004059314,0.010753307,9.71E-04,0.004740123,2.70E-04,0.001171959,low,0.0482,4.17,9454.198147,Bolivia,3
    Ecuador,Andean Latin America,Latin America and Caribbean,ECU,0.00753843,0.016146083,0.001835345,0.007336295,5.69E-04,0.002535563,low,0.1257,7.28,13507.44456,Ecuador,3
    Peru,Andean Latin America,Latin America and Caribbean,PER,0.0177652,0.041387155,0.00433712,0.016679916,0.001272162,0.004965999,low,0.2678,8.24,15280.55121,Peru,3
  Caribbean,Caribbean,Latin America and Caribbean,NA,0.111087796,0.032473306,0.033914929,0.014242346,0.030865282,0.015791196,NA,NA,NA,NA,NA,2
    Antigua and Barbuda,Caribbean,Latin America and Caribbean,ATG,0.001363997,9.38E-04,3.35E-04,3.51E-04,4.27E-04,5.10E-04,mid,0.0048,51.88,25745.49581,Antigua and Barbuda,3
    Bahamas,Caribbean,Latin America and Caribbean,BHS,0.032867315,0.01126215,0.014194821,0.007516137,0.007919536,0.005791039,high,0.0329,75.3,31064.68222,Bahamas,3
    Barbados,Caribbean,Latin America and Caribbean,BRB,0.003319049,0.00254976,8.50E-04,0.001029037,0.001151777,0.001514392,mid,0.0152,52.8,15683.88471,Barbados,3
    Belize,Caribbean,Latin America and Caribbean,BLZ,0.003320826,0.002583508,7.08E-04,9.80E-04,0.001014554,0.001528737,mid,0.0057,14.08,11677.46101,Belize,3
    Cuba,Caribbean,Latin America and Caribbean,CUB,0,0,0,0,0,0,high,0.3044,26.85,NA,Cuba,3
    Dominica,Caribbean,Latin America and Caribbean,DMA,7.17E-04,5.65E-04,1.66E-04,2.04E-04,2.37E-04,3.30E-04,mid,0.0019,26.92,15808.97435,Dominica,3
    Dominican Republic,Caribbean,Latin America and Caribbean,DOM,0.00716137,0.014317647,0.001746909,0.006318276,6.15E-04,0.002235393,low,0.0823,7.94,22053.45899,Dominican Republic,3
    Grenada,Caribbean,Latin America and Caribbean,GRD,0.001113907,8.53E-04,2.66E-04,3.32E-04,3.65E-04,4.97E-04,mid,0.0035,32.04,15298.12311,Grenada,3
    Guyana,Caribbean,Latin America and Caribbean,GUY,5.03E-04,0.001022301,1.24E-04,4.72E-04,3.92E-05,1.46E-04,low,0.0113,14.38,22865.9271,Guyana,3
