Country,GDP_per_capita_PPP_2021
Turkiye,31338.26652
Tuvalu,5352.978625
Tanzania,3493.083008
Uganda,2684.920359
Ukraine,17846.4082
Upper middle income,19451.95212
Uruguay,29431.88501
United States,71307.40173
Uzbekistan,9247.643827
St. Vincent and the Grenadines,16200.89946
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),46893.5497
Viet Nam,12048.90199
Vanuatu,3135.836649
World,19742.35406
Samoa,6214.016928
Kosovo,12362.42102
"Yemen, Rep.",
South Africa,13711.29357
Zambia,3503.034914
Zimbabwe,3184.784602
Taiwan,64700
