country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Belgium,0.016,Indirect: based on revenue by practitioner specialty rather than type of treatment,0.212194665,0.248011797,0.172601686,0.030938495,0.043078332,0.021610416,0.318572328,0.373637063,0.26420547,0.099710178,0.121491908,0.077273646,0.081108607,0.089522814,0.072452832,0.013204256,0.014505563,0.011047998,0.231570262,0.243460039,0.220375399,9.296,10.957,7.818,13.612,15.68,11.691,54033,53225,55078,2.1221,185.2,Yes,99
Belize,,,0.128265197,0.161716517,0.097746328,0.081539912,0.099530745,0.065020474,0.33222448,0.38837187,0.279688135,0.036537104,0.044763959,0.028609799,0.071152652,0.078897137,0.065386229,0.066705147,0.070743594,0.062403858,0.132138851,0.143738944,0.120841724,1.623,2.458,1.029,2.448,3.548,1.63,4507,4279,4797,0.0057,14.08,Yes,95
Benin,,,0.117617644,0.146372896,0.090789536,0.115533574,0.14474035,0.08825614,0.275925949,0.334824876,0.221530651,0.01257966,0.015617419,0.009569376,0.035968461,0.039026591,0.033072679,0.015861963,0.018956792,0.013098559,0.059623379,0.064305884,0.054798327,0.022,0.032,0.014,0.109,0.147,0.079,1534,1506,1563,0.0033,0.28,No,60
Bhutan,,,0.209344403,0.247323508,0.167448681,0.052593202,0.065028696,0.038992043,0.318128211,0.385480872,0.254853348,0.014149344,0.017662866,0.01121643,0.049317124,0.053004849,0.045283609,0.040432191,0.05092013,0.029967097,0.100134272,0.10877172,0.091603488,0.549,0.814,0.358,2.225,3.047,1.61,3543,3259,3774,0,0.06,Yes,100
Bolivia (Plurinational State of),,,0.106453825,0.139002137,0.079103829,0.082989397,0.101633974,0.065031134,0.443473473,0.510366284,0.386031932,0.087089054,0.102468905,0.071990087,0.052375132,0.057229899,0.047935107,0.029747584,0.035672729,0.024818598,0.127207385,0.13792338,0.117048025,11.793,13.764,10.082,15.897,18.11,13.877,3552,3490,3634,0.0482,4.17,Yes,70
Bosnia and Herzegovina,,,0.136371567,0.172802049,0.101059138,0.048488392,0.058958838,0.03939739,0.430664331,0.486339643,0.371599071,0.113607573,0.139239175,0.090355584,0.125057072,0.134453844,0.115031744,0.043238374,0.04993548,0.036547058,0.376136302,0.396886657,0.353899745,2.463,3.674,1.605,3.909,5.586,2.724,7430,6795,7937,0.0727,20.75,,
Botswana,0.005,Direct - NGO estimates,0.039814345,0.056298919,0.027079889,0.069676639,0.087318476,0.053327537,0.275245258,0.333359446,0.221305538,0.047002677,0.059369838,0.035775954,0.036717136,0.039778969,0.033916467,0.026147985,0.031106381,0.021727709,0.218381978,0.229976453,0.206970883,0.913,1.352,0.601,1.321,1.849,0.915,8015,7778,8256,0.0574,24.15,,
Brazil,0.172,Indirect - based on case mix,0.14798142,0.176894372,0.118563393,0.059576565,0.072494911,0.046727317,0.339473836,0.393232302,0.29164414,0.105780927,0.12044023,0.090795322,0.064133793,0.071020365,0.057841762,0.036084393,0.038016916,0.032951431,0.088010954,0.093700937,0.082579709,7.726,9.838,5.85,10.264,12.853,8.005,7747,7692,7792,3.7128,17.68,Yes,80
Brunei Darussalam,,,0.100821159,0.133991574,0.074860826,0.058727369,0.072202121,0.046075969,0.195373465,0.240898718,0.157221099,0.013652038,0.017235067,0.010470732,0.142205937,0.152187348,0.13241897,0.080220103,0.088074244,0.072609792,0.175570807,0.190533759,0.161069413,4.402,6.268,2.985,7.915,10.687,5.659,49211,48368,49954,0.0091,20.35,,
Bulgaria,,,0.119710864,0.154786979,0.086995283,0.043093394,0.051633719,0.034803523,0.444555636,0.500560452,0.38153701,0.107678882,0.132053501,0.085581817,0.106434947,0.114012652,0.097559066,0.01432693,0.016047711,0.012630558,0.375070963,0.392684152,0.358279052,15.663,21.434,10.941,23.209,31.037,16.618,13283,13175,13422,0.1094,15.72,Yes,100
