country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Greece,,,0.142300959,0.185859432,0.107545887,0.016594144,0.020982671,0.012651351,0.4651065,0.522725657,0.406330603,0.114315822,0.142448166,0.090185189,0.089951181,0.097780075,0.082033831,0.012253676,0.013347349,0.010711538,0.441373778,0.460753791,0.422687041,7.582,9.162,6.193,9.628,11.484,8.02,22519,21582,23817,0.8265,77.14,,
Grenada,,,0.171172656,0.209594677,0.134672113,0.059842021,0.073834801,0.047452104,0.396354967,0.454410571,0.344517552,0.054700131,0.06818096,0.04218743,0.134859559,0.147197885,0.122495235,0.077173068,0.087036446,0.061962088,0.117229283,0.128667115,0.105667541,1.903,2.905,1.211,2.985,4.266,2.048,10783,10715,10834,0.0035,32.04,,
Guatemala,,,0.115282222,0.145816083,0.087381212,0.082871979,0.104121202,0.062414316,0.366757542,0.431038859,0.307414143,0.042675464,0.051823429,0.034125834,0.075343999,0.081420801,0.069643987,0.060366015,0.066256039,0.055411476,0.119411491,0.128557022,0.110960529,4.919,7.366,3.156,7.06,10.008,4.795,4952,4636,5304,0.1624,9.22,,
Guinea,,,0.153533305,0.183357876,0.12164789,0.115579716,0.144662041,0.08710496,0.278209954,0.339770603,0.228872374,0.013293724,0.016402307,0.010133661,0.0244778,0.026488428,0.022619492,0.016393029,0.019100381,0.013605019,0.146975018,0.160075712,0.134833477,0.069,0.103,0.043,0.172,0.242,0.119,1522,1272,1762,0.0032,0.23,,
Guinea-Bissau,,,0.115099041,0.146874034,0.086880372,0.112922186,0.141914764,0.08569755,0.345720963,0.408162592,0.292118646,0.012750545,0.015846679,0.009584799,0.031835793,0.034671033,0.029361904,0.018210514,0.021208994,0.015206804,0.045308009,0.050700861,0.04018293,0.061,0.093,0.039,0.117,0.164,0.08,842,737,980,0.0005,0.25,,
Guyana,,,0.137486205,0.172248412,0.105100873,0.082089977,0.099801299,0.065661404,0.379118676,0.440076789,0.324183819,0.043149824,0.054274099,0.033360787,0.148748444,0.160535452,0.13773783,0.06042628,0.073125365,0.045136991,0.143704293,0.15432145,0.134208563,0.686,1.042,0.451,1.231,1.754,0.865,21261,18148,26120,0.0113,14.38,Yes,82
Haiti,,,0.091544112,0.127365208,0.0650495,0.091038631,0.110600993,0.072478413,0.340186323,0.396919552,0.288625422,0.033776455,0.04159708,0.026264726,0.07832165,0.086158618,0.071486134,0.039889956,0.052003162,0.030157923,0.061654298,0.067487484,0.056284099,0.212,0.315,0.135,0.268,0.389,0.179,1799,1730,1855,0.0263,2.34,,
Honduras,,,0.106549354,0.139880045,0.079320391,0.085025494,0.107377339,0.065196432,0.369273067,0.435171102,0.309807969,0.038711517,0.047248985,0.031079543,0.064757288,0.070990229,0.059385385,0.023953577,0.029566253,0.019334524,0.140846597,0.152275004,0.130943938,1.602,2.371,1.056,2.36,3.329,1.65,2936,2861,2995,0.052,5.42,Yes,80
Hungary,,,0.075622048,0.102317297,0.054554063,0.044997751,0.053778415,0.036632392,0.3843822,0.444295599,0.323354488,0.114782657,0.139930729,0.09159957,0.096547309,0.106898258,0.087563731,0.018024708,0.01985071,0.016040575,0.341875823,0.361144559,0.320475432,7.675,9.578,5.956,13.814,16.463,11.285,21448,21015,21819,0.3639,37.29,,
Iceland,,,0.127828229,0.161957375,0.096006529,0.038792539,0.051593361,0.028549153,0.386628925,0.442645364,0.333614991,0.070096283,0.087696719,0.054546265,0.068517099,0.074743989,0.062964541,0.012045151,0.013126166,0.010395916,0.157833,0.171299875,0.146594138,12.946,15.937,10.285,16.084,19.408,13.087,74138,68599,81951,0.1455,407.54,Yes,100
India,,,0.171698575,0.198305934,0.143227292,0.06775953,0.079082743,0.056409009,0.329824222,0.380502134,0.288522766,0.025893594,0.030723245,0.021738081,0.056093022,0.061556825,0.050521723,0.028200192,0.030601815,0.025549607,0.131761963,0.138661459,0.124662437,0.48,0.679,0.331,0.811,1.087,0.605,2742,2734,2752,0.0645,0.05,No,30
Indonesia,,,0.152031124,0.187965489,0.114666225,0.079009585,0.093950847,0.06505519,0.333040558,0.388739654,0.284826973,0.035450267,0.041786516,0.029717347,0.045041831,0.049685905,0.04072017,0.028295047,0.032611056,0.023624632,0.583269087,0.595732375,0.569809949,1.725,2.52,1.084,2.474,3.482,1.666,4915,4810,5058,0.2666,1,Yes,84
Iran (Islamic Republic of),,,0.145084158,0.17545789,0.114228559,0.076280691,0.090516986,0.064037723,0.340379603,0.38946932,0.294944898,0.054647023,0.066376683,0.04417575,0.071552642,0.078900432,0.064468003,0.025425815,0.027751739,0.02259966,0.149466819,0.15920829,0.139343901,3.497,4.624,2.667,4.129,5.416,3.149,17471,17014,17942,3.5071,42.12,Yes,95
Iraq,,,0.103330695,0.137478065,0.075655133,0.083527011,0.102623989,0.064721794,0.367862929,0.434970777,0.306547221,0.035501853,0.043622699,0.027878432,0.116917483,0.126880202,0.107905432,0.041668762,0.048028129,0.035564987,0.208520489,0.219786821,0.196887565,2.02,2.718,1.443,2.251,3.017,1.632,5529,5223,5774,0,0,,
Ireland,0.0131,Indirect: based on case mix,0.078346744,0.105045312,0.056326021,0.044887132,0.058484684,0.033288714,0.403206486,0.467156817,0.341701412,0.084711491,0.10501794,0.066023052,0.062668489,0.068284767,0.05696986,0.013266704,0.014718144,0.011338545,0.219196216,0.235983601,0.202491622,5.219,6.691,4.131,9.926,11.98,8.192,107949,102514,112099,0.5148,104,,100
Israel,,,0.10027213,0.129983927,0.074930876,0.080582141,0.096415275,0.063713967,0.425562522,0.48291617,0.370221041,0.057653762,0.070550304,0.044563376,0.066783168,0.072114138,0.061112707,0.048658409,0.052961871,0.041190795,0.264071533,0.283253638,0.246032589,9.266,12.057,6.953,14.056,17.621,10.981,56287,53488,60262,1.8272,201.81,,
Italy,0.258,Indirect: based on proportion of patients receiving specific treatments,0.158021673,0.197863435,0.121096882,0.023410611,0.028373442,0.018359353,0.351461777,0.402159947,0.297518124,0.095032657,0.118464192,0.074129081,0.088882035,0.100164478,0.079515337,0.027448888,0.030073383,0.022809418,0.273495861,0.288363398,0.258459475,10.066,12.285,8.165,13.043,15.699,10.785,37700,37168,38355,19.123,316.82,No,99
Jamaica,,,0.15671257,0.195495376,0.120424359,0.057743991,0.072020885,0.04543053,0.403636805,0.462186608,0.347304073,0.058085279,0.071046195,0.045439029,0.088924682,0.096207717,0.082052731,0.089873378,0.100898371,0.079629188,0.133840809,0.144483346,0.123903674,0.471,0.72,0.296,1.39,1.913,0.963,5676,5319,6058,0.0449,15.62,Yes,95
Japan,0.1319,Indirect - based on case mix,0.165001323,0.200216094,0.129457471,0.025432284,0.030284659,0.020558831,0.107092633,0.121698912,0.093835368,0.08267832,0.099083216,0.067596441,0.122038842,0.135480042,0.110353052,0.007094236,0.007830497,0.005768683,0.334431986,0.355237717,0.314334266,9.342,12.336,6.95,22.281,27.615,17.714,41854,41067,42461,28.7336,227.7,,
Jordan,,,0.105065215,0.139666124,0.076000255,0.077331827,0.097322682,0.058270052,0.386696031,0.456932347,0.325814968,0.04073818,0.050423165,0.031814614,0.105975323,0.114294017,0.09856325,0.048912865,0.05651442,0.042094604,0.34300618,0.355153371,0.33177705,4.245,5.352,3.331,5.281,6.593,4.182,4781,4688,4859,0.0747,7.42,,
Kazakhstan,,,0.114274344,0.14816687,0.084856182,0.093093871,0.111184413,0.07694301,0.370271067,0.431426823,0.312659882,0.061669864,0.074869709,0.048941311,0.067045978,0.07159776,0.062554661,0.008338399,0.009701982,0.007025679,0.432041001,0.450270002,0.413110358,6.252,8.917,4.137,7.975,11.117,5.418,10770,10713,10835,0.061,3.27,,
Kenya,,,0.132049479,0.161207584,0.103502143,0.096411268,0.115602127,0.078448419,0.24571743,0.287398643,0.211720654,0.01084306,0.013369641,0.008294415,0.012228084,0.013304564,0.011133496,0.020093068,0.023362759,0.017256605,0.106844397,0.114254519,0.099540024,0.421,0.639,0.266,0.522,0.774,0.346,2261,2078,2490,0,0,,17
Kiribati,,,0.01457578,0.020910309,0.010002132,0.110918357,0.132829299,0.09179022,0.405688148,0.477322916,0.347705027,0.019232047,0.023989833,0.01468387,0.111930775,0.120830494,0.103130479,0.121534325,0.148138363,0.104833573,0.638269727,0.65908379,0.617056291,0.647,0.956,0.413,1.215,1.723,0.828,1721,1718,1724,0.0003,2.61,,
Kuwait,,,0.181791346,0.23477209,0.138902217,0.048330296,0.060385337,0.037224646,0.390905948,0.471477666,0.312916198,0.040147663,0.050028267,0.031060702,0.146802939,0.160909409,0.133705627,0.046834705,0.052411887,0.040488941,0.202987892,0.215856776,0.189547756,8.652,12.311,5.827,11.535,16.066,8.007,33392,29970,36096,0.2182,46.41,Yes,
Kyrgyzstan,,,0.074230733,0.098925786,0.053756915,0.112219163,0.132488268,0.094050724,0.385474614,0.449650546,0.328322944,0.047359142,0.057972592,0.03759362,0.035343881,0.03911643,0.03207016,0.010032024,0.011091626,0.009060211,0.435879457,0.455321078,0.417420607,2.13,3.153,1.361,3.254,4.711,2.202,1319,1285,1345,0.0039,0.6,No,75
Lao People's Democratic Republic,,,0.047555997,0.064327349,0.032578904,0.099852637,0.119502933,0.08054668,0.30480231,0.372772507,0.245794786,0.015921082,0.019667622,0.012389489,0.044445436,0.047978148,0.040914694,0.030152361,0.034858754,0.025482651,0.491010101,0.512371548,0.468485574,1.747,2.607,1.129,2.218,3.22,1.483,2751,2635,2894,0.0045,0.63,Yes,94
Latvia,,,0.181663999,0.220546651,0.141912238,0.046737333,0.057753327,0.03615572,0.340291591,0.394727052,0.284014222,0.084805454,0.104150906,0.067805543,0.076368111,0.084055918,0.069757293,0.016420955,0.018176153,0.014401473,0.469496753,0.486559652,0.451839825,12.232,15.272,9.868,17.657,21.207,14.763,22812,21881,24196,0.112,58.08,Yes,100
Lebanon,,,0.133994008,0.175134241,0.100713496,0.058536607,0.071843161,0.045866783,0.394833724,0.460173309,0.332814987,0.062260589,0.075556202,0.049883498,0.124638398,0.134003196,0.115700135,0.038216104,0.045118018,0.028252418,0.358351306,0.378347822,0.338576444,11.379,15.606,7.88,11.855,16.237,8.237,4243,3809,4562,0.1049,17.29,No,50
Lesotho,,,0.038225142,0.051221223,0.026290003,0.067065638,0.086701039,0.048459548,0.288643944,0.355154518,0.233842763,0.051008457,0.064965215,0.03851777,0.033367321,0.036090474,0.030850522,0.025258192,0.030776784,0.020547608,0.212142723,0.222549964,0.202219655,0.068,0.105,0.042,0.161,0.235,0.109,1251,1173,1367,0.0093,4.56,,
Liberia,,,0.161944043,0.196795297,0.126094443,0.101339683,0.128659674,0.076963757,0.305061363,0.365715562,0.24605772,0.014965383,0.018488103,0.01124838,0.03374682,0.037163172,0.030580735,0.020152378,0.025036567,0.015383344,0.082646517,0.089965151,0.075734784,0.056,0.086,0.036,0.143,0.198,0.101,686,478,865,0.0007,0.16,Yes,90
Libya,,,0.125244405,0.167669705,0.091368664,0.051743587,0.064035096,0.040355258,0.40796635,0.477866081,0.338514511,0.049745165,0.060814868,0.038689078,0.10143898,0.111039475,0.092678223,0.025110154,0.03023818,0.018913846,0.206812717,0.219269927,0.194100003,4.761,6.459,3.433,5.032,6.808,3.646,7708,4697,10330,0.0615,9.34,,
Lithuania,,,0.182891148,0.22109792,0.145747564,0.05205644,0.061521356,0.042300616,0.390316065,0.446329163,0.332948797,0.079096471,0.097091586,0.063049737,0.063759013,0.069407789,0.058493456,0.012019037,0.013410424,0.01055428,0.379139779,0.398042922,0.361009685,16.303,19.725,13.208,27.259,32.101,22.938,25990,24799,27598,0.199,71.47,,
Luxembourg,,,0.147812094,0.187397599,0.109947098,0.031520806,0.04176065,0.023053816,0.405337811,0.464012879,0.34529668,0.070311018,0.087129657,0.055002064,0.071341278,0.078028168,0.065245986,0.016019009,0.017590665,0.014154162,0.261927524,0.27973805,0.244967051,8.805,11.138,6.811,12.723,15.588,10.27,139882,138169,141224,0.212,345.35,,
Madagascar,,,0.02558424,0.03636415,0.01776777,0.094915771,0.117602728,0.073738021,0.415519783,0.479516414,0.356939903,0.009602112,0.012046949,0.007140225,0.015437058,0.016862229,0.014158929,0.016101806,0.0199126,0.013176892,0.136059363,0.146437657,0.125463405,0.246,0.365,0.156,0.441,0.62,0.302,527,514,543,0.0042,0.15,,
Malawi,,,0.055898002,0.079747412,0.039533976,0.114151578,0.143267857,0.089291579,0.33401567,0.399608693,0.278592559,0.009952787,0.012406138,0.007525548,0.011251752,0.012108623,0.010481576,0.018276113,0.020568124,0.016040406,0.128594986,0.136431763,0.120885209,0.059,0.09,0.037,0.253,0.354,0.173,567,401,722,0.0025,0.12,No,
Malaysia,,,0.081986542,0.107772313,0.060705776,0.071624148,0.086222262,0.05692227,0.27040926,0.334114702,0.219350975,0.045276908,0.055165024,0.035826958,0.072476907,0.07833703,0.06731848,0.023202451,0.026494707,0.020301856,0.402584768,0.422833319,0.381197075,3.282,4.614,2.245,4.769,6.469,3.373,12659,12413,12937,0.2268,6.91,Yes,100
Maldives,,,0.076660173,0.106439204,0.054438277,0.058924792,0.07133153,0.047114367,0.348577586,0.422643244,0.281968439,0.022343715,0.027219066,0.017522726,0.044217377,0.048640433,0.040479066,0.034160926,0.03875218,0.029268625,0.465260392,0.489499634,0.438126655,3.653,5.307,2.437,4.756,6.682,3.241,13466,11435,16388,0.0006,1.7,Yes,100
Mali,,,0.141789558,0.16934454,0.110986948,0.122741221,0.154637917,0.093287676,0.264638255,0.324119734,0.217306026,0.008839413,0.010900173,0.006764491,0.044075449,0.048116474,0.040241293,0.013513504,0.016092934,0.011022802,0.122067979,0.130390594,0.113732784,0.081,0.121,0.051,0.115,0.165,0.078,1063,867,1386,0.0013,0.07,No,
Malta,,,0.1446043,0.18353398,0.110957993,0.029936306,0.039126715,0.022342213,0.424292439,0.483733603,0.365482859,0.074753958,0.092988212,0.058148445,0.12302035,0.133434368,0.112145362,0.037187021,0.041015711,0.032101319,0.268851581,0.287564854,0.249371342,5.403,7.508,3.727,8.439,11.436,5.954,37846,33676,42988,0.0444,91.64,Yes,100
Marshall Islands,,,0.01776584,0.024851355,0.012270705,0.096634509,0.117245373,0.079263724,0.41019808,0.486843194,0.349968274,0.019012093,0.024127814,0.014604392,0.191276133,0.209510091,0.176001825,0.118187232,0.163052576,0.089471136,0.349619157,0.375208126,0.322939177,1.047,1.559,0.652,2.957,4.11,2.035,4512,4275,4825,0.0003,5.84,,
Mauritania,,,0.134426292,0.16471494,0.105834471,0.108665015,0.135854342,0.081377227,0.285696745,0.346287834,0.231208872,0.018647797,0.02291605,0.014418256,0.021288668,0.022563407,0.019945341,0.027994307,0.034015965,0.022228492,0.183054961,0.197769922,0.167959108,0.295,0.438,0.193,0.324,0.475,0.215,2139,1824,2538,0.0017,0.43,No,30
Mauritius,0.1042,Indirect: case mix,0.106261183,0.137353129,0.077581036,0.039421308,0.047751406,0.031022941,0.343370308,0.401401354,0.287771408,0.074773608,0.092004615,0.058635574,0.162301527,0.173718527,0.150536111,0.1459462,0.15832798,0.133824792,0.23119991,0.243372099,0.220406608,4.918,6.75,3.449,6.766,9.208,4.86,10200,10131,10268,0.0168,13.26,Yes,100
Mexico,,,0.161906372,0.187936058,0.135240415,0.066935535,0.079846707,0.055017891,0.256518847,0.303993141,0.214949432,0.065855765,0.080482779,0.053459089,0.098425114,0.107907317,0.089648264,0.075470357,0.084063665,0.067252447,0.269693362,0.282281194,0.256558827,3.817,5.25,2.649,8.95,11.394,6.739,10332,10154,10475,2.103,16.7,Yes,51
Micronesia (Federated States of),,,0.01826097,0.025973175,0.012652791,0.091558822,0.110118763,0.074597255,0.412498474,0.486421844,0.355480816,0.022303592,0.028170603,0.017155805,0.124968705,0.13483697,0.115998312,0.096605928,0.113882415,0.085596132,0.622407451,0.648166359,0.596622606,1.967,2.944,1.258,3.67,5.182,2.557,3776,3472,4177,0.0005,5.3,Yes,65
Monaco,,,0.201355806,0.242991833,0.160189042,0.026130441,0.034299831,0.019144553,0.389932857,0.45385524,0.33032526,0.093050258,0.117264736,0.072325605,0.080866529,0.088863336,0.073793287,0.00723848,0.008469789,0.005969275,0.262588243,0.292803529,0.233887602,8.35,11.661,5.791,12.702,17.494,9.184,214586,180447,244379,0.0338,867.22,,
Mongolia,,,0.093132479,0.125671981,0.067178962,0.110506953,0.130993235,0.090690055,0.371150075,0.435925236,0.308924386,0.042145228,0.051411934,0.032998831,0.03654432,0.039682925,0.033517232,0.009971158,0.012372211,0.007882982,0.517108043,0.538994746,0.495908801,3.532,4.546,2.689,3.928,4.995,3.047,5067,4794,5347,0.0352,10.65,Yes,95
Montenegro,,,0.132070429,0.167493179,0.099923029,0.05478604,0.0652495,0.044461917,0.44338014,0.502696197,0.383883804,0.093956307,0.115286756,0.07502695,0.093057477,0.102088942,0.08402772,0.018128018,0.021321636,0.015120822,0.374900942,0.392649133,0.357160544,6.894,10.421,4.439,8.273,12.036,5.486,10415,10201,10687,0.0057,9.18,,
Morocco,,,0.153664719,0.189058493,0.120487518,0.067419451,0.084692749,0.053413083,0.208167836,0.249162853,0.172901231,0.06278805,0.07700263,0.049679739,0.142737241,0.155140102,0.130384499,0.026477428,0.030827373,0.021469975,0.117218948,0.125400991,0.109103151,1.311,1.869,0.885,1.465,2.066,1.002,3822,3679,3960,0.0821,2.31,No,60
Mozambique,,,0.053533234,0.074338225,0.038586279,0.100345294,0.127246914,0.074955521,0.320080173,0.384663103,0.263026071,0.008836224,0.011053667,0.006707264,0.016676519,0.018193304,0.015242145,0.016698311,0.019967455,0.013410219,0.140681196,0.153101013,0.1288922,0.095,0.138,0.064,0.157,0.213,0.111,540,537,543,0.0049,0.16,No,60
Myanmar,,,0.066388816,0.088324972,0.047571669,0.072820144,0.092741286,0.057092319,0.249751316,0.303630062,0.200608575,0.020845255,0.025749399,0.016134691,0.073934199,0.079455083,0.06833362,0.049860953,0.057515211,0.040996415,0.410471124,0.428050944,0.391625378,1.951,2.881,1.238,2.218,3.218,1.453,1226,1078,1343,0.0004,0.01,No,97
Namibia,,,0.050393499,0.067827115,0.034579082,0.065559508,0.08506538,0.047311441,0.305786376,0.372515852,0.248750763,0.054758707,0.070296883,0.041129226,0.028648965,0.031355018,0.026136161,0.031937782,0.037285849,0.027000661,0.166926941,0.179706879,0.154903896,1.049,1.549,0.693,1.347,1.909,0.921,5026,4975,5088,0.0028,1.13,No,90
Nauru,,,0.019108625,0.027440495,0.012929734,0.114799614,0.137455476,0.092507894,0.376792173,0.447403978,0.312264835,0.025355509,0.031355702,0.020488248,0.115847666,0.124888483,0.108050701,0.0844605,0.095081837,0.074795857,0.416328305,0.44167595,0.392436646,1.57,2.289,1.034,3.883,5.293,2.741,14208,8246,23019,0.0002,14.8,,
Nepal,,,0.116549513,0.154232996,0.084225768,0.081738954,0.092588493,0.068525827,0.293402835,0.356542549,0.241874922,0.00962926,0.012182475,0.007482397,0.064587076,0.069503515,0.059725064,0.025896873,0.03124179,0.021032407,0.217723567,0.231091746,0.205917419,0.562,0.857,0.356,0.967,1.407,0.651,1245,1146,1324,0.0891,3.13,Yes,12
Netherlands,,,0.133248526,0.172248964,0.099877753,0.030004423,0.035255227,0.024897442,0.250521949,0.29733498,0.20734022,0.123598236,0.151177191,0.097922858,0.070282821,0.076839077,0.063987284,0.018888235,0.020712052,0.016076619,0.249827807,0.264423354,0.235881578,7.428,9.289,5.884,17.174,20.263,14.572,61759,61397,62095,3.6785,213.48,,
New Zealand,,,0.17274434,0.210092955,0.137305602,0.02476103,0.03584846,0.015273679,0.271562454,0.3204428,0.224647571,0.104142747,0.129122359,0.080765355,0.067229949,0.070244308,0.064206014,0.019073098,0.020513447,0.016769195,0.184071964,0.194208361,0.174525623,13.366,18.309,9.586,27.351,35.832,20.457,51938,48705,56739,0.5353,106.27,,
Nicaragua,,,0.120903302,0.154957646,0.091087227,0.068801074,0.086035437,0.052532761,0.37980584,0.439959313,0.321292684,0.045389556,0.055045072,0.036355131,0.07096865,0.077365499,0.065349454,0.036853705,0.041988823,0.032403422,0.215249099,0.237128345,0.195024586,1.758,2.58,1.156,3.393,4.623,2.399,2222,2118,2325,0.0314,4.81,Yes,75
Niger,,,0.040668402,0.057450389,0.028946621,0.142498608,0.177583896,0.108579234,0.275571629,0.330336752,0.227032313,0.011532016,0.014219943,0.00875116,0.022075447,0.024071679,0.020105062,0.0093496,0.011700963,0.007451256,0.076941904,0.084115336,0.07012524,0.024,0.037,0.015,0.046,0.066,0.032,695,657,747,0,0,,
Nigeria,0.174,Indirect - based on case mix,0.032773023,0.04635461,0.022901407,0.10760688,0.127039133,0.088905166,0.17508606,0.204837497,0.151259332,0.009583698,0.011257289,0.008039386,0.019501743,0.021294649,0.017707554,0.015796922,0.018908742,0.012959137,0.040821557,0.045067559,0.036933013,0.232,0.334,0.154,0.45,0.608,0.324,2124,2110,2134,0.1375,0.68,No,4
Niue,,,0.034944235,0.048442677,0.024575525,0.070256524,0.084891204,0.056701474,0.412632269,0.480385923,0.354958054,0.04140877,0.052541691,0.032098377,0.228553472,0.246316743,0.210799296,0.120057293,0.145548662,0.099270365,0.213785628,0.231022645,0.196930443,9.074,12.961,5.914,11.091,15.482,7.5,23770,20715,26393,NA,NA,,
North Macedonia,,,0.131365986,0.168015952,0.09771615,0.045299581,0.053758933,0.036747492,0.450185684,0.512166228,0.391322983,0.101901857,0.1256204,0.082639944,0.109575955,0.118870587,0.098545726,0.029735205,0.035579234,0.024538484,0.470772178,0.492037831,0.450464525,9.719,13.714,6.591,11.954,16.647,8.239,7431,7310,7597,0.0319,15.34,Yes,90
Norway,0.2756,Direct,0.217344154,0.255375846,0.177827611,0.032131282,0.042053748,0.023682313,0.351266288,0.394979858,0.305081369,0.088904293,0.105268997,0.075111005,0.072271862,0.079303209,0.065117901,0.015100734,0.016292039,0.01306509,0.201990116,0.219680964,0.186741477,8.549,10.664,6.812,12.893,15.494,10.684,93921,90920,96411,2.1691,404.99,No,100
Oman,,,0.135615881,0.184174536,0.095831803,0.076305437,0.096457522,0.058259004,0.394850876,0.469165825,0.327790727,0.029365033,0.036489299,0.022525214,0.06210805,0.069164839,0.056537512,0.042114578,0.048204889,0.035774887,0.157849061,0.172737293,0.14464873,3.343,4.552,2.31,3.783,5.119,2.627,18321,16437,20060,0.1327,30.82,Yes,99
Pakistan,,,0.180752025,0.208987716,0.1500216,0.099555259,0.115908079,0.082867014,0.247369809,0.302275723,0.205841614,0.01541475,0.018975144,0.01209453,0.050527807,0.05519342,0.045768298,0.027575866,0.031991273,0.02274028,0.144428051,0.153500902,0.135906307,0.415,0.554,0.309,0.698,0.881,0.55,1528,1352,1739,0.0489,0.24,,
Palau,,,0.039657293,0.055242814,0.027465248,0.053857226,0.065592688,0.044037079,0.425276963,0.493643305,0.351035486,0.058080245,0.071940138,0.046122626,0.23231235,0.248449322,0.215628505,0.106558858,0.119816277,0.092863825,0.238734495,0.252756447,0.224685599,2.423,3.582,1.557,8.958,12.082,6.363,15860,15477,16148,0.0005,25.39,,
Panama,,,0.1644529,0.199855901,0.131735625,0.061740425,0.076808943,0.047289273,0.446142177,0.501864876,0.384717353,0.053314244,0.064750882,0.042781036,0.07701617,0.083844297,0.0700342,0.052352048,0.056563528,0.047290727,0.124170921,0.137435463,0.112908689,7.634,10.954,5.227,12.759,17.536,9.218,16336,15742,16908,0.1354,32.1,Yes,95
Papua New Guinea,,,0.014708176,0.021203634,0.010159492,0.120777513,0.143629287,0.098769373,0.380131538,0.454589532,0.32352037,0.014622765,0.018233554,0.011312481,0.08196589,0.089390313,0.075565844,0.051045571,0.061567325,0.03998386,0.401523085,0.426368676,0.377375468,0.201,0.313,0.127,0.559,0.791,0.386,3133,3024,3217,0.0358,4.17,Yes,99
Paraguay,,,0.118042254,0.152797795,0.088250932,0.082571199,0.100298942,0.06574848,0.435461832,0.497104411,0.373072385,0.042378408,0.051801465,0.033273846,0.059091532,0.064072739,0.05476358,0.062266133,0.069391168,0.054891615,0.246255626,0.266634895,0.226704834,4.864,6.88,3.342,6.931,9.426,4.967,5608,5331,5884,0.0513,7.18,Yes,78
Peru,,,0.121293889,0.155054106,0.093564776,0.072841296,0.089816819,0.05718825,0.443273903,0.509194334,0.383503173,0.095233099,0.112760931,0.077648478,0.035033643,0.037947209,0.032364138,0.018408285,0.021665908,0.015641089,0.073261619,0.081959153,0.065583437,4.973,7.287,3.205,11.093,15.072,7.872,7210,6961,7430,0.2678,8.24,Yes,62
Philippines,,,0.034955758,0.043022723,0.027834507,0.093346382,0.10887805,0.079147887,0.327363655,0.373345457,0.288560186,0.043643835,0.050902404,0.037161727,0.035846365,0.039170452,0.032631338,0.034647839,0.037106725,0.032432588,0.40883083,0.424934134,0.392879553,3.046,3.9,2.305,8.109,9.822,6.496,4082,4015,4157,0.0165,0.15,No,92
Poland,,,0.173181887,0.212296463,0.136899243,0.046567929,0.055885967,0.038193319,0.333410724,0.371236234,0.294556961,0.131594182,0.158762219,0.10565335,0.09489256,0.106262359,0.085086631,0.019530903,0.021119808,0.017444104,0.317986261,0.332875477,0.303923307,4.191,5.764,2.903,10.674,13.924,7.907,19878,19576,20179,1.7024,44.83,Yes,95
Portugal,,,0.138484967,0.179134637,0.103975267,0.024007526,0.031804349,0.01852415,0.364016338,0.426191702,0.305386811,0.099136271,0.122518743,0.077794859,0.135090003,0.147949153,0.123761721,0.031966105,0.034992299,0.026933526,0.3337439,0.349535951,0.316789877,11.288,14.267,8.974,13.747,17.097,11.136,26558,25875,27262,0.8695,84.7,No,100
Qatar,,,0.189818822,0.246648278,0.139409151,0.053191885,0.063204239,0.043218607,0.385979915,0.476330068,0.311473313,0.017704099,0.022451771,0.012938624,0.09879019,0.109710114,0.087823237,0.075426965,0.086741705,0.062410227,0.218612724,0.236436878,0.202706137,9.052,12.67,6.101,10.972,15.155,7.516,69579,64542,76914,0.2287,83.07,,
Republic of China (Taiwan),0.098,Direct,0.160666869,0.201421012,0.120572268,0.119430359,0.141348088,0.099496597,0.37725341,0.43787408,0.32490252,0.041450721,0.051135664,0.032540041,0.09901019,0.106951617,0.092690435,0.057851562,0.062403788,0.050724734,0.169155938,0.18289532,0.156502619,1.187,1.766,0.771,1.411,2.033,0.937,920,856,989,1.479,62.5,,
Republic of Korea,0.0947,Direct,0.140210581,0.175318422,0.105306287,0.033882968,0.042602744,0.027426104,0.232568657,0.270134361,0.197538628,0.035238626,0.043726742,0.027721129,0.173622326,0.182877758,0.164092827,0.032334654,0.037063262,0.02700653,0.424784102,0.447473448,0.401323065,7.09,9.508,5.198,18.124,22.992,13.754,38054,37371,39017,7.2547,139.93,Yes,
Republic of Moldova,,,0.139893263,0.178236372,0.102425463,0.046479671,0.05645522,0.037542229,0.383901042,0.44796617,0.318321539,0.086999053,0.105011386,0.070506496,0.07738887,0.084164207,0.069867057,0.011099221,0.011941237,0.010261922,0.406444316,0.426877156,0.385622483,5.165,7.39,3.49,6.812,9.422,4.718,5216,3302,6797,0.0051,1.43,No,
Romania,,,0.150291401,0.187379515,0.114840653,0.05695589,0.066298733,0.047648018,0.458321297,0.512759213,0.395844683,0.096269242,0.118798023,0.076812098,0.064332582,0.071289659,0.058758001,0.008283653,0.009308115,0.007349435,0.383727976,0.399611811,0.367822252,7.828,9.495,6.315,14.001,16.408,11.815,16559,15934,17078,0.3761,19.27,No,90
