Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Health,0.00133258829567857,0.01909405208804664
Afghanistan,Stage_III_IVT1_2,0.00153059666504145,0.01075322028877685
Afghanistan,Stage_IVT3,2.6247579547185833e-4,0.00323583293206216
Afghanistan,Stage_IVT4,4.8652563083343217e-4,0.0064677523185055
Afghanistan,Stage_I_II,0.00168458792220375,0.02218285390696296
Albania,Health,2.392860756989667e-4,0.00108119090140612
Albania,Stage_III_IVT1_2,4.7145692087188415e-4,0.00224424505520921
Albania,Stage_IVT3,9.87319369008752e-5,6.579469370452051e-4
Albania,Stage_IVT4,1.5668220241979856e-4,9.727668816041844e-4
Albania,Stage_I_II,3.479265961046838e-4,0.00151545539543726
Algeria,Health,0.00435196806874772,0.01986487687008619
Algeria,Stage_III_IVT1_2,0.00767917615286899,0.03223689598773398
Algeria,Stage_IVT3,0.00198511432764364,0.01418985332957946
Algeria,Stage_IVT4,0.0032756045248506,0.02794319658752388
Algeria,Stage_I_II,0.00652526821674753,0.02820369227005985
Andorra,Health,2.1352423547827288e-4,2.6079485766091897e-4
Andorra,Stage_III_IVT1_2,7.549630194066015e-4,8.986475901311455e-4
Andorra,Stage_IVT3,2.0784855283448816e-4,4.379693955767128e-4
Andorra,Stage_IVT4,2.647860528929648e-4,5.381979890551262e-4
Andorra,Stage_I_II,4.0695581452227425e-4,4.532178908756573e-4
Angola,Health,0.0024244601524707,0.01531580013031895
Angola,Stage_III_IVT1_2,0.00335010738411474,0.01823057855813719
Angola,Stage_IVT3,5.807264492407215e-4,0.00405108826253302
Angola,Stage_IVT4,0.00106346689447375,0.00922447023765261
Angola,Stage_I_II,0.00458618596349935,0.02557699502190301
Antigua and Barbuda,Health,1.416063318493288e-4,1.8716678026758956e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.628203787593318e-4,8.445190935283006e-4
Antigua and Barbuda,Stage_IVT3,1.8439129700286317e-4,4.230164219041317e-4
Antigua and Barbuda,Stage_IVT4,2.3637239344076583e-4,5.390732646723669e-4
Antigua and Barbuda,Stage_I_II,2.58151066254688e-4,3.078716694866648e-4
Argentina,Health,0.08207002930083929,0.11336753346631796
Argentina,Stage_III_IVT1_2,0.2661578233483851,0.3366025649447279
Argentina,Stage_IVT3,0.07187045991790601,0.15254466668206235
Argentina,Stage_IVT4,0.10001294340288172,0.21674848795172472
Argentina,Stage_I_II,0.15372832539276068,0.1830403837965487
Armenia,Health,0.00313810764975816,0.00466520385251942
Armenia,Stage_III_IVT1_2,0.0105838978428428,0.01477875757177257
Armenia,Stage_IVT3,0.00288820483962376,0.00718828675931998
Armenia,Stage_IVT4,0.00395095138171651,0.00937408555660111
Armenia,Stage_I_II,0.00611443732772264,0.00811540540438345
Australia,Health,0.3812547515932118,0.2504257880918728
Australia,Stage_III_IVT1_2,2.1180244435722813,0.7452394908579769
Australia,Stage_IVT3,0.4836577343277486,0.5135734610426081
Australia,Stage_IVT4,0.6096603280228929,0.7043137818684563
Australia,Stage_I_II,0.8168570364065657,0.4322680589575654
Austria,Health,0.0832242963140142,0.05862608107341284
Austria,Stage_III_IVT1_2,0.4444472477496345,0.19988129245022088
Austria,Stage_IVT3,0.1004131429847101,0.11377337974534334
Austria,Stage_IVT4,0.117122670586077,0.1392950864345098
Austria,Stage_I_II,0.1808005469680686,0.10698498637353249
Azerbaijan,Health,0.00132687092943782,0.00608562593851714
Azerbaijan,Stage_III_IVT1_2,0.00230310850346832,0.00953381371534533
Azerbaijan,Stage_IVT3,5.392399181709673e-4,0.00325292413788397
Azerbaijan,Stage_IVT4,6.744863031399472e-4,0.00409199385887313
Azerbaijan,Stage_I_II,0.00186900833890241,0.00689070349647315
Bahamas,Health,0.00217615280126424,0.00176713990498909
Bahamas,Stage_III_IVT1_2,0.02008285669565151,0.01068414190205589
Bahamas,Stage_IVT3,0.0045132247830557,0.00532180092598504
Bahamas,Stage_IVT4,0.00539684485523856,0.00713013651900434
Bahamas,Stage_I_II,0.00458100137011765,0.00309432665781684
Bahrain,Health,4.410272949923099e-4,0.00158969625582202
Bahrain,Stage_III_IVT1_2,9.540753165034068e-4,0.00320840243515057
Bahrain,Stage_IVT3,2.495027619304551e-4,0.00122185502671726
Bahrain,Stage_IVT4,3.462072156924488e-4,0.00195927921958938
Bahrain,Stage_I_II,6.704664310681393e-4,0.00222372603733278
Bangladesh,Health,0.00924359070366753,0.05630243622818196
Bangladesh,Stage_III_IVT1_2,0.03755053386728285,0.1816420290684704
Bangladesh,Stage_IVT3,0.00666360556903161,0.05485552308562561
Bangladesh,Stage_IVT4,0.01037732086371525,0.07331871592982693
Bangladesh,Stage_I_II,0.01297530486324773,0.0689335906412111
Barbados,Health,2.854911282944086e-4,4.1035116766132806e-4
Barbados,Stage_III_IVT1_2,0.0016045511721794,0.00228358171710961
Barbados,Stage_IVT3,4.20998187056357e-4,0.00107856427849242
Barbados,Stage_IVT4,5.847615255094035e-4,0.00142445153796833
Barbados,Stage_I_II,5.509054994339861e-4,7.263256825335836e-4
Belarus,Health,0.00111233926947356,0.004464556598871
Belarus,Stage_III_IVT1_2,0.00249240197961067,0.00955235612205514
Belarus,Stage_IVT3,5.974167331552895e-4,0.00305175977128939
Belarus,Stage_IVT4,8.283075153623616e-4,0.00480135201163292
Belarus,Stage_I_II,0.00174854468839378,0.00626092061467365
Belgium,Health,0.10105465897117262,0.07102694762771607
Belgium,Stage_III_IVT1_2,0.8706327818508566,0.3917176431594848
Belgium,Stage_IVT3,0.1991663959587042,0.22207251836844935
Belgium,Stage_IVT4,0.2345927144912013,0.28321532746925254
Belgium,Stage_I_II,0.21946301930220655,0.13144158961355268
Belize,Health,4.903407134844936e-4,8.423253313859508e-4
Belize,Stage_III_IVT1_2,0.00168526420594513,0.00246632880430147
Belize,Stage_IVT3,4.737375768690181e-4,0.00130555922970252
Belize,Stage_IVT4,6.028414131964613e-4,0.00159948871748822
Belize,Stage_I_II,8.9891581012909e-4,0.00134608599933323
Benin,Health,5.281155597663797e-4,0.0047880881001334304
Benin,Stage_III_IVT1_2,0.00127503899620938,0.00909838671463387
Benin,Stage_IVT3,2.57965045373303e-4,0.00294221249639867
Benin,Stage_IVT4,4.626788232339295e-4,0.00429007708596248
Benin,Stage_I_II,7.663715508495424e-4,0.00654486358575708
Bhutan,Health,8.205084031036742e-5,3.6016622784218455e-4
Bhutan,Stage_III_IVT1_2,3.311456664572723e-4,0.00141189355590062
Bhutan,Stage_IVT3,8.511024180920627e-5,5.995913266256237e-4
Bhutan,Stage_IVT4,1.0309523984989724e-4,8.35576903326923e-4
Bhutan,Stage_I_II,1.258417712374683e-4,5.271821173429278e-4
