LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Slovenia,Central Europe,"Central Europe, Eastern Europe, and Central Asia",SVN,0.04162586061865157,0.02838985744062164,0.01024930496527069,0.0096269898822557,0.0127298337831715,0.01500672854956621,mid,0.1215,58.73,45914.05724,Slovenia,3
  Eastern Europe,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",NA,0.2682574900216808,0.26228953141682415,0.07020473714973105,0.1216427044084649,0.04619012921668422,0.051271959489548956,NA,NA,NA,NA,NA,2
    Belarus,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",BLR,0.00677901018599567,0.01339102674015044,0.00186636047288189,0.0069177400317882104,6.793128628668376e-4,0.00333045892327939,low,0.1371,14.47,27611.18011,Belarus,3
    Estonia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",EST,0.024179764181277,0.01602382567132049,0.00571812518673084,0.00538732693534584,0.00694550744707741,0.00825014563029523,mid,0.149,113,44251.5375,Estonia,3
    Latvia,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LVA,0.02814201048606349,0.01934205918995572,0.00665551962332957,0.00654258886681812,0.00846750779519296,0.01023213846870105,mid,0.112,58.08,36912.01306,Latvia,3
    Lithuania,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LTU,0.05322105266797082,0.03603306801917613,0.0127664151844843,0.01167438094532861,0.01587792389261131,0.01899691924025905,mid,0.199,71.47,45873.52732,Lithuania,3
    Republic of Moldova,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",MDA,0.00185134969539066,0.00434898764430748,5.836877869834822e-4,0.00248762123455386,1.7966669450046713e-4,7.31471791049186e-4,low,0.0051,1.43,15682.07033,Republic of Moldova,3
    Russian Federation,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",RUS,0.1332617213176498,0.25413355444962615,0.036093868743291443,0.11798422209643744,0.01183210388376882,0.04483861726965908,low,0.8921,6.08,38638.42969,Russian Federation,3
    Ukraine,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",UKR,0.02082258148733335,0.04565568167537456,0.00652076015202952,0.02478926288747848,0.00220810664066642,0.00854638651346592,low,0.0589,1.41,17846.4082,Ukraine,3
High-income,NA,High-income,NA,119.5296168109184,16.176309850816104,43.879799454730104,5.354796329880919,31.12016838766495,9.036271222212399,NA,NA,NA,NA,NA,1
  Australasia,Australasia,High-income,NA,4.512687699569019,1.0476289964093501,1.8017437807406915,0.39666516555777087,0.9421083331736424,0.49986041856094987,NA,NA,NA,NA,NA,2
    Australia,Australasia,High-income,AUS,4.4094542939227,1.0454399732783477,1.7779467401111049,0.3960576003655088,0.9131239127758852,0.4986223120294558,high,7.3703,288.25,58182.33695,Australia,3
    New Zealand,Australasia,High-income,NZL,0.10323340564631918,0.0676888202691517,0.02379704062958676,0.02194608757133455,0.0289844203977572,0.03516003399213442,mid,0.5353,106.27,47996.67988,New Zealand,3
