Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Afghanistan,0.4911771643075466,0.5149288856589461,0.1945175054233809,0.2716482529746722,0.12714721460827838,0.1828000393364197,0.10365979368634858,0.17325400267761412,0.01631307251960475,0.04369644889751149,0.03254930371326738,0.07028519195680626,0.00529677430922907,0.03233220685479807,0.00129458196989624,0.00876147026175663,3.8238240188194755e-4,0.00283256074837196,0.0167,0.46,2144.16657,low,0.00529677430922907,0.03233220685479807,0.00129458196989624,0.00876147026175663,3.8238240188194755e-4,0.00283256074837196
Albania,0.12319878521769156,0.05255624272764758,0.0513842514645455,0.03485471523079042,0.02998495087083169,0.0260481338376088,0.02476584311342595,0.01838773903794587,0.00538652675874527,0.00674093356078457,0.00738477433687157,0.0104524923904068,0.0013140837319962,0.00313402519679595,3.651274833578855e-4,0.00178877423541,1.1658333940719386e-4,5.284378220824728e-4,0.0363,12.66,16126.77749,low,0.0013140837319962,0.00313402519679595,3.651274833578855e-4,0.00178877423541,1.1658333940719386e-4,5.284378220824728e-4
Algeria,2.2129642030304195,0.9755079871813652,0.9065045220122347,0.6576801161078284,0.546276468359393,0.5011674081850722,0.44717696646940885,0.3415873788073142,0.09435417426975493,0.12011285198305972,0.13348349810850443,0.19552019578344332,0.02381713129085849,0.05602463760354682,0.00668105332203204,0.02709116178126278,0.00223899303278593,0.01024224813251072,0.3237,7.46,14496.86547,low,0.02381713129085849,0.05602463760354682,0.00668105332203204,0.02709116178126278,0.00223899303278593,0.01024224813251072
Andorra,0.008909481959904,0.00260081687862643,0.00372288926576035,0.00146172761235406,0.00206976530142359,0.00133665064356455,0.0018480776751346,0.0012103702966819,4.292345243829054e-4,3.809927904060704e-4,5.223262561461101e-4,5.973364478111511e-4,1.0460078329779716e-4,2.0078204203407735e-4,2.7423861736207055e-5,8.489789192759855e-5,9.778786527570131e-6,4.041648430941673e-5,0.0146,189.89,59332.20291,mid,0.0018480776751346,0.0012103702966819,4.292345243829054e-4,3.809927904060704e-4,5.223262561461101e-4,5.973364478111511e-4
Angola,0.934111253192459,0.5271533569371382,0.35086880447573215,0.3288722469678393,0.20775756015269575,0.23260422248562632,0.20746625162077367,0.1914281240041408,0.03582198441652914,0.0570764502256069,0.05508576017266466,0.09236584983400352,0.01200494684379928,0.03613896082435377,0.00274524805424792,0.01513685005121507,8.006117705762957e-4,0.00384609378376545,0.0702,2.33,7408.126591,low,0.01200494684379928,0.03613896082435377,0.00274524805424792,0.01513685005121507,8.006117705762957e-4,0.00384609378376545
Antigua and Barbuda,0.00753672664478389,0.00288260277685698,0.00335632034142969,0.001858288258689,0.00193680916796624,0.00153297570607383,0.00148334146730697,0.00110697847814439,3.751827290066239e-4,3.94140614902065e-4,4.825488145495728e-4,6.318767128872488e-4,8.111197128164627e-5,1.7705473344859234e-4,2.6082566809419616e-5,9.880055933284434e-5,8.240058112869144e-6,3.415746230810755e-5,0.0048,51.88,25745.49581,mid,0.00148334146730697,0.00110697847814439,3.751827290066239e-4,3.94140614902065e-4,4.825488145495728e-4,6.318767128872488e-4
Argentina,3.3730495252250696,1.243384670260774,1.4337521336081676,0.7784290388522582,0.7858918245519084,0.6414812760552713,0.6738395813627728,0.4685927914119266,0.1490089057372899,0.15790141050001272,0.19653923809127577,0.25242407403765443,0.03733668624450182,0.07358441801039328,0.01010587218181729,0.03145458966394387,0.00329370150372353,0.01174170758492663,1.106,24.55,26300.27426,mid,0.6738395813627728,0.4685927914119266,0.1490089057372899,0.15790141050001272,0.19653923809127577,0.25242407403765443
Armenia,0.13268636334622164,0.05626686997042329,0.0568710046605899,0.03871251800661859,0.0322724829076497,0.02921919922793548,0.02667559904166389,0.02074562559289715,0.00584321218583369,0.00727411806511826,0.00814833345125257,0.01196749611692754,0.00149461952681467,0.00340180335347235,4.17868204277887e-4,0.00169650361960367,1.2697051924405624e-4,5.191119370485368e-4,0.113,38.05,15921.70528,mid,0.02667559904166389,0.02074562559289715,0.00584321218583369,0.00727411806511826,0.00814833345125257,0.01196749611692754
Australia,4.4094542939227,1.0454399732783477,1.7779467401111049,0.3960576003655088,0.9131239127758852,0.4986223120294558,0.9233689363461342,0.5525491446037551,0.2027183008057768,0.16429859230700708,0.22641976118097917,0.22951065252112987,0.05216336739814811,0.08722465563920703,0.01347444847518235,0.03788527322406913,0.00402718803439377,0.01360395383723705,7.3703,288.25,58182.33695,high,4.4094542939227,1.0454399732783477,1.7779467401111049,0.3960576003655088,0.9131239127758852,0.4986223120294558
Austria,0.9260079046025044,0.25454031353861756,0.3596620091580484,0.13571000181558898,0.197370176063294,0.12286262767836202,0.1953810308277956,0.12109602664808904,0.0413998478996289,0.0370475245764777,0.04831091394400396,0.05549190447075743,0.01152134888542543,0.02122162042978343,0.00265126680108372,0.00840416270421257,9.46200822345478e-4,0.00378968842786896,2.1157,236.39,62968.94223,high,0.9260079046025044,0.25454031353861756,0.3596620091580484,0.13571000181558898,0.197370176063294,0.12286262767836202
