Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Consult_simple,2.010155759638932e-4,0.00761420334572997
Afghanistan,OPG,3.275229140021745e-5,5.444120574278255e-4
Afghanistan,PA,3.307587907697214e-5,3.1262105984626115e-4
Afghanistan,Prophy,0.00153731165931263,0.0053417918677975
Afghanistan,Maintenance_simp,9.430094146034738e-4,0.03260613429208398
Afghanistan,OHI,1.8309379285814335e-5,4.118161055574896e-4
Afghanistan,Consult_perio,3.4742784663321165e-4,0.00447417589681304
Afghanistan,RootDeb,3.3468685448280145e-5,0.00134699341993437
Afghanistan,Extraction,4.661323833164781e-4,0.03540990638856974
Afghanistan,OFD,4.389702468268388e-9,3.8807704424957306e-7
Afghanistan,GTR,3.348799238452213e-5,2.3518818626474855e-4
Afghanistan,Single_implant,1.9287561543888937e-4,0.00136154858012707
Afghanistan,Denture,1.9361925815574137e-5,0.00182150126580481
Afghanistan,Denture_repair,2.494502305033106e-6,1.11448699880009e-4
Afghanistan,Maintenance_perio,0.00153115234497612,0.01023470966329364
Afghanistan,Implant_surgery,1.8659468582771875e-4,0.00184285122740567
Afghanistan,Full_fixed,5.4090367201630985e-5,0.00100832381518704
Albania,Consult_simple,1.665700851366965e-4,0.00106128013561811
Albania,OPG,3.1807721045707953e-6,1.6898790435408085e-5
Albania,PA,3.84983337951657e-6,1.908082083017932e-5
Albania,Prophy,2.4866455560986725e-4,8.327865604717456e-4
Albania,Maintenance_simp,3.4760549404648207e-4,0.00172807612833593
Albania,OHI,4.1560458708841765e-6,3.191608450042666e-5
Albania,Consult_perio,8.001908134942175e-5,5.95216488741959e-4
Albania,RootDeb,8.435862683889873e-5,5.153454030300661e-4
Albania,Extraction,1.899414950716206e-4,0.00180012278510257
Albania,OFD,1.9487968465033778e-6,1.6509572671790428e-5
Albania,GTR,5.048868950662995e-6,2.6491299202858447e-5
Albania,Single_implant,4.3138002468232845e-5,2.13890682185608e-4
Albania,Denture,2.7330271733769503e-5,2.602194453331422e-4
Albania,Denture_repair,2.6765596460152877e-5,1.6663941995175648e-4
Albania,Maintenance_perio,3.6952902733583645e-4,0.00189390230004433
Albania,Implant_surgery,2.162463201154576e-5,1.9081371949546355e-4
Albania,Full_fixed,2.155765449099173e-5,2.3841975599856865e-4
Algeria,Consult_simple,0.00359824702972432,0.02538138020743674
Algeria,OPG,7.931568272237218e-5,6.019433577354143e-4
Algeria,PA,8.36117430933557e-5,4.377250803273164e-4
Algeria,Prophy,0.00501887709375181,0.01652056453742928
Algeria,Maintenance_simp,0.00676616090520735,0.03416774739375631
Algeria,OHI,8.525998632888921e-5,5.915770146398619e-4
Algeria,Consult_perio,0.00164727413609216,0.01094721850033884
Algeria,RootDeb,0.00187286124507113,0.01450562045889583
Algeria,Extraction,0.00332901158324209,0.02155471202377621
Algeria,OFD,3.628966135825123e-5,3.8533184536530146e-4
Algeria,GTR,9.519129409932476e-5,4.829453113230397e-4
Algeria,Single_implant,8.007363705046635e-4,0.00436312866788446
Algeria,Denture,4.272548490102448e-4,0.00440078419420561
Algeria,Denture_repair,4.348724115406563e-4,0.00258620601679589
Algeria,Maintenance_perio,0.0067003662254295,0.03217337385831598
Algeria,Implant_surgery,4.2245802939736953e-4,0.00378861697299696
Algeria,Full_fixed,3.6101367325569694e-4,0.00327755337904387
American Samoa,Consult_simple,4.4634997359008756e-6,3.1935084055604116e-5
American Samoa,OPG,1.0349725383969647e-7,8.126864151118369e-7
American Samoa,PA,1.0813233459127225e-7,5.329269849469558e-7
American Samoa,Prophy,6.701808767871561e-6,2.1730985700200617e-5
American Samoa,Maintenance_simp,8.993992137096516e-6,5.339996448507611e-5
American Samoa,OHI,1.0862976830081509e-7,7.738876712619123e-7
American Samoa,Consult_perio,2.1084197112689093e-6,1.4774138664811353e-5
American Samoa,RootDeb,2.285804696976297e-6,1.5116076630346397e-5
American Samoa,Extraction,4.317789257125914e-6,2.9942321561188547e-5
American Samoa,OFD,4.8558575478531e-8,3.799517673012162e-7
American Samoa,GTR,1.2468232608325968e-7,6.575515616726613e-7
American Samoa,Single_implant,1.0994910280584536e-6,5.275145556061996e-6
American Samoa,Denture,6.572417363913499e-7,5.50805604949365e-6
American Samoa,Denture_repair,6.077279030180945e-7,5.0701459685274456e-6
American Samoa,Maintenance_perio,9.901000400495887e-6,5.146834580056308e-5
American Samoa,Implant_surgery,6.177229023205136e-7,6.529827476842012e-6
American Samoa,Full_fixed,5.143657525036167e-7,6.021532618706134e-6
Andorra,Consult_simple,5.384822236314686e-4,4.043892721856042e-4
Andorra,OPG,3.814281321027783e-4,3.0165964346968196e-4
Andorra,PA,1.538483510665874e-4,1.266617923306555e-4
Andorra,Prophy,8.43761756420796e-4,4.635171313428222e-4
Andorra,Maintenance_simp,0.00329924717866652,0.00137506680141423
Andorra,OHI,1.9547439148786695e-4,1.8651585294602045e-4
Andorra,Consult_perio,1.2373417586561378e-4,1.4278818853416054e-4
Andorra,RootDeb,4.075725944809834e-4,4.251174264838717e-4
Andorra,Extraction,3.3816035531246874e-4,3.6726409410078214e-4
Andorra,OFD,4.540895474482882e-5,4.805589928534638e-5
Andorra,GTR,5.382237393989814e-5,5.848809396455806e-5
Andorra,Single_implant,7.199950290654342e-4,7.27738691046701e-4
Andorra,Denture,1.2314777372702266e-4,1.4383363071129428e-4
Andorra,Denture_repair,1.0957419961351194e-4,1.0294431880804608e-4
Andorra,Maintenance_perio,0.00142260911803112,9.0440127843451e-4
Andorra,Implant_surgery,9.287109848351674e-5,2.668165852546664e-4
Andorra,Full_fixed,1.685323775307545e-4,3.278598364841949e-4
Angola,Consult_simple,0.00174964129439735,0.02002951581883659
Angola,OPG,4.632450269018428e-5,3.907040112202116e-4
Angola,PA,4.6866124488524525e-5,3.204868461363795e-4
Angola,Prophy,0.00309481705390599,0.01084561216398841
Angola,Maintenance_simp,0.00333989551075512,0.01938274971533763
Angola,OHI,4.152024684426247e-5,4.456273456219718e-4
Angola,Consult_perio,5.626153658843751e-4,0.00471208086681212
Angola,RootDeb,4.781670774618056e-4,0.00471273573642394
Angola,Extraction,7.829729347150678e-4,0.00864773610674768
Angola,OFD,8.754372763214149e-6,1.4160721179400882e-4
Angola,GTR,4.422149166293072e-5,3.180853121160988e-4
Angola,Single_implant,3.1951981142827086e-4,0.00170627565979642
Angola,Denture,1.2568720153148557e-4,0.0022705626722477
Angola,Denture_repair,9.074514203349804e-5,0.00104781246669663
Angola,Maintenance_perio,0.00246757147831216,0.01546217093533243
Angola,Implant_surgery,2.294976084908849e-4,0.00242721969188824
Angola,Full_fixed,1.181028704045394e-4,0.0015134007604101
Antigua and Barbuda,Consult_simple,8.751963311910705e-5,1.571232585630522e-4
Antigua and Barbuda,OPG,9.319472842226272e-5,1.3459837727952743e-4
Antigua and Barbuda,PA,5.226745701499435e-5,9.116707047932592e-5
Antigua and Barbuda,Prophy,1.4844774800568507e-4,1.5724148093709483e-4
Antigua and Barbuda,Maintenance_simp,1.611452047539572e-4,2.211903409863391e-4
Antigua and Barbuda,OHI,4.281988315223111e-5,7.615793539439891e-5
Antigua and Barbuda,Consult_perio,5.823880574511151e-5,1.2010457656120976e-4
Antigua and Barbuda,RootDeb,1.61185360205665e-4,2.940955923892258e-4
Antigua and Barbuda,Extraction,1.3873243855122656e-4,2.7288437340511356e-4
Antigua and Barbuda,OFD,1.803622388133864e-5,4.0745998808738697e-5
Antigua and Barbuda,GTR,3.217744375662873e-5,5.294648035460012e-5
Antigua and Barbuda,Single_implant,3.6306534426268854e-4,5.610415294366755e-4
Antigua and Barbuda,Denture,4.895754130212911e-5,1.106704349940764e-4
Antigua and Barbuda,Denture_repair,4.179477290924269e-5,7.122900863511013e-5
Antigua and Barbuda,Maintenance_perio,2.276288140807794e-4,3.353962476097253e-4
Antigua and Barbuda,Implant_surgery,6.487893024287628e-5,2.2074266668926844e-4
Antigua and Barbuda,Full_fixed,7.680901471508857e-5,2.471568349227172e-4
Argentina,Consult_simple,0.04618959495144533,0.09037644478326474
Argentina,OPG,0.04274971701156731,0.06818719830727321
Argentina,PA,0.02150398298819219,0.03771480958043742
Argentina,Prophy,0.07724254277834564,0.08229127787583009
Argentina,Maintenance_simp,0.08144559894421512,0.11735286641577763
Argentina,OHI,0.02036894847429493,0.04222937843139368
Argentina,Consult_perio,0.0222668999045329,0.04984496736859133
Argentina,RootDeb,0.05943179121503304,0.1178702972281083
Argentina,Extraction,0.04960891167330776,0.10294306179904218
Argentina,OFD,0.00620330888133576,0.01379525898725131
Argentina,GTR,0.0122235210500386,0.02042346035196441
Argentina,Single_implant,0.1342646921985237,0.20973875085367533
Argentina,Denture,0.01685982069060438,0.04154921040724844
Argentina,Denture_repair,0.01445331105231192,0.02483570588178989
Argentina,Maintenance_perio,0.08970229218478748,0.14017527244157046
Argentina,Implant_surgery,0.02666435746814232,0.10229215188348414
Argentina,Full_fixed,0.02729548886872525,0.08972493728493663
Armenia,Consult_simple,0.00179363208478672,0.00467397617290439
Armenia,OPG,0.0018145144796227,0.0034495546687913
Armenia,PA,8.689596104195887e-4,0.00172124447936887
Armenia,Prophy,0.00327595024730823,0.00347941026900755
Armenia,Maintenance_simp,0.00336470302921778,0.00545461997227885
Armenia,OHI,8.38923025089594e-4,0.00212703402950459
Armenia,Consult_perio,9.231335792244962e-4,0.00248791427098987
Armenia,RootDeb,0.00224364321220127,0.005327883992629
Armenia,Extraction,0.00189717698355712,0.00496299073798751
Armenia,OFD,2.2630549293058412e-4,6.869565316239053e-4
Armenia,GTR,5.893338262472508e-4,0.00107308594294248
Armenia,Single_implant,0.00594470128828964,0.00967472463744277
Armenia,Denture,6.413285631415504e-4,0.00212556762702938
Armenia,Denture_repair,5.034776025085185e-4,0.00110342307140629
Armenia,Maintenance_perio,0.00378316507326265,0.00648816709770961
Armenia,Implant_surgery,0.00126441484896344,0.0044453411046284
Armenia,Full_fixed,0.00110072855289203,0.00420624109276186
Australia,Consult_simple,0.2914921298778668,0.1349361280149371
Australia,OPG,0.25014711880108853,0.11876513612284084
Australia,PA,0.13734295161263327,0.07554125112716255
Australia,Prophy,0.5438956163863083,0.28120083795234985
Australia,Maintenance_simp,2.0200773870757827,0.6007484099996981
Australia,OHI,0.0844506159963079,0.05405208803717015
Australia,Consult_perio,0.0265575461217302,0.02246505942110745
Australia,RootDeb,0.21147117827441805,0.18564200472803205
Australia,Extraction,0.1804345737012012,0.1425514689697072
Australia,OFD,0.03102926199257694,0.02269198731945695
Australia,GTR,0.02063362380209707,0.01537619321469346
Australia,Single_implant,0.32781796641003724,0.26782324840489236
Australia,Denture,0.02945127994014756,0.02262880223710706
Australia,Denture_repair,0.04971958118085168,0.03738888895032245
Australia,Maintenance_perio,0.6905652132421153,0.30656503503183263
Australia,Implant_surgery,0.02585222491602855,0.04070407350498872
Australia,Full_fixed,0.12052712300573204,0.1847513522779222
Austria,Consult_simple,0.0679727291982228,0.05042274327403491
Austria,OPG,0.04450121326626725,0.0346459225590397
Austria,PA,0.01622082158181939,0.0129094347566621
Austria,Prophy,0.10587974065548876,0.0581576316522087
Austria,Maintenance_simp,0.419023695524324,0.17097793259825975
Austria,OHI,0.02316527826191596,0.02202416377680424
Austria,Consult_perio,0.01134318756859546,0.01318757229909384
Austria,RootDeb,0.03789043228418706,0.03956838735839883
Austria,Extraction,0.03122417850761364,0.03395913884865133
Austria,OFD,0.00422895645222431,0.00450326038498322
Austria,GTR,0.00492532945825355,0.0055233716752595
Austria,Single_implant,0.06576353205102406,0.06639236717957925
Austria,Denture,0.01135044700505746,0.01320189799706997
Austria,Denture_repair,0.00998189483472713,0.00909011859176777
Austria,Maintenance_perio,0.1311426839651419,0.08328936879393536
Austria,Implant_surgery,0.00815483178451934,0.02307714546408949
Austria,Full_fixed,0.01552041483951764,0.03019852478095854
Azerbaijan,Consult_simple,0.00106189242960841,0.00744293875386518
Azerbaijan,OPG,1.820716325857841e-5,9.865831729701454e-5
Azerbaijan,PA,2.155219455081932e-5,1.2185000439537512e-4
Azerbaijan,Prophy,0.00133958521079402,0.00443690475850698
Azerbaijan,Maintenance_simp,0.00156280762553174,0.00629066893444704
Azerbaijan,OHI,1.9738173628754986e-5,1.3287455289060803e-4
Azerbaijan,Consult_perio,3.7235070697354814e-4,0.00212154500424608
Azerbaijan,RootDeb,4.6867783932953456e-4,0.00267163804986624
Azerbaijan,Extraction,8.20462093024992e-4,0.00452544604929234
Azerbaijan,OFD,1.1436273264123352e-5,9.008116179131616e-5
Azerbaijan,GTR,2.2962808141264436e-5,1.1926833054322178e-4
Azerbaijan,Single_implant,1.932042597379635e-4,8.739269957272593e-4
Azerbaijan,Denture,1.3071320893135618e-4,9.299624710682312e-4
Azerbaijan,Denture_repair,1.1496550250079553e-4,5.691677135853297e-4
Azerbaijan,Maintenance_perio,0.00160886990231519,0.00823852280771606
Azerbaijan,Implant_surgery,9.800567924819637e-5,8.507190714234705e-4
Azerbaijan,Full_fixed,9.964075087773872e-5,0.00106859888925687
Bahamas,Consult_simple,5.227410636413364e-4,7.964856235763879e-4
Bahamas,OPG,5.078826712819287e-4,6.672112040477487e-4
Bahamas,PA,2.715068141351162e-4,4.0171200553304687e-4
Bahamas,Prophy,8.405663121523475e-4,9.022553094568512e-4
Bahamas,Maintenance_simp,9.271674469576856e-4,0.00117162478021371
Bahamas,OHI,2.4046442993613375e-4,3.601039816460003e-4
Bahamas,Consult_perio,2.9432121537660425e-4,5.497756838892583e-4
Bahamas,RootDeb,9.162689950575046e-4,0.00148106548743511
Bahamas,Extraction,7.495829635155786e-4,0.001254473812653
Bahamas,OFD,9.896540937155998e-5,1.6566970210622092e-4
Bahamas,GTR,1.4646221313574742e-4,2.213640248487052e-4
Bahamas,Single_implant,0.00180673604079999,0.00270618679264566
Bahamas,Denture,2.722980749431587e-4,4.915292994570894e-4
